DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-01,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702020,279190.83,CORE SERVICE CHARGE JAN 2017,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-21,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702233,279190.83,CORE SERVICES CHARGES FEBRUARY 2017,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-22,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011702245,149333,FEB 17 FUND VALUATION 2013,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - IT DEVELOPMENT,Digital,RAINMAKER SOLUTIONS LTD,1011702118,39650,Discovery and Design for Internal Engagement and Collaboration Solution.(digital communities),MK18 1HD,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-07,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,Finance Director & Branch,R S M UK CONSULTING LLP,1011702075,28500,FEE FOR QWORK CARRIED OUT ,PR2 5PE,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-09,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,Finance Director & Branch,SHARED SERVICES CONNECTED LTD,1011702104,23335.37,CHARGES FOR SERVICE BETWEEN 1ST JAN 2017 AND 31ST JAN 2017,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-21,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,Finance Director & Branch,SHARED SERVICES CONNECTED LTD,1011702231,23335.37,CHARGES,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-09,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,Finance Director & Branch,SHARED SERVICES CONNECTED LTD,1011702104,19262,ORACLE LICENCE FEE,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-09,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,Finance Director & Branch,SHARED SERVICES CONNECTED LTD,1011702104,19262,ORACLE LICENCE FEE,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-02-07,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,Security & Estates,INTERSERVE FM LTD,1011702074,17993.48,CLEANING HELP DESK,SE1 8RT,ADMIN
