Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,07/09/2012,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L531379,21458.2,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,14/09/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN818597,26847.94,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/09/2012,Computer Hardware,Business Support Directorate,Kelway (UK) Ltd,PSIN819120,165710.59,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,12/09/2012,Office Equipment,Business Support Directorate,Supply Plus Ltd,9723,62359.14,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,13/09/2012,Office Equipment,Business Support Directorate,Supply Plus Ltd,9723,62359.14,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,10/09/2012,Agency Staff,Finance Directorate,Allen Lane Recruitment,CRD90000454,-4693.25,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,05/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,9774,-131.29,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,14/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,647768,92.54,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,05/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646914,138.82,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,20/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,648609,138.82,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,14/09/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,647780,156.1,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/09/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,649467,168.17,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/09/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,647782,172.96,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,20/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,648603,173.52,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,20/09/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,648614,180.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,05/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646908,231.36,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,05/09/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,646924,259,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,05/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646925,260.28,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,20/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,648615,260.28,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/09/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,647767,261.28,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/09/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,648611,264.1,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,14/09/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,647779,299.18,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,20/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,648602,306.55,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,14/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,647774,318.12,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,13/09/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,647773,331.75,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,21/09/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,648624,340.48,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,05/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646909,341.26,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/09/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,647771,341.26,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/09/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,649461,341.26,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,05/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,646907,347.04,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,14/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,647763,347.04,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,14/09/2012,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,647764,347.04,Not applicable
