Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Amount
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,AAH PHARMACEUTICALS LTD,22027261J,87476.4
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,AAH PHARMACEUTICALS LTD,2224625L,87476.4
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,AAH PHARMACEUTICALS LTD,22383862B,87476.4
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,6214.33
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,12746.44
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,36084.23
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,109245.88
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,-6214.33
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,12746.44
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,109245.88
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,36084.23
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,6214.33
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,-109245.88
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,-36084.23
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Computer Servs-Contract,Radiology Directorate,ACCENTURE,3003133771,-12746.44
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Consultants,Cardio-Respiratory Directorate,AIREDALE NHS TRUST,1019439,34729
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ALLIANCE HEALTHCARE ( DISTRIBUTION ) LTD,516299,55321.35
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ALLIANCE HEALTHCARE ( DISTRIBUTION ) LTD,547460,38418.46
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ALLIANCE HEALTHCARE ( DISTRIBUTION ) LTD,622937,43425.78
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ALLIANCE HEALTHCARE ( DISTRIBUTION ) LTD,661730,36869.33
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,SSD Services from B Braun,Medicines Mgmt & Pharmacy Directorate,B BRAUN STERILOG ( YORKSHIRE ) LTD,328742614,250169.96
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,SSD Services from B Braun,Medicines Mgmt & Pharmacy Directorate,B BRAUN STERILOG ( YORKSHIRE ) LTD,328742619,62881.77
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,M&S-CAPD Equipment,Specialty Medicine Directorate,BAXTER HEALTHCARE LTD,1259541,69968.35
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,BAXTER HEALTHCARE LTD,1260441,27600
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Blood - Commercial,Oncology and Physics Directorate,BAXTER HEALTHCARE LTD,1272545,29600
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,BAXTER HEALTHCARE LTD,1272859,27600
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,CAP-Engineering Contracts,Corporate,BCS ELECTRICS LTD,11225,15681.34
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,CAP-Engineering Contracts,Corporate,BCS ELECTRICS LTD,11225,89607.69
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,BIOTEST (UK) LTD,3139326,33500
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,BRISTOL MYERS SQUIBB PHARM LTD,100457376,26570.05
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,LGI Southern Syringe,Corporate,BUNZL HEALTHCARE,OP/I827954,32351.35
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,LGI Southern Syringe,Corporate,BUNZL HEALTHCARE,OP/I827961,39907.78
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,LGI Southern Syringe,Corporate,BUNZL HEALTHCARE,OP/I827962,57679.9
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,LGI Southern Syringe,Corporate,BUNZL HEALTHCARE,OP/I827963,104334.15
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,LGI Southern Syringe,Corporate,BUNZL HEALTHCARE,OP/I827964,54398.9
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Research Network (WY CLRN),Hosted Research & Development,CALDERDALE & HUDDERSFIELD NHS FOUNDATION,195346,70351.5
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Research Network (WY CLRN),Hosted Research & Development,CALDERDALE & HUDDERSFIELD NHS FOUNDATION,196924,70351.5
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Renal Satellite Services,Specialty Medicine Directorate,CALDERDALE & HUDDERSFIELD NHS FOUNDATION,197904,42458.53
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Renal Satellite Services,Specialty Medicine Directorate,CALDERDALE & HUDDERSFIELD NHS FOUNDATION,197905,42130.78
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Unitary Payment (PFI),Estates - Capital Investment,CATALYST HEALTHCARE ( LEEDS ) LTD,140,784888.31
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Interest Payable on obligations under PFI contracts,Non Operational-Below the Line,CATALYST HEALTHCARE ( LEEDS ) LTD,140,937333.33
