CPS outcomes by principal offence category north_wales,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,114,73.1%,42,26.9%
C Sexual Offences,10,66.7%,5,33.3%
D Burglary,25,89.3%,3,10.7%
E Robbery,9,100.0%,0,0.0%
F Theft And Handling,154,92.2%,13,7.8%
G Fraud And Forgery,4,66.7%,2,33.3%
H Criminal Damage,53,93.0%,4,7.0%
I Drugs Offences,47,100.0%,0,0.0%
J Public Order Offences,75,91.5%,7,8.5%
K All Other Offences (excluding Motoring),55,85.9%,9,14.1%
L Motoring Offences,266,97.8%,6,2.2%
Admin Finalisations,0,0.0%,2,100.0%
TOTAL,812,89.7%,93,10.3%
