Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Clinical Excellence,20/09/2011,CHAPS Control Account,Balance Sheet,AMAS LTD,13656092,50415.31,"Quarterly service charge of office space at 71 High Holborn, London",,,,,
Department of Health,National Institute for Health & Clinical Excellence,19/09/2011,Rent,NP- Facilities - Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,13654975,69437.5,"Quarterly rent of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,19/09/2011,Rent,NP- Facilities - Manchester,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,13654976,66313.71,"Quarterly rent and service charge of office space at Level 1A, City Tower, Manchester",,,,,
Department of Health,National Institute for Health & Clinical Excellence,21/09/2011,Travel & Subsistence,NP - Facilities - London,CAPITA BUSINESS TRAVEL,13670947,41158.43,Train tickets for period 24/07/2011 to 20/08/2011,,,,,
Department of Health,National Institute for Health & Clinical Excellence,21/09/2011,Travel & Subsistence,NP - Facilities - London,CAPITA BUSINESS TRAVEL,13670995,54150.54,Train tickets for period 21/08/2011 to 17/09/2011,,,,,
Department of Health,National Institute for Health & Clinical Excellence,23/09/2011,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,13685504,30167.59,"Network and Data, including inter site telecoms supply to NICE’s 3 sites and organisational external telephone connection provision",,,,,
Department of Health,National Institute for Health & Clinical Excellence,01/09/2011,Agency Admin & Clerical,IM&T Core,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,13564304,116884.8,Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,19/09/2011,Agency Admin & Clerical,IM&T Core,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,13655011,31370.4,Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Clinical Excellence,19/09/2011,Insurance Costs,NP- Facilities - Liverpool,LIVERPOOL PCT,13654965,1826.31,"Insurance of office space at Vortex Court, Wavertree Technology Park, Liverpool for 01/07/11 - 31/03/11",,,,,
Department of Health,National Institute for Health & Clinical Excellence,19/09/2011,Rent,NP- Facilities - Liverpool,LIVERPOOL PCT,13654965,35109.75,"Quarterly rent and service charge of office space at Vortex Court, Wavertree Technology Park, Liverpool",,,,,
Department of Health,National Institute for Health & Clinical Excellence,19/09/2011,Electricity,NP- Facilities - Liverpool,LIVERPOOL PCT,13654965,1596.88,"Electricity for office space at Vortex Court, Wavertree Technology Park, Liverpool for 01/04/11 - 31/05/11",,,,,
Department of Health,National Institute for Health & Clinical Excellence,14/09/2011,Computer Maintenance,NP - IM&T,LOGICA UK LTD,13631716,30804.46,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Clinical Excellence,14/09/2011,Computer Maintenance,NP - IM&T,LOGICA UK LTD,13631718,46837.85,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Clinical Excellence,14/09/2011,Computer Maintenance,NP - IM&T,LOGICA UK LTD,13631719,25608,Renewal of Smartlogic Licences & annual maintenance & support,,,,,
Department of Health,National Institute for Health & Clinical Excellence,14/09/2011,Audit Fees: Statutory,NP-Finance,NATIONAL AUDIT OFFICE,13631757,54500,Audit fee for 2010-11 Financial Statements,,,,,
Department of Health,National Institute for Health & Clinical Excellence,12/09/2011,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,13615105,1140000,Quarter 2 National Collaborating Centre,,,,,
Department of Health,National Institute for Health & Clinical Excellence,16/09/2011,Contr Other External,NP- PH Excellence Office,UNIVERSITY OF SHEFFIELD,13646795,172250,Quarter 2 supply of services relating to Centre for Public Health Excellence Collaborating Centre,,,,,
Department of Health,National Institute for Health & Clinical Excellence,21/09/2011,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,13670945,48130,invoice error,,,,,
Department of Health,National Institute for Health & Clinical Excellence,21/09/2011,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,13670997,-48130,credit relating to invoice in error,,,,,
