Consolidated Spend for November 2017,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type ,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,02/11/2017,Managed Services,Information Services,CGI IT UK Ltd,825482,"£26,934.10",ICT Support
Department of Education,OFSTED,08/11/2017,Managed Services,Information Services,Data Continuity Group Limited,825534,"£27,310.20",ICT Support
Department of Education,OFSTED,13/11/2017,Managed Services,Information Services,CACI Ltd,825585,"£29,700.00",ICT Support
Department of Education,OFSTED,13/11/2017,Managed Services,Information Services,CACI Ltd,825586,"£30,050.00",ICT Support
Department of Education,OFSTED,06/11/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825516,"£31,034.97",Contingent Labour
Department of Education,OFSTED,02/11/2017,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,825492,"£31,724.72",Vehicle Hire
Department of Education,OFSTED,01/11/2017,Managed Services,Information Services,CGI IT UK Ltd,825465,"£31,943.95",ICT Support
Department of Education,OFSTED,17/11/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,825649,"£31,966.23",Contingent Labour
Department of Education,OFSTED,06/11/2017,Managed Services,Communications,Informed Solutions Ltd,825513,"£35,100.00",Digital Communications
Department of Education,OFSTED,01/11/2017,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,825444,"£36,117.11",Meeting and Conferencing Service
Department of Education,OFSTED,03/11/2017,Accommodation Service Charge,Property Division,Montagu Evans LLP,825497,"£39,881.63",Accommdation Rent and Service Charge
Department of Education,OFSTED,02/11/2017,Managed Services,Information Services,CGI IT UK Ltd,825493,"£41,059.82",ICT Support
Department of Education,OFSTED,01/11/2017,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,118,"£43,046.27",Company Credit Card
Department of Education,OFSTED,01/11/2017,Managed Services,Programmes & Transformation,Tribal Education Ltd,825440,"£44,391.53",ICT Support
Department of Education,OFSTED,01/11/2017,Managed Services,Programmes & Transformation,Tribal Education Ltd,825441,"£44,391.53",ICT Support
Department of Education,OFSTED,08/11/2017,Managed Services,Information Services,CACI Ltd,825531,"£44,880.00",ICT Support
Department of Education,OFSTED,30/11/2017,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,119,"£48,396.83",Company Credit Card
Department of Education,OFSTED,23/11/2017,Information Services,Information Services,Rainmaker Solutions Limited,825708,"£73,615.63",ICT Support
Department of Education,OFSTED,02/11/2017,Managed Services,Information Services,CACI Ltd,825485,"£78,210.00",ICT Support
Department of Education,OFSTED,02/11/2017,Managed Services,Information Services,CGI IT UK Ltd,825491,"£81,067.91",ICT Support
Department of Education,OFSTED,23/11/2017,Facilities Management Services,Property Division,Interserve FM Ltd,825697,"£85,453.94",Office relocation costs
Department of Education,OFSTED,02/11/2017,Managed Services,Information Services,CACI Ltd,825490,"£90,507.00",ICT Support
Department of Education,OFSTED,06/11/2017,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,825510,"£473,763.07",Travel and Overnight Accommodation
