Transaction Date,Transaction Reference,Merchant,Total
4/24/2013,PCCL1685821,WWW.CIMAGLOBAL/BPP       ,2012.4
4/3/2013,PCCL1677311,NAI LERT PARK BANGKOK A R,940.33
4/16/2013,PCCL1682791,SODEXHO LTD-OFFICE       ,697.22
4/3/2013,PCCL1671461,HILTON                   ,1081.15
4/26/2013,PCCL1681641,GRAND HYATT DUBAI        ,710.36
4/26/2013,PCCL1681651,GRAND HYATT DUBAI        ,727.26
4/11/2013,PCCL1685191,HOTEL HSC                ,1330.92
4/12/2013,PCCL1684661,HOTEL HSC                ,849.2
4/12/2013,PCCL1684671,HOTEL HSC                ,851.38
4/2/2013,418377802,Hogg Robinson Group Ltd,-1104.3
4/2/2013,418613907,Hogg Robinson Group Ltd,529.7
4/3/2013,418615125,Hogg Robinson Group Ltd,2036.15
4/3/2013,418990989,Hogg Robinson Group Ltd,2894.58
4/3/2013,418611663,Hogg Robinson Group Ltd,3465.95
4/3/2013,418611666,Hogg Robinson Group Ltd,4199.91
4/3/2013,418611667,Hogg Robinson Group Ltd,4199.91
4/3/2013,418611668,Hogg Robinson Group Ltd,4199.91
4/3/2013,418990991,Hogg Robinson Group Ltd,4208.96
4/4/2013,418983810,Hogg Robinson Group Ltd,1101.25
4/4/2013,418983807,Hogg Robinson Group Ltd,4736.65
4/5/2013,419228284,Hogg Robinson Group Ltd,614.43
4/5/2013,419228285,Hogg Robinson Group Ltd,614.43
4/5/2013,419228286,Hogg Robinson Group Ltd,614.43
4/5/2013,419228288,Hogg Robinson Group Ltd,614.43
4/5/2013,419228264,Hogg Robinson Group Ltd,763.43
4/5/2013,419228282,Hogg Robinson Group Ltd,763.43
4/5/2013,419228289,Hogg Robinson Group Ltd,763.43
4/8/2013,419464325,Hogg Robinson Group Ltd,573.34
4/8/2013,419464329,Hogg Robinson Group Ltd,573.34
4/8/2013,419464322,Hogg Robinson Group Ltd,660.62
4/8/2013,419464323,Hogg Robinson Group Ltd,660.62
4/8/2013,419464324,Hogg Robinson Group Ltd,660.62
4/8/2013,419464326,Hogg Robinson Group Ltd,660.62
4/8/2013,419464327,Hogg Robinson Group Ltd,660.62
4/8/2013,419464328,Hogg Robinson Group Ltd,712.06
4/8/2013,419463476,Hogg Robinson Group Ltd,738.99
4/9/2013,420371249,Hogg Robinson Group Ltd,-629.9
4/9/2013,420371250,Hogg Robinson Group Ltd,-629.9
4/10/2013,419983424,Hogg Robinson Group Ltd,789.1
4/10/2013,419983447,Hogg Robinson Group Ltd,1691.05
4/10/2013,419988286,Hogg Robinson Group Ltd,3489.85
4/11/2013,420371244,Hogg Robinson Group Ltd,-2336.29
4/11/2013,420371220,Hogg Robinson Group Ltd,1225.45
4/11/2013,420371221,Hogg Robinson Group Ltd,5697.45
4/12/2013,420371241,Hogg Robinson Group Ltd,505.2
4/12/2013,420371242,Hogg Robinson Group Ltd,1888.85
4/12/2013,421156933,Hogg Robinson Group Ltd,2225.24
4/12/2013,420371227,Hogg Robinson Group Ltd,2247.65
4/12/2013,420371231,Hogg Robinson Group Ltd,4387.15
4/15/2013,421157027,Hogg Robinson Group Ltd,542.06
4/15/2013,420892742,Hogg Robinson Group Ltd,3504.65
4/16/2013,421161757,Hogg Robinson Group Ltd,603.35
4/16/2013,421161758,Hogg Robinson Group Ltd,3069.85
4/17/2013,421873147,Hogg Robinson Group Ltd,3001.06
4/18/2013,421869603,Hogg Robinson Group Ltd,1216.6
4/19/2013,421869588,Hogg Robinson Group Ltd,1825.15
