Name,JobTitle,NatureOfGiftHospitality,NameOfProvider,DateGiftHospitalityReceivedFrom,DateGiftHospitalityReceivedTo
Julie Pierce,"Director of Openness, Digital and Data","Evening drinks reception on Data and Privacy at the Travellers Club, Pall Mall, London",Centre for Science and Policy University of Cambridge,2016-04-01,2016-04-01
Maria Jennings,Director for FSA Northern Ireland and Organisational Development ,Dinner for the Food and Drink Industry,Deloitte,2016-04-07,2016-04-07
Julie Pierce,"Director of Openness, Digital and Data",Earphones (won in a raffle),Noord Group Ltd,2016-04-14,2016-04-14
Heather Hancock,Chairman of the Board,Silver Necklace,Deloitte,2016-04-15,2016-04-15
Julie Pierce,Director of Openness Digital and Data,Dinner,Leading Edge Forum,2016-04-25,2016-04-25
Julie Pierce,Director of Openness Digital and Data,Dinner,Methods - Digital Leaders (DL100) awards ceremony,2016-05-01,2016-05-01
Julie Pierce,Director of Openness Digital and Data,Dinner,Salesforce Executive Women's Leadership Dinner,2016-05-12,2016-05-12
Catherine Brown,Chief Executive,Dinner & Drinks  ,Clarence House,2016-05-17,2016-05-17
Catherine Brown,Chief Executive,Dinner & Drinks,Stakeholders,2016-06-02,2016-06-02
Maria Jennings,Director for FSA Northern Ireland and Organisational Development ,Ulster Farmers' Union Annual Dinner,Ulster Farmers' Union,2016-06-02,2016-06-02
Maria Jennings,Director for FSA Northern Ireland and Organisational Development ,NI Grain Trade Association Annual Dinner,NI Grain Trade Association,2016-06-09,2016-06-09
Steve Wearne,Director of Policy,Evening Meal,Bernard Matthews,2016-06-15,2016-06-15
Steve Wearne,Director of Policy,Evening Meal,NVWA,2016-06-27,2016-06-27
