No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Transfer AGNEW,Stage 2 - Total,Stage 3 - Exclusion SHAW,Stage 3 - Total,Stage 4 - Exclusion HILL,Stage 4 - Total,Stage 5 - Transfer BALL,Stage 5 - Total,Stage 6 - Exclusion GRATTAN,Stage 6 - Total,Stage 7 - Exclusion FRAZER,Stage 7 - Total,Stage 8 - Exclusion CAMPBELL,Stage 8 - Total,Stage 9 - Exclusion LOGAN,Stage 9 - Total
1,AGNEW,Fraser,Ulster Unionist Party,Elected - Stage 1,1275.00,-331.00,944.00,0.00,944.00,0.00,944.00,0.00,944.00,0.00,944.00,0.00,944.00,0.00,944.00,0.00,944.00
2,BALL,William,Democratic Unionist Party - D.U.P.,Elected - Stage 4,738.00,63.44,801.44,12.30,813.74,188.00,1001.74,-57.74,944.00,0.00,944.00,0.00,944.00,0.00,944.00,0.00,944.00
3,BARR,Pamela,Democratic Unionist Party - D.U.P.,Elected - Stage 9,526.00,17.68,543.68,3.26,546.94,38.38,585.32,52.80,638.12,19.52,657.64,19.04,676.68,21.00,697.68,118.30,815.98
4,CAMPBELL,Tom,Alliance Party,Elected - Stage 7,745.00,8.84,753.84,3.00,756.84,0.00,756.84,0.00,756.84,98.52,855.36,376.00,1231.36,-287.36,944.00,0.00,944.00
5,FRAZER,Lynn,Alliance Party,Excluded - Stage 6,424.00,9.36,433.36,0.26,433.62,0.00,433.62,0.00,433.62,81.26,514.88,-514.88,0.00,0.00,0.00,0.00,0.00
6,GRATTAN,Gary,NI21,Excluded - Stage 5,369.00,4.94,373.94,3.00,376.94,2.00,378.94,0.00,378.94,-378.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,HILL,Robert,Democratic Unionist Party - D.U.P.,Excluded - Stage 3,293.00,10.66,303.66,2.00,305.66,-305.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,KELSO,Ben,Ulster Unionist Party,Elected - Stage 9,587.00,169.00,756.00,7.04,763.04,10.56,773.60,0.30,773.90,75.60,849.50,31.68,881.18,89.00,970.18,0.00,970.18
9,LOGAN,Darren William,Progressive Unionist Party of Northern Ireland,Excluded - Stage 8,343.00,5.20,348.20,170.78,518.98,2.52,521.50,0.00,521.50,12.00,533.50,2.52,536.02,10.00,546.02,-546.02,0.00
10,MAWHINNEY,Trevor,Traditional Unionist Voice - TUV,Excluded - Stage 9,524.00,16.38,540.38,8.78,549.16,6.30,555.46,0.90,556.36,21.26,577.62,6.52,584.14,17.00,601.14,139.56,740.70
11,ROSS,Stephen,Democratic Unionist Party - D.U.P.,Elected - Stage 9,557.00,15.08,572.08,17.52,589.60,48.60,638.20,2.10,640.30,15.52,655.82,5.78,661.60,10.00,671.60,100.82,772.42
12,SHAW,Jackie,Progressive Unionist Party of Northern Ireland,Excluded - Stage 2,225.00,5.46,230.46,-230.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Non-Transferable,,,,,,4.96,4.96,2.52,7.48,9.30,16.78,1.64,18.42,55.26,73.68,73.34,147.02,140.36,287.38,187.34,474.72
TOTALS,,,,,6606.00,,6606.00,,6606.00,,6606.00,,6606.00,,6606.00,,6606.00,,6606.00,,6606.00
