Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/07/2016,Staff Costs,People Places & Serv Direct,Knowledge Academy,S01102584,28917.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/07/2016,Information Technology,People Places & Serv Direct,Computacenter (UK) ltd,3880878816,3805.60,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,05/07/2016,Staff Costs,People Places & Serv Direct,British Red Cross,C452921,572.38,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,05/07/2016,Staff Costs,People Places & Serv Direct,British Red Cross,N1052000,750.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,26/07/2016,Staff Costs,People Places & Serv Direct,Cardinus Risk Management Ltd,INV-65963-H5BWTP,709.68,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,19/07/2016,Information Technology,People Places & Serv Direct,Cardinus Risk Management Ltd,INV-66096-QWLC36,1050.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/07/2016,Postage & Delivery Costs,People Places & Serv Direct,DHL International (UK) Ltd,BRS9570118,1242.18,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,05/07/2016,Miscellaneous Expenses General,People Places & Serv Direct,Liftshare.com  Ltd,1243,27559.32,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/07/2016,Postage & Delivery Costs,People Places & Serv Direct,Royal Mail,9052462978,1477.50,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,05/07/2016,Travel & Subsistence,People Places & Serv Direct,Veezu Ltd T/A Dragon Taxis (Newport),605,60531.52,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,26/07/2016,Staff Costs,People Places & Serv Direct,Thomas Carroll Management Services Ltd,5858,1085.40,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,26/07/2016,Staff Costs,People Places & Serv Direct,University of  South Wales,OP-I033501,315370.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,11/07/2016,Pay Costs,Finance Directorate,Accountancy Recruitment Wales,2152,1900.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/07/2016,Pay Costs,Finance Directorate,Accountancy Recruitment Wales,2162,7988.23,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,20/07/2016,Pay Costs,Finance Directorate,Accountancy Recruitment Wales,2172,2690.88,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,28/07/2016,Pay Costs,Finance Directorate,Accountancy Recruitment Wales,2184,4856.54,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/07/2016,Information Technology,Patent Directorate,FIRSTLIOT LTD,36,12222.72,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/07/2016,Information Technology,Patent Directorate,FIRSTLIOT LTD,37,3680.64,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/07/2016,Marketing & Publicity,International Policy Directorate,Richard Windsor,80,2324.69,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,12/07/2016,Supporting UK Business,Copyright and Enforcement Directorate,Alliance IP Training,IPO/002/2016,8274.97,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,28/07/2016,Supporting UK Business,Copyright and Enforcement Directorate,City of London Police,4176133,2280.29,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,12/07/2016,Supporting UK Business,Copyright and Enforcement Directorate,DAN ANTHONY PRESENTATIONS LTD,151,3420.13,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,26/07/2016,Miscellaneous Expenses General,Copyright and Enforcement Directorate,whiteBULLET Solutions Ltd,IPO-003-16,2376.55,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,01/07/2016,Information Technology,Copyright and Enforcement Directorate,iKnow Solutions,2016-075,18545.32,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,05/07/2016,Travel & Subsistence,People Places & Serv Direct,Veezu Ltd T/A Dragon Taxis (Newport),605,2348.54,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/07/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,3420.13,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/07/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,2517.48,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/07/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,3201.68,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/07/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,2784.55,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/07/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,12550.46,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/07/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,6651.80,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,08/07/2016,Accommodation,People Places & Serv Direct,HFX Ltd,25983,5121.42,Not Applicable,
