June 2015 - Spend Above £25k,,,,,,,,,,,
,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type,Document
Department of Education,OFSTED,25/06/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,815897,"£27,464.27",Contingent Labour,AL1 4ZX,Admin Class,IMPINMAN
Department of Education,OFSTED,09/06/2015,ICT Systems,Information Services,CACI Ltd,815684,"£170,380.80",ICT Support,W14 8TS,Admin Class,IMPINMAN
Department of Education,OFSTED,02/06/2015,ICT Systems,Information Services,CACI Ltd,815603,"£149,032.21",ICT Support,W14 8TS,Admin Class,IMPINMAN
Department of Education,OFSTED,15/06/2015,ICT Systems,Information Services,CACI Ltd,815692,"£112,240.80",ICT Support,W14 8TS,Admin Class,IMPINMAN
Department of Education,OFSTED,26/06/2015,ICT Systems,Information Services,CACI Ltd,815917,"£26,400.00",ICT Support,W14 8TS,Programme Class,IMPINMAN
Department of Education,OFSTED,08/06/2015,Travel,Corporate Transactions,Calder Conferences Ltd,815649,"£83,325.53",Meeting and Conferencing Service,LS16 6RF,Admin Class,IMPINMAN
Department of Education,OFSTED,04/06/2015,Travel,Corporate Transactions,Calder Conferences Ltd,815622,"£44,313.82",Meeting and Conferencing Service,LS16 6RF,Admin Class,IMPINMAN
Department of Education,OFSTED,25/06/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,160023,"£540,637.00",Inspection Service Provider,RG1 4BS,Programme Class,PINMAN
Department of Education,OFSTED,08/06/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,815664,"£311,860.79",Inspection Service Provider,RG1 4BS,Programme Class,IMPINMAN
Department of Education,OFSTED,25/06/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,160024,"£37,325.00",Inspection Service Provider,RG1 4BS,Programme Class,PINMAN
Department of Education,OFSTED,25/06/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,815899,"£28,149.00",Inspection Service Provider,RG1 4BS,Programme Class,IMPINMAN
Department of Education,OFSTED,01/06/2015,Managed Services,Information Services,CGI IT UK Ltd,815540,"£272,739.84",ICT Support,RG2 6UA,Admin Class,IMPINMAN
Department of Education,OFSTED,22/06/2015,Managed Services,Information Services,CGI IT UK Ltd,815838,"£268,795.70",ICT Support,RG2 6UA,Admin Class,IMPINMAN
