Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Finance Directorate,Amazon EU,Onecard121,36.85,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Other Stationery & General Supplies,Finance Directorate,UK LASER SUPPLIES,Onecard122,634.45,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard123,36.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard124,90.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard125,72.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Other Stationery & General Supplies,Finance Directorate,WWW.CARTRIDGESAVE.CO.U,Onecard126,245.45,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Computer hardware and software,Business Support Directorate,BNPCS/HP PARTS,Onecard127,178.20,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Other Stationery & General Supplies,Finance Directorate,UK LASER SUPPLIES,Onecard128,945.60,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Computer hardware and software,Business Support Directorate,WEBSITEPULSE.COM,Onecard129,34.66,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard123,15.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard124,26.23,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard125,15.43,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard123,20.40,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard124,18.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard125,24.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,MEETINGZONE LTD,Onecard130,197.82,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,3-MAIDENHEAD,Onecard131,79.94,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Other Stationery & General Supplies,Finance Directorate,WWW.CARTRIDGESAVE.CO.U,Onecard132,660.33,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,MEETINGZONE LTD,Onecard133,248.35,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Telephone Rentals and Call Charges,Business Support Directorate,RENTALS FROM 02,Onecard125,15.60,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Other Stationery & General Supplies,Finance Directorate,CABOODLE,ANBECOC083,51.36,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Other Stationery & General Supplies,Finance Directorate,JAKABAR,ANBECOC084,54.73,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Business Support Directorate,ICS LIMITED,ANBECOC087,391.99,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Other Stationery & General Supplies,Finance Directorate,Amazon EU,ANBECOC086,22.25,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Business Support Directorate,EMPLOYERS FORUM,ANBECOC088,442.80,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Other Stationery & General Supplies,Finance Directorate,Amazon  Mktplce EU-UK,ANBECOC090,79.99,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Travel and subsistence UK,International Policy Directorate,MORGAN HOTEL,RGRE036,100.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,International Policy Directorate,Amazon EU,RGRE037,74.40,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Travel and subsistence UK,International Policy Directorate,HEATHROW EXPRESS,RGRE039,16.50,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Travel and subsistence UK,International Policy Directorate,HEATHROW EXPRESS,RGREY040,16.50,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Patents Directorate,Amazon  Mktplce EU-UK,HHART17,61.02,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Patents Directorate,IET EVENT SERVICES,HHART18,861.60,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Travel and subsistence Overseas,Patents Directorate,NCP BOOKING,HHART20,21.49,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Patents Directorate,Amazon EU,HHART19,31.25,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Travel and subsistence Overseas,Patents Directorate,NCP BOOKING,HHART21,30.99,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Patents Directorate,QA-IQ LTD,HHART22,940.80,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Patents Directorate,Amazon  Mktplce EU-UK,HHART23,237.64,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Travel and subsistence UK,Innovation Directorate,TIMES+GBP,andsm04,1.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Copyright and IP Enforcement Directorate,Amazon EU,cmaye002,571.80,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Business Support Directorate,QUADRILECT LTD,CJONE08,948.48,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Trade Marks Directorate,COMPUTER AID LTD,CMUND003,156.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Travel and subsistence UK,Trade Marks Directorate,BAA ADVANCE,CMUND001,47.80,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Patents Directorate,Amazon EU,ECALL70,23.42,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Overseas Patent Specifications,Patents Directorate,JWS WILEY PUBLISHERS,ECALL71,27.10,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Overseas Patent Specifications,Patents Directorate,ONEPETRO,ECALL72,16.28,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Innovation Directorate,Amazon EU,ERICH01,96.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Copyright and IP Enforcement Directorate,CONDE NAST PUBLICATION,fduts004,48.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Entertainment,Copyright and IP Enforcement Directorate,TESCO STORE 2931,fduts003,15.92,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Copyright and IP Enforcement Directorate,EB  BRANDS COMPETITION,fduts05,50.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Travel and subsistence Overseas,Copyright and IP Enforcement Directorate,WWW.RAILEUROPE.CO.UK,fduts06,128.13,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,THISTLE HOTEL,fduts007,132.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Business Support Directorate,Amazon EU,Ref MA5,96.10,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Books  Newspapers & Publications,Business Support Directorate,Amazon EU,Ref MA5,35.30,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Other,Business Support Directorate,WIGGLE LTD,nacol21,48.95,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,Amazon EU,nacol22,9.10,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,HALFORDS ON LINE,nacol23,51.95,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,Amazon  Mktplce EU-UK,nacol30,73.49,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,Amazon EU,nacol28,17.00,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,DEBENHAMS.COM,nacol29,30.00,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,WWW.RIBBLECYCLES.CO.UK,nacol26,48.60,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,WIGGLE LTD,nacol25,59.99,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,WIGGLE LTD,nacol27,65.97,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,Amazon  Mktplce EU-UK,nacol35,59.50,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,Amazon  Mktplce EU-UK,nacol32,51.48,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,Amazon EU,nacol34,39.98,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Entertainment,Business Support Directorate,4275,nacol31,15.06,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,ARGOS RETAIL GROUP,nacol24,22.94,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Other,Business Support Directorate,WIGGLE LTD,nacol33,26.97,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Training,Business Support Directorate,CONTROL CHAOS,PH0002,710.98,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Computer hardware and software,Business Support Directorate,WWW.PERLE.COM,PH0003,377.04,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Training,Finance Directorate,Amazon  Mktplce EU-UK,pgate005,13.72,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Training,Finance Directorate,Amazon  Mktplce EU-UK,pgate006,8.41,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Training,Finance Directorate,Amazon  Mktplce EU-UK,pgate007,9.45,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Training,Finance Directorate,Amazon  Mktplce EU-UK,pgate008,9.98,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Finance Directorate,Amazon  Mktplce EU-UK,pgate009,3.59,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Business Support Directorate,DOD`S PARLIAMENTARY CO,pgate010,2700.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Business Support Directorate,DOD`S PARLIAMENTARY CO,pgate011,2700.00,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2011,Training,Business Support Directorate,QUADRILECT LTD,Maur0048,474.24,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Office Supplies,Business Support Directorate,NUKEY,Maur0050,43.74,Not applicable
Department for Business Innovation and Skills,Intellectual Property Office,27/11/2011,Minor Buiding Works &Maintenance,Business Support Directorate,CONTROLS CENTER,Maur0051,378.01,Not applicable
