CPS outcomes by principal offence category greater_manchester,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,7,100.0%,0,0.0%
B Offences Against The Person,693,74.9%,232,25.1%
C Sexual Offences,57,73.1%,21,26.9%
D Burglary,183,90.1%,20,9.9%
E Robbery,85,87.6%,12,12.4%
F Theft And Handling,776,91.3%,74,8.7%
G Fraud And Forgery,79,94.0%,5,6.0%
H Criminal Damage,192,85.7%,32,14.3%
I Drugs Offences,415,95.8%,18,4.2%
J Public Order Offences,481,88.4%,63,11.6%
K All Other Offences (excluding Motoring),144,87.8%,20,12.2%
L Motoring Offences,"1,561",91.1%,152,8.9%
Admin Finalisations,0,0.0%,35,100.0%
TOTAL,"4,673",87.2%,684,12.8%
