Entity,GL Date,Merchant name, Amount ,Description
AHVLA,08/07/2014,WWW.NEOPOST.CO.UK - 0845 8800000 , £515.00 ,Top Up Bury Franking Machine for July 2014
AHVLA,08/07/2014,WWW.FPMAILING.CO.UK - INTERNET     , £524.00 ,Top Up Chelmsford Franking Machine for July 2014
AHVLA,30/07/2014,WWW.NEOPOST.CO.UK - 0845 8800000 ," £1,030.00 ",Top Up Truro Franking Machine for July 2014
AHVLA,28/07/2014,WWW.ED.AC.UK - INTERNET     , £565.65 ,Registration Conference dinner and Accommodation for one person for five nights attending European Wildlife Disease Association conference in Edinburgh
AHVLA,04/07/2014,WALLS TRUCK SERVIC - NEWPORT      ," £2,220.00 ","Transport three Mobile Units from Sand Hutton, York to Monmouth with change to smaller vehicle at Newport."
AHVLA,04/07/2014,WALLS TRUCK SERVIC - NEWPORT      , £720.00 ,"Transport three Mobile Units from Sand Hutton, York to Monmouth with change to smaller vehicle at Newport."
CCW,02/07/2014,ECLIPSE NETWORKING LIM   0148260282, £804.54 ,Monthly Broadband Charges for Network Connections from June-July 2014
CEFAS,02/07/2014,AIR EXPRESS TRAVEL, £811.42 ,Return flight to Canada for one person to work with colleagues from Canada University of Prince Edward Island 
CEFAS,15/07/2014,CRUCIAL.COM, £511.18 ,Computer Equipment - 64GB of memory for a new underwater acoustics processing PC within the Marine Instrumentation and Surveys' Team.
CEFAS,23/07/2014,DABS.COM PLC, £550.06 ,Computer equipment for part of the Rationalisation information technology (IT) Project for the Research Vessel Cefas Endeavour
CEFAS,23/07/2014,DABS.COM PLC, £550.06 ,PC parts for the information technology (IT) replacement project for the Cefas Endeavour
CEFAS,23/07/2014,DABS.COM PLC, £665.77 ,Computer equipment for part of the Rationalisation for information technology (IT) Project for the Research Vessel Cefas Endeavour
CEFAS,25/07/2014,DABS.COM PLC, £786.78 ,Computer equipment for part of the Rationalisation for information technology (IT) Project for the Research Vessel Cefas Endeavour
CEFAS,17/07/2014,KEY INDUSTRIAL EQUI, £797.18 ,41 Storage Boxes of varying sizes for an Off-Site Storage Facility. 
CEFAS,01/07/2014,CJK PACKAGING, £780.84 ,Containers for milk sample collection to complete Food Standards Agency Radiobiological Monitoring
CEFAS,18/07/2014,COMPLETEOUTDOORS, £956.00 ,Icepacks that go on the boxes that transport the shellfish samples from the local authorities to the lab. Keeps the samples suitable for testing
CEFAS,04/07/2014,OS-PUC-2014-6," £1,008.75 ",An open-access journal publication fee for a peer-reviewed scientific publication called Modelling survival and connectivity of Mnemiopsis leidyi in the southern North Sea and Scheldt estuaries. 
CEFAS,18/07/2014,IADR-INTERN. A. FOR, £560.06 ,Registration fees for The 34th International Symposium on Halogenated Persistent Organic Pollutants (Dioxin2014) conference held in Madrid 
CEFAS,18/07/2014,MELIA CASTILLA, £503.16 ,Accommodation for one person for six nights attending the 34th International Symposium on Halogen held in Madrid
CEFAS,12/07/2014,HOTEL DIEGO DE ALMA, £837.93 ,"Accommodation for one person for 14 nights in Punta Arenas, Chile, attending meetings for the Commission for the Conservation of Antarctic Marine Living Resources."
CEFAS,22/07/2014,NANOPORETECH.COM, £654.25 ,Refundable deposit for a specialist MinIon sequencing device obtained from Nanopore technologies. Costs will be reimbursed
CEFAS,18/07/2014,HOTEL DIEGO DE ALMA, £748.93 ,"Accommodation for one person for 20 nights to attend two working groups on Statistics, Assessment and Modellin, and Ecosystem Monitoring and Management held in Punta Arenas"
DEFRA,29/07/2014,Elki-Palki 9             Moskva       ," £1,024.22 ",Workshop dinner for 38 delegates who participated in an animal disease foresight workshop in Moscow organised by the EU-funded global network on animal disease research. Expense covered by EU project grant.
DEFRA,11/07/2014,FINANCIAL TIMES          LONDON       , £702.00 ,Annual subscription for Financial Times paper copy and digital 
DEFRA,15/07/2014,ISMAILOVO  DELTA  RECEPT MOSCOW       , £620.49 ,Accommodation for one person from Brazil for seven nights attending an animal disease foresight workshop in Moscow organised by the EU-funded global network on animal disease research. Expense covered by EU project grant.
DEFRA,30/07/2014,PAYATRADER               03331231243  , £587.10 ,"Hire of coaches for two days. Day one was for 60 people and day two for 70 people both to the 21st National Rural Network Meeting at Castle Green Hotel in Kendal, Cumbria "
DEFRA,15/07/2014,ISMAILOVO  DELTA  HOTEL  MOSCOW       , £554.96 ,Accommodation for one person for six nights attending the Strategic Alliances for the Coordination of Research on the Major Infectious Diseases of Animals and Zoonoses (STAR-IDAZ) project in Moscow as a workshop coordinator. Expense covered by EU project grant.
DEFRA,15/07/2014,ISMAILOVO  DELTA  HOTEL  MOSCOW       , £554.96 ,Accommodation for one person for six nights attending the Strategic Alliances for the Coordination of Research on the Major Infectious Diseases of Animals and Zoonoses (STAR-IDAZ) project in Moscow as a workshop coordinator. Expense covered by EU project grant.
DEFRA,15/07/2014,ISMAILOVO  DELTA  HOTEL  MOSCOW       , £554.96 ,Accommodation for one person for six nights attending the Strategic Alliances for the Coordination of Research on the Major Infectious Diseases of Animals and Zoonoses (STAR-IDAZ) project in Moscow as a workshop coordinator. Expense covered by EU project grant.
DEFRA,15/07/2014,ISMAILOVO  DELTA  HOTEL  MOSCOW       , £554.96 ,Accommodation for one person for six nights attending the Strategic Alliances for the Coordination of Research on the Major Infectious Diseases of Animals and Zoonoses (STAR-IDAZ) project in Moscow as a workshop coordinator. Expense covered by EU project grant.
DEFRA,23/07/2014,AMERICAN AI 0012185767971WASHINGTON NA, £517.42 ,Flight booked for one person from Washington to Chicago for part of a Secreatry of State visit. Adverse weather cancelled the original flight.
FERA,02/07/2014,Cleanroomshop, £527.70 ,Disinfectant klercide for controlling the risk of sporicidal activity and bacterial spores in controlled environments  - Funded Project - cost will be reimbursed
FERA,02/07/2014,ESENDEX LIMITED, £540.00 ,Esendex subscription for a short message services (SMS) which supports the Cropmonitor and aphid systems that send disease alerts to customers 
FERA,02/07/2014,Glen Cove Mansion, £561.18 ,"Accommodation for one person for six nights on Long Island, New York for a research trip on communications in community recovery for the application on UK flood challenges. Funded Project - Cost Will be Reimbursed."
FERA,02/07/2014,WWW.BONDSOLON.COM, £948.00 ,"Registration of one person attending a two day Expert Witness training course for court proceedings, in London "
FERA,03/07/2014,Equip4work, £985.20 ,"Purchase of storage units with tambour doors (space saving doors which roll inside the door on opening), for the London Gateway Port. Funded Project - cost will be reimbursed."
FERA,08/07/2014,NYS Travel Ltd," £1,545.29 ","Flights for one person from Newcastle,UK to Montreal, Canada, to attend a funded project meeting - cost will be reimbursed"
