objectid,lau214cd,lau214nm,st_areashape,st_lengthshape
1,UKI2101021,Abbey,1181479.035,5769.21190374124
2,UKI2101022,Alibon,1344128.165,5778.86636816381
3,UKI2101023,Becontree,1369324.825,5650.60009800768
4,UKI2101024,Chadwell Heath,3281319.605,8145.66980306571
5,UKI2101025,Eastbrook,3416555.885,8249.29961233323
6,UKI2101026,Eastbury,1403330.78,6404.20588166251
7,UKI2101027,Gascoigne,1261847.37975374,5600.09499518074
8,UKI2101028,Goresbrook,1182523.795,4952.82766653267
9,UKI2101029,Heath,2005199.435,6784.48744023
10,UKI2101011,Longbridge,1759276.38,6038.67370156738
11,UKI2101030,Mayesbrook,1826451.67,7002.44450106381
12,UKI2101031,Parsloes,1232990.085,5915.21100917818
13,UKI2101032,River,3394148.39508,8862.65342925338
14,UKI2101033,Thames,6529446.81364845,11925.2318959952
15,UKI2101034,Valence,1237837.21,5108.2745820108
16,UKI2101035,Village,2137127.91,7137.27484955345
17,UKI2101036,Whalebone,1602802.625,5990.71696856396
18,UKI2301021,Brunswick Park,3121358.395,7594.33182782639
19,UKI2301022,Burnt Oak,2129852.195,5734.40555032063
20,UKI2301023,Childs Hill,3055998.145,8296.1613620856
21,UKI2301024,Colindale,2419941.915,7508.67093837622
22,UKI2301025,Coppetts,2671969.505,7189.02517403674
23,UKI2301006,East Barnet,3614682.39,8752.45088742159
24,UKI2301026,East Finchley,2342295.615,7564.12563529828
25,UKI2301027,Edgware,5789223.075,11015.4170138203
26,UKI2301028,Finchley Church End,2666189.04,7527.2551531506
27,UKI2301029,Garden Suburb,4820270.04,9380.44333699025
28,UKI2301030,Golders Green,3231249.535,8644.23988288629
29,UKI2301031,Hale,5247882.82,13003.8645377136
30,UKI2301032,Hendon,3119054.21,7480.37635491975
31,UKI2301033,High Barnet,7977931.26,16894.8112658123
32,UKI2301034,Mill Hill,9225363.44,12429.200807158
33,UKI2301035,Oakleigh,3570678.525,10286.003631854
34,UKI2301036,Totteridge,9111130.595,13925.4782142535
35,UKI2301037,Underhill,4756982.585,13243.7940643294
36,UKI2301038,West Finchley,2218082.105,6821.14237300378
37,UKI2301019,West Hendon,3187289.405,9086.65038883118
38,UKI2301039,Woodhouse,2682877.235,7524.18583726807
39,UKI2102024,Barnehurst,2740744.11,8368.48016532
40,UKI2102025,Belvedere,2865788.415765,8896.92791324951
41,UKI2102026,Blackfen and Lamorbey,1794438.52,6844.83506337206
42,UKI2102027,Blendon and Penhill,1917110.1,6862.17491110042
43,UKI2102028,Brampton,1953400.335,6483.47077016091
44,UKI2102029,Christchurch,2716453.455,6916.02970331142
45,UKI2102030,Colyers,1677656.06,6091.52219901691
46,UKI2102031,Crayford,4133229.695,8630.68259093482
47,UKI2102032,Cray Meadows,7207412.605,12476.414626684
48,UKI2102033,Danson Park,2577838.465,7246.37004586517
49,UKI2102012,East Wickham,2291674.665,6229.71984945912
50,UKI2102034,Erith,3432016.77973817,9404.07835283584
51,UKI2102035,Falconwood and Welling,1699883.52,6484.50052034633
52,UKI2102036,Lesnes Abbey,2224923.265,7527.23660776897
53,UKI2102037,Longlands,2621357.11,7956.34091074655
54,UKI2102038,North End,4445693.91952916,10844.5685422641
55,UKI2102039,Northumberland Heath,1814359.785,5580.60624197091
56,UKI2102040,St Mary's,4570151.8,10031.9560788037
57,UKI2102041,St Michael's,1388617.25,4753.44169434871
58,UKI2102042,Sidcup,2679690.175,8105.7308219942
59,UKI2102043,Thamesmead East,4105814.371385,8482.49902477072
60,UKI2302032,Alperton,2205181.685,8143.55433596257
61,UKI2302033,Barnhill,3140221.275,9129.17362476085
62,UKI2302034,Brondesbury Park,1779690.32,6151.74723472912
63,UKI2302035,Dollis Hill,2313988.06,5856.54116561789
64,UKI2302036,Dudden Hill,1774791.885,8290.93461905804
65,UKI2302037,Fryent,2678408.07,8030.67905457386
66,UKI2302038,Harlesden,897502.28,4599.94059861693
67,UKI2302039,Kensal Green,1192368.17,4595.23576557664
68,UKI2302040,Kenton,2092032.11,7223.09756054511
69,UKI2302041,Kilburn,940583.17,4859.8430762178
70,UKI2302042,Mapesbury,1344606.585,5323.92080593288
71,UKI2302043,Northwick Park,2730479.215,8018.96727553103
72,UKI2302044,Preston,2287485.35,7125.83318178513
73,UKI2302045,Queens Park,1530897.255,5781.36984443541
74,UKI2302046,Queensbury,2043735.54,6263.6850738885
75,UKI2302047,Stonebridge,4217120.705,10000.2230022485
76,UKI2302048,Sudbury,2317583.315,7682.73521872445
77,UKI2302049,Tokyngton,2573805.815,6846.91811809086
78,UKI2302050,Welsh Harp,2244291.85,7615.15237785045
79,UKI2302051,Wembley Central,1558293.805,6435.45175108323
80,UKI2302052,Willesden Green,1499442.07,6641.62583874987
81,UKI2201027,Bickley,4825811.76,9567.23785668701
82,UKI2201028,Biggin Hill,8201376.075,14765.615718694
83,UKI2201029,Bromley Common and Keston,8215424.165,16606.0916465245
84,UKI2201030,Bromley Town,3562532.095,10873.8934756646
85,UKI2201031,Chelsfield and Pratts Bottom,12663854.615,19856.790566451
86,UKI2201032,Chislehurst,10248512.2,15302.9494834954
87,UKI2201033,Clock House,2427983.605,8034.28027731787
88,UKI2201034,Copers Cope,3238344.79,9008.39253041997
89,UKI2201035,Cray Valley East,12901096.655,17682.8314319635
90,UKI2201036,Cray Valley West,3966838.92,10496.1025618064
91,UKI2201037,Crystal Palace,2074939.465,6957.09226539267
92,UKI2201038,Darwin,29296658.7925,28317.8906002338
93,UKI2201039,Farnborough and Crofton,6978839.435,12509.2521759598
94,UKI2201040,Hayes and Coney Hall,10991266.08,15181.2972559594
95,UKI2201041,Kelsey and Eden Park,5128517.585,11529.154823086
96,UKI2201042,Mottingham and Chislehurst North,2444503.46,7976.32235136938
97,UKI2201043,Orpington,4205057.085,8391.30937525309
98,UKI2201044,Penge and Cator,2939739.875,7113.25974601125
99,UKI2201045,Petts Wood and Knoll,4482060.815,11839.4117724818
100,UKI2201046,Plaistow and Sundridge,4114741.425,8576.3681582223
101,UKI2201047,Shortlands,2510346.71,7288.37962017678
102,UKI2201048,West Wickham,4317070.785,9372.84534417062
103,UKI1102027,Belsize,758793.365,3447.65063717536
104,UKI1102028,Bloomsbury,938708.54,3920.43305579301
105,UKI1102029,Camden Town with Primrose Hill,1039613.03,4671.27492564916
106,UKI1102030,Cantelowes,731415.61,3675.31140854622
107,UKI1102031,Fortune Green,1000842.79,4954.43685124294
108,UKI1102032,Frognal and Fitzjohns,1605730.065,5687.81375591691
109,UKI1102033,Gospel Oak,680775.035,3758.87130118159
110,UKI1102034,Hampstead Town,2397933.175,7471.06981434924
111,UKI1102035,Haverstock,723569.465,3543.7980754137
112,UKI1102036,Highgate,2980658.475,7044.3455842452
113,UKI1102037,Holborn and Covent Garden,1226468.32,5048.51505600345
114,UKI1102038,Kentish Town,958505.65,4548.21662393248
115,UKI1102039,Kilburn,758703.985,4536.79156154342
116,UKI1102040,King's Cross,552840.215,2984.42867060944
117,UKI1102041,Regent's Park,1366099.615,5181.65957821353
118,UKI1102042,St Pancras and Somers Town,1414649.82,4865.99326062246
119,UKI1102043,Swiss Cottage,1237880.67,5736.46687338511
120,UKI1102044,West Hampstead,939714.86,4328.34991891025
121,UKI2202028,Addiscombe,1582730.3,4993.84339877661
122,UKI2202029,Ashburton,2761622.875,7501.32518801736
123,UKI2202003,Bensham Manor,1456171.14,5128.85872249084
124,UKI2202030,Broad Green,2578418.25,7861.32647209464
125,UKI2202031,Coulsdon East,7732933.885,13095.7724353821
126,UKI2202032,Coulsdon West,5207986.69,13753.1689078906
127,UKI2202033,Croham,3558548.43,9529.50187361805
128,UKI2202034,Fairfield,3504716.79,10353.4640153718
129,UKI2202035,Fieldway,1459708.18,5125.17458930658
130,UKI2202036,Heathfield,8668783.445,17175.6070128529
131,UKI2202037,Kenley,6088514.65,11670.516967178
132,UKI2202038,New Addington,2590400.405,7887.46162907657
133,UKI2202039,Norbury,2501549.575,7332.12449284729
134,UKI2202040,Purley,4164757.355,11701.7109317342
135,UKI2202041,Sanderstead,6607021.495,11730.3928255996
136,UKI2202042,Selhurst,2315494.8,6520.54594912178
137,UKI2202043,Selsdon and Ballards,6385095.365,13223.1776381568
138,UKI2202044,Shirley,2734801.15,9836.63385440417
139,UKI2202045,South Norwood,2462645.875,7428.7110092542
140,UKI2202046,Thornton Heath,1718881.825,5406.97797171522
141,UKI2202047,Upper Norwood,2594831.485,7772.58385088764
142,UKI2202048,Waddon,4026926.685,8373.84979696077
143,UKI2202024,West Thornton,2137385.99,5816.01694393343
144,UKI2202049,Woodside,2124730.5,6639.13561772375
145,UKI2303026,Acton Central,1860904.385,6426.25757152191
146,UKI2303027,Cleveland,2223101.45,8231.53294380202
147,UKI2303028,Dormers Wells,2032282.545,7483.91603925213
148,UKI2303029,Ealing Broadway,1868490.45,5786.4836766558
149,UKI2303030,Ealing Common,2196978.305,6374.13818165708
150,UKI2303031,East Acton,4272049.36,11802.5230411934
151,UKI2303032,Elthorne,1969229.44,7185.98480033062
152,UKI2303033,Greenford Broadway,2466611.331,8816.69108396966
153,UKI2303034,Greenford Green,3505830.98,10480.8477854236
154,UKI2303035,Hanger Hill,3239772.88,9205.90443379959
155,UKI2303036,Hobbayne,2151670.27,5889.38251276408
156,UKI2303037,Lady Margaret,1788962.17,5744.71503626654
157,UKI2303038,Northfield,1411560.065,6858.86808491788
158,UKI2303039,North Greenford,3040961.115,9642.56824141896
159,UKI2303040,Northolt Mandeville,2932764.744,7612.82105040984
160,UKI2303041,Northolt West End,3423715.06,8596.60360969596
161,UKI2303042,Norwood Green,3986080.745,9923.57922628143
162,UKI2303043,Perivale,3331762.78,9997.32104691271
163,UKI2303044,South Acton,1566815.885,5714.28725171757
164,UKI2303045,Southall Broadway,1611101.21,7014.05985720968
165,UKI2303046,Southall Green,1561190.235,5818.17778805394
166,UKI2303047,Southfield,1493419.08,5189.83379521616
167,UKI2303048,Walpole,1469536.35,5150.73796664942
168,UKI2103034,Bowes,1408638.225,8232.59306212039
169,UKI2103035,Bush Hill Park,2534101.98,8738.5478813228
170,UKI2103036,Chase,17223763.59,22435.3784198135
171,UKI2103037,Cockfosters,10449880.09,17966.9201405981
172,UKI2103038,Edmonton Green,3229971.96,8805.10375965806
173,UKI2103039,Enfield Highway,4649772.58,8880.56163147181
174,UKI2103040,Enfield Lock,3284810,7644.70368852535
175,UKI2103041,Grange,3247292.8,8365.89585564498
176,UKI2103042,Haselbury,1727528.825,6619.71640312571
177,UKI2103043,Highlands,5030660.585,10727.6429537471
178,UKI2103044,Jubilee,3965315.29,10419.7564298744
179,UKI2103045,Lower Edmonton,2237549.125,7559.84367579926
180,UKI2103046,Palmers Green,2053080.15,6021.23453680755
181,UKI2103047,Ponders End,3539687.545,8607.58649599849
182,UKI2103048,Southbury,2799087.72,8138.5240637757
183,UKI2103049,Southgate,2700812.605,8347.95898879961
184,UKI2103050,Southgate Green,2597726.92,7267.46508264623
185,UKI2103051,Town,2144180.04,6710.70454071985
186,UKI2103052,Turkey Street,2283485.51,6565.4124998733
187,UKI2103053,Upper Edmonton,2521183.345,9631.4696479416
188,UKI2103054,Winchmore Hill,2739551.42,8180.49998889121
189,UKI2104037,Abbey Wood,2748837.325,7338.02986663865
190,UKI2104038,Blackheath Westcombe,2185486.465,7681.09857454192
191,UKI2104039,Charlton,2235317.445,6420.10698115653
192,UKI2104040,Coldharbour and New Eltham,2529177.53,6781.20404752289
193,UKI2104041,Eltham North,2452166.765,7856.19915544165
194,UKI2104042,Eltham South,4705302.35,9558.69534004559
195,UKI2104043,Eltham West,2458385.405,6636.91313778092
196,UKI2104044,Glyndon,1537930.846435,5958.47184946577
197,UKI2104045,Greenwich West,2502147.2841483,8760.04699393995
198,UKI2104046,Kidbrooke with Hornfair,2270410.18,6509.84459611565
199,UKI2104047,Middle Park and Sutcliffe,3170760.265,10269.5573889569
200,UKI2104048,Peninsula,3537287.28712021,9073.68071653703
201,UKI2104049,Plumstead,2382472.705,7765.38783648358
202,UKI2104050,Shooters Hill,3906132.65,8677.97856540825
203,UKI2104051,Thamesmead Moorings,3862320.9862588,8178.79937496377
204,UKI2104052,Woolwich Common,2482883.795,7398.41650489186
205,UKI2104053,Woolwich Riverside,2544394.38756055,8162.22739285341
206,UKI1103024,Addison,484754.3,3043.49779921733
207,UKI1103025,Askew,811567.39,3918.92059865995
208,UKI1103026,Avonmore and Brook Green,896456.4,4155.27380424004
209,UKI1103027,College Park and Old Oak,3418875.28,8114.79094961431
210,UKI1103028,Fulham Broadway,694846.09,3404.76193875029
211,UKI1103029,Fulham Reach,1013205.795,3902.89273527117
212,UKI1103030,Hammersmith Broadway,1138778.73,4443.507468997
213,UKI1103031,Munster,579470.765,3568.49148692154
214,UKI1103032,North End,589869.375,3153.63064740639
215,UKI1103033,Palace Riverside,1342389.03,6482.32560461466
216,UKI1103034,Parsons Green and Walham,811068.255,5287.47574953734
217,UKI1103035,Ravenscourt Park,1147967.44,5213.11143041356
218,UKI1103036,Sands End,1242167.70906962,5833.55237705832
219,UKI1103037,Shepherd's Bush Green,1144759.76,4318.63991218311
220,UKI1103038,Town,660335.62,3651.52194772773
221,UKI1103039,Wormholt and White City,910491.51,4112.34599351108
222,UKI1202024,Alexandra,2538926.855,7228.9245078388
223,UKI1202025,Bounds Green,1627092.72,5473.35722633153
224,UKI1202026,Bruce Grove,975975.995,4292.33874639276
225,UKI1202027,Crouch End,1543030.46,5194.47515974544
226,UKI1202028,Fortis Green,1970205.91,8240.24279725317
227,UKI1202029,Harringay,1632500.235,6646.92628076072
228,UKI1202030,Highgate,2692775.01,8435.20458247841
229,UKI1202031,Hornsey,1112928.745,4121.82176432774
230,UKI1202032,Muswell Hill,1572758.825,5851.00425846567
231,UKI1202015,Noel Park,1161513.67,4860.33204268294
232,UKI1202033,Northumberland Park,1910253.86,7404.97006933767
233,UKI1202034,St Ann's,1100996.77,4587.65780388991
234,UKI1202035,Seven Sisters,1409492.105,6498.12528722973
235,UKI1202036,Stroud Green,1031838.59,4886.15792097212
236,UKI1202037,Tottenham Green,1260220.15,4797.99214229897
237,UKI1202038,Tottenham Hale,1918302.205,6835.738536476
238,UKI1202039,West Green,1409924.44,5019.45720060304
239,UKI1202040,White Hart Lane,1634484.025,5471.94823333242
240,UKI1202041,Woodside,1479272.385,5437.83806461768
241,UKI2304022,Belmont,1803742.12,6690.70950178866
242,UKI2304023,Canons,5621189.755,11904.8293329668
243,UKI2304024,Edgware,1278009.04,4960.65726512252
244,UKI2304025,Greenhill,1587355.645,5681.64721208617
245,UKI2304026,Harrow on the Hill,3477786.575,8384.85302060844
246,UKI2304027,Harrow Weald,4701546.9,10251.1249118537
247,UKI2304028,Hatch End,3441413.575,8656.11021033646
248,UKI2304029,Headstone North,3183871.495,8632.86792308429
249,UKI2304030,Headstone South,1406209.445,5260.66351316841
250,UKI2304031,Kenton East,1257963.695,5276.80780644576
251,UKI2304032,Kenton West,1906619.915,6567.41295385232
252,UKI2304033,Marlborough,1581479.96,6534.16332922415
253,UKI2304034,Pinner,3120254.395,8913.74419224261
254,UKI2304035,Pinner South,2346385.175,7347.71999916573
255,UKI2304036,Queensbury,1756650.8,6897.76531889563
256,UKI2304037,Rayners Lane,1626696.595,6422.95850686237
257,UKI2304038,Roxbourne,1507211.365,6337.77069247846
258,UKI2304039,Roxeth,1442277.995,5699.03539979857
259,UKI2304040,Stanmore Park,4446520.59,9291.73335521874
260,UKI2304041,Wealdstone,1335424.06,4604.1076055568
261,UKI2304042,West Harrow,1653248.74,6085.19092857106
262,UKI2105026,Brooklands,4370726.755,9921.83355095151
263,UKI2105027,Cranham,6605234.985,12781.3617925868
264,UKI2105028,Elm Park,3644559.65,9608.32515883693
265,UKI2105029,Emerson Park,4750564.23,11199.84791822
266,UKI2105030,Gooshays,7444515.465,14453.0804110398
267,UKI2105031,Hacton,2475021.695,7367.34717767397
268,UKI2105032,Harold Wood,7771578.465,14303.7672404708
269,UKI2105033,Havering Park,9776444.34,14021.0197055863
270,UKI2105034,Heaton,3653880.28,9847.37267597244
271,UKI2105035,Hylands,2795471.19,6842.47022024952
272,UKI2105036,Mawneys,3090532.935,8377.76726376847
273,UKI2105037,Pettits,3982390.08,9533.2455711376
274,UKI2105038,Rainham and Wennington,15444689.357435,18290.7149276592
275,UKI2105039,Romford Town,2769865.18,9053.69741886719
276,UKI2105040,St Andrew's,2732955.235,8262.41282763286
277,UKI2105041,South Hornchurch,6206264.80512698,11389.8778284249
278,UKI2105042,Squirrel's Heath,2585422.55,8330.41917418215
279,UKI2105043,Upminster,22455835.685,23901.304775065
280,UKI2305030,Barnhill,2112244.515,6401.917707556
281,UKI2305031,Botwell,4587872.505,10367.474232781
282,UKI2305032,Brunel,3362631.01,9596.27288981802
283,UKI2305033,Cavendish,1966875.125,6273.11896702893
284,UKI2305034,Charville,2865535.95,6742.79603607771
285,UKI2305035,Eastcote and East Ruislip,3938392.305,10497.0182002303
286,UKI2305011,Harefield,15014989.82,19119.6989808268
287,UKI2305036,Heathrow Villages,24066929.42,20327.2431093062
288,UKI2305037,Hillingdon East,3825231.595,9922.23428749186
289,UKI2305038,Ickenham,6037832.68,10978.1371651677
290,UKI2305039,Manor,2010934.09,6126.85840934639
291,UKI2305040,Northwood,7151763.93,12109.6709635231
292,UKI2305041,Northwood Hills,3568346.845,9574.50185515691
293,UKI2305042,Pinkwell,2692116.675,7406.50857400763
294,UKI2305043,South Ruislip,7324492.195,15579.4706074178
295,UKI2305044,Townfield,3411679.33,8039.74806336759
296,UKI2305045,Uxbridge North,4613603.915,9226.31278840523
297,UKI2305046,Uxbridge South,3152694.095,8453.74088076881
298,UKI2305047,West Drayton,3282933.675,9570.4420537006
299,UKI2305048,West Ruislip,4691968.715,11624.2293571726
300,UKI2305049,Yeading,2176612.695,6328.72627391517
301,UKI2305050,Yiewsley,4104257.625,9800.96656913932
302,UKI2306022,Bedfont,4497675.63,10826.8057572401
303,UKI2306023,Brentford,3277789.305,10472.9428239483
304,UKI2306024,Chiswick Homefields,2267990.67,9157.48665466086
305,UKI2306025,Chiswick Riverside,2150061.185,6328.07361493266
306,UKI2306026,Cranford,2888455.15,8636.07804154251
307,UKI2306027,Feltham North,3341804.07,8253.89623711729
308,UKI2306028,Feltham West,3034277.09,8551.05912783849
309,UKI2306029,Hanworth,3338970.98,10499.8870190646
310,UKI2306030,Hanworth Park,3878792.35,7806.35421889117
311,UKI2306031,Heston Central,1783912.265,6247.93366958331
312,UKI2306032,Heston East,2113627.205,10580.6201553427
313,UKI2306033,Heston West,3785478.445,8156.12214904003
314,UKI2306034,Hounslow Central,1783399.55,5512.78752440668
315,UKI2306035,Hounslow Heath,2717579.08,7053.07955933807
316,UKI2306036,Hounslow South,1825981.37,6603.59963854978
317,UKI2306037,Hounslow West,1564597.665,6155.19463335037
318,UKI2306038,Isleworth,2126635.36,6550.09364370112
319,UKI2306039,Osterley and Spring Grove,6152674.89,10734.448248231
320,UKI2306040,Syon,2762635.555,8173.5586429787
321,UKI2306041,Turnham Green,1700207.15,6893.91780695094
322,UKI1203021,Barnsbury,722094.34,3896.56536522858
323,UKI1203022,Bunhill,1147873.28,5406.29725020782
324,UKI1203023,Caledonian,1243463.405,4788.95066589802
325,UKI1203024,Canonbury,763353.86,3653.94522386863
326,UKI1203025,Clerkenwell,1022479.67,4645.44051070176
327,UKI1203026,Finsbury Park,1057354.99,4069.85824081676
328,UKI1203027,Highbury East,906074.265,4763.75790924062
329,UKI1203028,Highbury West,1035718.505,4539.0290502215
330,UKI1203029,Hillrise,756011.96,3753.90756943101
331,UKI1203030,Holloway,1079249.22,4117.72679235267
332,UKI1203031,Junction,1127905.46,4201.16570965463
333,UKI1203032,Mildmay,860242.895,4005.24031279103
334,UKI1203033,St George's,845776.155,4117.52560850225
335,UKI1203034,St Mary's,1000980.685,4902.67618101263
336,UKI1203035,St Peter's,739980.26,4092.4713000215
337,UKI1203036,Tollington,748385.505,3707.31349105471
338,UKI2203021,Alexandra,2678567.195,6905.49623229945
339,UKI2203022,Berrylands,1322683.705,5478.81259500857
340,UKI2203023,Beverley,1853604.515,7439.43209307522
341,UKI2203024,Canbury,1238518.3,4998.64095761831
342,UKI2203025,Chessington North and Hook,1885050.135,6655.69159544296
343,UKI2203026,Chessington South,7634343,12137.1852495703
344,UKI2203027,Coombe Hill,4246546.38,10881.5692919694
345,UKI2203028,Coombe Vale,1711282.305,5217.00730634384
346,UKI2203029,Grove,2119171.805,7848.05168364381
347,UKI2203030,Norbiton,1417570.845,4818.79406645278
348,UKI2203031,Old Malden,1718901.335,6735.9173272717
349,UKI2203032,St James,2197944.93,7363.16051711479
350,UKI2203033,St Mark's,1406612.315,6591.37199324813
351,UKI2203034,Surbiton Hill,1736566.24,5483.85848006947
352,UKI2203035,Tolworth and Hook Rise,2461498.84,7281.09920013033
353,UKI2203036,Tudor,1661883.94,6867.55622639224
354,UKI1204023,Bishop's,1250338.53402828,4734.55282611147
355,UKI1204024,Brixton Hill,1079071.17,5186.87093813971
356,UKI1204025,Clapham Common,1409830.74,4689.43278378555
357,UKI1204004,Clapham Town,1091520.87,4338.14327838465
358,UKI1204026,Coldharbour,1224394.86,4562.91928700098
359,UKI1204027,Ferndale,798400.105,4728.56828642102
360,UKI1204028,Gipsy Hill,1501889.945,5650.81232712642
361,UKI1204029,Herne Hill,2080700.03,7680.49845911351
362,UKI1204030,Knight's Hill,1630191.165,5267.46446535653
363,UKI1204031,Larkhall,981654.145,4501.22014171058
364,UKI1204032,Oval,1474298.042945,5381.75152181528
365,UKI1204033,Prince's,836374.323037285,4602.81192723671
366,UKI1204034,St Leonard's,1402388.845,6497.20790449754
367,UKI1204035,Stockwell,837392.375,4918.34557391777
368,UKI1204036,Streatham Hill,1243940.735,5006.23437148501
369,UKI1204037,Streatham South,1653603.71,6435.19827574058
370,UKI1204038,Streatham Wells,1407118.48,6135.96140597377
371,UKI1204039,Thornton,912364.81,4409.87957957996
372,UKI1204040,Thurlow Park,1494878.235,4970.46584642879
373,UKI1204041,Tulse Hill,1063434.42,5232.35390251438
374,UKI1204042,Vassall,1192699.87,4126.48787417052
