Meetings,,,,,,,,,,,,,
Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,
Nick Hurd MP ,January 2016,Overseas Development Institute ,Introductory meeting to continue to build DFID's relationship with the ODI and discuss Global Goals currently lacking international support,,,,,,,,,,
Nick Hurd MP ,January 2016,Triple 5 meeting,Introductory meeting to understand Triple 5's business model for expanding energy access in Rwanda,,,,,,,,,,
Nick Hurd MP ,January 2016,SightSavers & Queens Jubilee Trust,To discuss work on avoidable blindness and trachoma,,,,,,,,,,
Nick Hurd MP ,January 2016,M-KOPA,Introductory meeting to discuss opportunities for DFID to improve their relationship with Senegalese government. ,,,,,,,,,,
Nick Hurd MP ,January 2016,Save the Children ,Introductory meeting to build the relationship with Save the Children and understand ways of joint working,,,,,,,,,,
Nick Hurd MP ,January 2016,Omidya Development Impact Bonds ,Introduction on the potential for Development Impact Bonds to make progress against intractable issues in developing countries.,,,,,,,,,,
Nick Hurd MP ,January 2016,British Council,Education World Forum side event on the importance of a holistic approach to early childhood as a tool of development,,,,,,,,,,
Nick Hurd MP ,January 2016,d.light,Introductory meeting on d.Light's work and the challenges they face in the African solar energy market,,,,,,,,,,
Nick Hurd MP ,January 2016,Gates Foundation ,Introductory meeting to continue to build DFID's relationship with the Gates Foundation,,,,,,,,,,
Nick Hurd MP ,February 2016,GSMA,Discussion of opportunities to roll out digital services and tools in development projects,,,,,,,,,,
Nick Hurd MP ,February 2016,Shell Foundation,Introductory meeting to further DFID's relationship with the Shell Foundation and identify areas of shared interest ,,,,,,,,,,
Nick Hurd MP ,February 2016,The Carter Centre,Discussion of DFID's work on neglected tropical diseases and guinea worm ,,,,,,,,,,
Nick Hurd MP ,February 2016,The Big Lottery Fund ,Discussion of Big Lottery plans to restructure their international facing work,,,,,,,,,,
Nick Hurd MP ,February 2016,Gates Foundation ,Brainstorm on how to further DFID's relationships with the Gates Foundation ,,,,,,,,,,
Nick Hurd MP ,February 2016,United Nations/UNHCR,Initial meeting to discuss UK priorities in Somalia,,,,,,,,,,
Nick Hurd MP ,February 2016,World Bank,To discuss DFID supported work on economic development reform in Somalia,,,,,,,,,,
Nick Hurd MP ,February 2016,Global Alliance for Clean Cookstoves,To discuss the UK's role on the advisory panel of the Global Alliance,,,,,,,,,,
Nick Hurd MP ,February 2016,Center for Global Development,Introductory meeting to further DFID's relationship with the Center for Global Development ,,,,,,,,,,
Nick Hurd MP ,March 2016,Social Enterprise,Meeting to brainstorm options for impact investment in development,,,,,,,,,,
Nick Hurd MP ,March 2016,Development Impact Bonds,Discussion on DFID's role in transforming impact investments,,,,,,,,,,
Nick Hurd MP ,March 2016,British Council ,Introduction with a key stakeholder from the Bristish Council,,,,,,,,,,
Nick Hurd MP ,March 2016,Gates Foundation ,Meeting to continue to build DFID's relationship with the Gates Foundation ,,,,,,,,,,
Nick Hurd MP ,March 2016,WaterAid,"Deep dive on key issues around DFID's work on water, sanitation and health ",,,,,,,,,,
Nick Hurd MP ,March 2016,Scotland Malawi Partnership,Introductory meeting to continue to build DFID's relationship with the Scotland Malawi Partnership,,,,,,,,,,
Nick Hurd MP ,March 2016,Oxfam ,"Discussion of Oxfam's work and programmes on water, sanitation and health",,,,,,,,,,
Nick Hurd MP ,March 2016,World Bank,"Deep dive on key issues around DFID's work on water, sanitation and health ",,,,,,,,,,
Nick Hurd MP ,March 2016,ToiletBoard,"Deep dive on key issues around DFID's work on water, sanitation and health ",,,,,,,,,,
Nick Hurd MP ,April 2016,Archbishop of Canterbury,Update and discussion on the challenges in Burundi ,,,,,,,,,,
Nick Hurd MP ,April 2016,World Bank,To discuss the work of the Bank in Niger and what options exist to deliver more,,,,,,,,,,
Nick Hurd MP ,April 2016,International Organisation for Migration,To discuss efforts to help migrants from West Africa currently stranded in Niger and North Africa return home,,,,,,,,,,
Nick Hurd MP ,April 2016,Seed Global Health ,Discuss Seed's work on health professionals working in development countries. ,,,,,,,,,,
Nick Hurd MP ,April 2016,Sustainable Energy for All ,Deep dive on SE4All's work and how DFID can support them in improving  energy access in Africa,,,,,,,,,,
Nick Hurd MP ,April 2016,International Rescue Committee,Introduction to the International Rescue Committee and it's work. ,,,,,,,,,,
Nick Hurd MP ,April 2016,Wecyclers,To learn about the work of Wecyclers in improving waste management in Lagos and running a social enterprise.,,,,,,,,,,
Nick Hurd MP ,April 2016,Ladol,To discuss Ladol’s business operations providing deep offshore operations and logistics for international shipping organisations in Lagos,,,,,,,,,,
Nick Hurd MP ,April 2016,Co-Creation Hub,To discuss Co-Creation Hub’s work supporting entrepreneurs and start-ups in Lagos and to understand whether their business model could be replicated elsewhere in Africa ,,,,,,,,,,
Nick Hurd MP ,April 2016,"Discussion including; E-Transact, Pagatech, INL Consulting, Mona Matthews, Konga, Bridge Academies, Nova Lumos, Bestman Games.",To discuss opportunities and challenges facing small and middle-sized employers and entrepreneurs in Lagos,,,,,,,,,,
Nick Hurd MP ,April 2016,Bring Back our Girls,To understand the organisation’s work in lobbying for more attention on the plight of girls kidnapped by Boko Haram,,,,,,,,,,
Nick Hurd MP ,April 2016,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",To discuss Global Fund operations and activities with GF senior management,,,,,,,,,,
Nick Hurd MP ,April 2016,"Bond Ebola Advocacy Group - including World Vision, Lifeline Network, Y Care International, Christian Aid, CAFOD, Tearfund",Presentation about the work of member charities in tackling Ebola and supporting Ebola survivors,,,,,,,,,,
Nick Hurd MP ,April 2016,Kofi Annan Foundation ,Introduction meeting to discuss the Energy Africa Campaign and to expand the relationship with the Annan foundation ,,,,,,,,,,
Nick Hurd MP ,April 2016,CDC,Introduction to how the CDC works with DFID on private sector investment,,,,,,,,,,
Nick Hurd MP ,May 2016,Scale Up Nutrition,To discuss Nutrition issues ahead of related events around the Rio Olympics,,,,,,,,,,
Nick Hurd MP ,May 2016,Africa Agricultural Development Company (AgDevCo),Discussion of their work investing in Agribusinesses to create jobs and improve food security ,,,,,,,,,,
Nick Hurd MP ,May 2016,World Health Organisation,Discussion on Global Polio Eradication ,,,,,,,,,,
Nick Hurd MP ,May 2016,"SUN Business Network, UNILEVER, RoyalDSM, Power of Nutrition",Roundtable meeting to discuss nutrition issues,,,,,,,,,,
Nick Hurd MP ,May 2016,Chief Executive of the Girl Effect,Introductory meeting on the Girl Effect's work with a focus on DFID's work in Ethiopia on this issue. ,,,,,,,,,,
Nick Hurd MP ,May 2016,P2P Solar and Crowd Power,Introductory discussion on the lessons emerging from DFID's experience of testing crowdfunding for energy access.,,,,,,,,,,
Nick Hurd MP ,May 2016,Gates Foundation,Discussion on nutrition. ,,,,,,,,,,
Nick Hurd MP ,May 2016,World Economic Forum,"Brainstorm on DFID's programmes in support of Water, Sanitation and Health.",,,,,,,,,,
Nick Hurd MP ,May 2016,Chief Executive of the Food Foundation,Introductory meeting to discuss key issues on nutrition.,,,,,,,,,,
Nick Hurd MP ,June 2016,Sanitation and Water for All (SWA),Discussion of international architecture for water and the role of SWA,,,,,,,,,,
Nick Hurd MP ,June 2016,Green Investment Bank,To discuss international climate finance,,,,,,,,,,
Nick Hurd MP ,June 2016,WaterAid,Introductory meeting on the work of WaterAid,,,,,,,,,,
Nick Hurd MP ,June 2016,United Nations Office for the Coordination of Humanitarian Affairs,Discussion of the humanitarian situation in Southern Africa,,,,,,,,,,
Nick Hurd MP ,June 2016,Google Foundation,Introductory meeting on the work of the Google Foundation in tackling major development challenges ,,,,,,,,,,
Nick Hurd MP ,June 2016,TradeMark East Africa,Meeting to learn more about DFID’s flagship programme on trade facilitation in East Africa,,,,,,,,,,
Nick Hurd MP ,June 2016,Azuri,Introductory meeting to discuss Azuri's buiness models and plans to bring cheap solar energy to poor households in Africa,,,,,,,,,,
Nick Hurd MP ,June 2016,Bloomberg New Energy Finance,Introductory meeting on how to boost investment in the African renewable energy market,,,,,,,,,,
Nick Hurd MP ,June 2016,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",To discuss Global Fund operations and activities with GF senior management,,,,,,,,,,
Nick Hurd MP ,June 2016,Pan Africa Solar,To discuss solar energy infrastructure issues,,,,,,,,,,
Nick Hurd MP ,June 2016,Power For All,Introductory meeting on the work of Power for All in raising awareness on the issue of energy poverty in the developing world,,,,,,,,,,
Nick Hurd MP ,Jul-16,International HIV/AIDS Alliance ,To discuss the UK’s continued commitment to end the AIDS epidemic by 2030,,,,,,,,,,
Nick Hurd MP ,Jul-16,Global Campaign for Education,To discuss the Send My Friend to School campaign and participate in a Q&A with school children,,,,,,,,,,
