Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Work & Pensions Corporate & Shared Services,Ministerial Department,Department for Work & Pensions,"3,655","3,176.10","3,330","3,071.12","3,457","3,306.60","1,452","1,401.10",189,185.18,15,14.6,"12,098","11,154.70",0,0,0,0,106,106,0,0,106,106,"12,204","11,260.70","£24,968,720","£463,525","£206,559","£136,574","£5,026,814","£2,096,566","£32,898,758","£952,386","£27,405","£979,791","£33,878,549",
Child Maintenance & Enforcement Commission,Crown Non Departmental Public Body,Department for Work & Pensions,"5,703","4,880.20","2,418","2,173.46",592,563.1,132,130.23,20,20,199,198.31,"9,064","7,965.30",0,0,0,0,2,2,0,0,2,2,"9,066","7,967.30","£11,401,396","£278,877","£3,902,945","£453,516","£2,101,862","£820,824","£18,959,420","£22,598",£0,"£22,598","£18,982,018",There were no consultants in this month. Salary cost has decreased in comparrison to previous months. The reason for this is that the PDS bonus has been paid using monies that have been accrued in the previous financial year. This has artificially reduced the in month salary cost.
Health & Safety Executive,Crown Non Departmental Public Body,Department for Work & Pensions,550,483.18,521,482.21,"1,746","1,652.88",681,653.44,46,45.25,0,0,"3,544","3,316.96",21,20.25,11,6.54,13,13,0,0,45,39.79,"3,589","3,356.75","£10,753,378","£151,644","£46,654","£37,740","£2,210,593","£955,677","£14,155,686","£241,298",£0,"£241,298","£14,396,984",
Jobcentre Plus,Executive Agency,Department for Work & Pensions,"38,672","33,512.98","31,979","28,621.00","5,737","5,502.66",460,455.41,32,31.54,2,1.81,"76,882","68,125.40",0,0,0,0,2,2,0,0,2,2,"76,884","68,127.40","£127,064,545","£1,176,851","£490,562","£654,148","£22,181,113","£7,989,767","£159,556,985","£1,086",£482,"£1,568","£159,558,553",
Pensions & Disability Carers Service,Executive Agency,Department for Work & Pensions,"8,532","7,503.68","4,504","4,017.76",948,908.29,159,156.86,19,18.8,1,1,"14,163","12,606.39",0,0,0,0,0,0,0,0,0,0,"14,163","12,606.39","£22,455,723","£247,890","£66,318","£872,554","£3,946,915","£1,458,526","£29,047,927",0,£0,£0,"£29,047,927",
Independent Living Fund,Executive Non-Departmental Public Body,Department for Work & Pensions,72,60.93,27,24.53,16,14.15,7,6.73,1,1,0,0,123,107.34,0,0,1,1,0,0,0,0,1,1,124,108.34,"£229,433","£8,538","£36,307",£716,"£41,610","£21,520","£338,124","£4,123",£0,"£4,123","£342,247",
National Employment Savings Trust Corporation,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,199,191.61,199,191.61,3,2.7,33,23.98,0,0,24,13.31,60,39.99,259,231.6,"£997,378","£15,165","£2,924","£6,200","£72,637","£147,111","£1,241,414","£296,442","£350,250","£646,693","£1,888,107",
Remploy Ltd,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,"3,987","3,873.87","3,987","3,873.87",159,152.3,1,0.8,0,0,0,0,160,153.1,"4,147","4,026.97","£6,659,220",£0,"£197,772","£84,895","£489,707","£412,163","£7,843,757","£382,121",£0,"£382,121","£8,225,878",Remploy do not use Civil Service Grades. Non-consolidated performance payments relate to a former Weekly Paid Employee's Bonus Scheme for Remploy's factory employees and no longer relate to performance.  Remploy is in the process of gradually consolidating these payments into basic pay
The Pensions Advisory Service,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,38,36.7,38,36.7,0,0,0,0,0,0,0,0,0,0,38,36.7,"£123,937",£0,£0,£0,"£24,556","£10,776","£159,269",£0,£0,£0,"£159,269",
The Pensions Regulator,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,297,281.4,297,281.4,12,11.9,0,0,9,8.9,0,0,21,20.8,318,302.2,"£1,167,868",£0,£0,£0,"£226,241","£107,743","£1,501,851","£153,114",£0,"£153,114","£1,654,965",TPR and ECR Costs
