Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,01/11/2017,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,FLS - OFFICIAL DEVELOPMENT ASSISTANCE,UNIVERSITY OF CAPE TOWN,20000425,26690,DEFRA PAYMENT. PROJECT 24-017 Q2 CLAIM 2017-18 ACCESS AND BENEFIT SHARING IN PRACTICE : COMMUNITY SCIENCE AND POLICY.,FOREIGN,SUPPLIER,,DEA10155,Expense,
DEFRA,DEFRA,01/11/2017,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,FLS - OFFICIAL DEVELOPMENT ASSISTANCE,CONSERVATION THROUGH PUBLIC HEALTH,20000426,28059.75,DEFRA PAYMENT. PROJECT 23-023 CTPH: CAN HEALTH INVESTMENTS BENEFIT CONSERVATION AND SUSTAINABLE DEVELOPMENT? Q2 2017-18 GRANT CLAIM.,UGANDA,SUPPLIER,,DEA10155,Expense,
DEFRA,DEFRA,01/11/2017,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,"INTERNATIONAL BIODIVERSITY, ECOSYSTEMS AND EVIDENCE",CENTRAL CARIBBEAN MARINE INSTITUTE,20000429,33200,DEFRA PAYTMENT.PROJECT DPLUS061: PROTECTING HERBIVOROUS FISH TO CONSERVE CAYMAN ISLAND CORAL REEF BIODIVERSITY. Q3 2017-18 CLAIM.,KY3 2501,SUPPLIER(1),,DEA10153,Expense,
DEFRA,DEFRA,01/11/2017,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,"INTERNATIONAL BIODIVERSITY, ECOSYSTEMS AND EVIDENCE",BERMUDA ZOOLOGICAL SOCIETY,20000430,27094,DEFRA PAYMENT. PROJECT DPLUS064: CHARACTERISING BERMUDAS BAITFISH POPULATIONS TO IMPROVE MANAGEMENT AND FISHERY SUSTAINABILITY. Q2 2017-18 CLAIM.,BERMUDA,SUPPLIER,,DEA10153,Expense,
DEFRA,DEFRA,01/11/2017,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,ENVIRONMENT AGENCY,30000383,60000000,EA01112017GIA-Grant-In-Aid Funding,BS1 5AH,SUPPLIER,,0,Expense,662 4901 34
DEFRA,DEFRA,01/11/2017,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,JOINT NATURE CONSERVATION COMMITTEE,30000385,790000,JNCC01112017GIA-Grant-In-Aid Funding,PE1 1JY,NDPB,,0,Expense,
DEFRA,DEFRA,01/11/2017,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,NATURAL ENGLAND,30000388,4000000,NE01112017GIA-Grant-In-Aid Funding,YO1 7PX,SUPPLIER,,0,Expense,551065074
DEFRA,DEFRA,01/11/2017,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,ROYAL BOTANIC GARDENS KEW,30000389,3763832.33,RBG-KEW01112017GIA-Grant-In-Aid Funding,TW9 3AB,NDPB,,0,Expense,
DEFRA,DEFRA,01/11/2017,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,MARINE MANAGEMENT ORGANISATION,30000390,2000000,MMO01112017GIA-Grant-In-Aid Funding,NE4 7YH,NDPB,,0,Expense,990 8229 84
DEFRA,DEFRA,01/11/2017,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,AIR QUALITY & INDUSTRIAL EMISSIONS,SHEFFIELD CITY COUNCIL,1003029568,100000,FY 17-18- ecm_50414- Initial funding for Feasibility Studies for Sheffield City Council,S1 2HH,SUPPLIER,ecm_50414,0,Expense,173548838
DEFRA,DEFRA,01/11/2017,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,AIR QUALITY & INDUSTRIAL EMISSIONS,FAREHAM BOROUGH COUNCIL,1003029637,100000,FY 17-18-ecm_50408 - Initial funding for Feasibility Studies for Fareham Council,PO16 7EP,SUPPLIER,ecm_50408 -,0,Expense,
DEFRA,DEFRA,02/11/2017,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,FLS - OFFICIAL DEVELOPMENT ASSISTANCE,CHARLES STURT UNIVERSITY,20000431,32643,DEFRA PAYMENT. PROJECT25-025: DARWIN PROJECTS -COMMUNITY REFORESTAION FOR BIODIVERSITY AND LIVELIHOOD DIVERSIFICATION IN TIMOR-LASTE. Q3 2017-18 CLAIM,AUSTRALIA,SUPPLIER,,DEA10155,Expense,
DEFRA,DEFRA,02/11/2017,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,SHARED SERVICE CONNECTED LIMITED (SSCL),SHARED SERVICES CONNECTED LTD,1003029689,267701.43,Provision of monthly contract to SSCL – Monthly volumetric charge (including reconciliation) £1607000,HP2 7AH,SUPPLIER,ecm_4524,0,Expense,171798078
DEFRA,DEFRA,02/11/2017,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,NETWORK PROPERTY HOLDING COSTS,INTERSERVE (FACILITIES MNGMNT) LTD,1003029692,40723.62,"BCP7832_082_Weymouth_Passenger Lift Refurb, CAPITAL_Bravo 48220, Line 2",BS32 4NH,SUPPLIER(1),48220,0,Expense,
DEFRA,DEFRA,02/11/2017,EXP - CAPITAL GRANTS TO CENTRAL GOVERNMENT - CAPITAL R&D,"FOOD AND FARMING STRATEGY, INNOVATION, SYSTEMS",UNIVERSITY OF READING,1003029704,60024.5,AC0122 - Optimising the efficiency of dietary nitrogen use to reduce emissions and waste in dairy systems - CCN2 - FY 17/18 - October 2017  -  University of Reading,RG6 6AH,Public Body,122,0,Expense,GB200012659
