Table 7.1:  Public Spending,,,,
,,,,
This table summarises budgets and outturn on a basis consistent with the Estimate Part II section headings.  One adjustment has been made for the period 2007-08 to 2010-11 where capital grants are reflected in outturn as resource but are funded by capital. The revised format of note 2 now reflects this change to the Accounts.,,,,
"As a result of the new Ministers, appointed during 2010-11, a new basis of assessing aid delivery was formed.  This allocates aid across 5 pillars.  As outturn for the previous 5 years was not based on this methodology it is not appropriate to restate these figures, on this basis.  As a result the original Estimate headings are displayed for outturn from 2007-08 to 2010-11, with only Plan data shown on the new basis.  This is consistent with information available on Online System for Central Accounting and Reporting (OSCAR).",,,,
,,,,
,,,,£0
,2007-08,2008-09,2009-10,2010-11
,Outturn,Outturn,Outturn,Outturn
Basis for 2007-08 to 2010-11,,,,
,,,,
Resources (excluding capital grants),,,,
,,,,
RfR1:  Eliminating poverty in poorer countries,"3,815,040","4,312,049","5,003,799","5,318,663"
Of which:,,,,
Spending in Departmental Expenditure Limits,"3,729,144","3,971,651","4,624,050","5,004,383"
,,,,
A:  Bilateral aid to Africa,"1,225,219","1,340,237","1,480,352","1,557,019"
,,,,
B:  Bilateral Aid to South Asia,"796,388","744,824","735,452","759,785"
,,,,
C:  Bilateral Aid to the Rest of the World,"222,006","376,267","389,997","369,988"
,,,,
D:  Improve the Effectiveness of Multilateral Aid,"1,054,780","937,676","1,247,422","1,599,045"
,,,,
E:  Develop a Global Partnership for Development,"204,699","283,301","355,850","385,239"
,,,,
F:  Central Departments,"74,719","239,346","314,977","83,307"
,,,,
G:  Environment Transformation Fund, - ,"50,000","100,000","250,000"
,,,,
Multiple Objectives,"136,018", - , - , - 
,,,,
Gibralter Social Insurance Fund,"15,315", - , - , - 
,,,,
Spending in Annually Managed Expenditure,"85,896","340,398","379,749","314,280"
,,,,
H:  Programmes Contributing to Multiple Objectives,"117,621","150,484","145,931","6,020"
,,,,
I:  Grants to the International Finance Facility for Immunisation,"-38,725","189,914","233,818","224,481"
,,,,
J:  Provision for Advance Market Commitment, - , - , - ,"83,779"
,,,,
Central departments,"7,000", - , - , - 
,,,,
EU Research Grants, - , - , - , - 
,,,,
RfR2:  Conflict Prevention,"42,672","41,792","16,715","15,652"
,,,,
A:  Conflict Prevention and Stabilisation,"42,672","41,792","16,715","15,652"
,,,,
Total,"3,857,712","4,353,841","5,020,514","5,334,315"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New basis from 2011-12,,,,£0
,2011-12,2012-13,2013-14,2014-15
,Outturn,Outturn,Plans,Plans
,,,,
Resources (excluding capital grants),,,,
of which:,,,,
Spending in Departmental Expenditure Limits,"6,183,532","6,129,662","8,576,500","8,294,000"
,,,,
,,,,
A:  CSC (NDPB) (net) scholarship relating to developing countires,"18,189","20,633","37,454","26,062"
,,,,
B:  Wealth Creation,"421,231","419,247","754,407","686,719"
,,,,
C:  Climate Change ,"157,831","268,620","457,444","45,529"
,,,,
D: Governance and Security,"720,291","696,928","684,608","596,843"
,,,,
E:  Direct Delivery of Millenium Development Goals,"2,183,444","2,388,532","3,246,161","3,216,165"
,,,,
F:  Global Partnerships,"1,529,331","1,333,672","1,887,249","1,640,576"
,,,,
G:  Total Operating Costs,"207,944","236,269","247,419","248,723"
,,,,
