BENEFIT,RATE,FREQUENCY,NOTES
,,,"Important Notes:
This file provides a list of standard benefits and their basic rates from April 2013. 
It then sets out some rules on extra amounts payable for dependents, and on how income and savings can affect entitlement to benefits.
It does not list all the rules which explain whether or not an individual can get benefit, or guarantee that an individual will get the amount shown. DWP provides leaflets that provide more detailed information on benefits and these should be read in conjunction with this list. 
The rules that determine how much benefit an individual can get can be complicated. The list below can only help individuals work out what benefits, and the amount they may get if they decide to apply for a benefit. 
Most rates change from the first Monday of the new tax year. The tax year always starts on 6th April. However, some rates may change from an earlier or latyer date in April. The rates published in this list apply from April 2013."

Basic Rates,,,"Basic rates are one component of a benefit calculation. To calculate an estimate the amount of benefit, other factors need to be taken into account, including amounts for dependents, earning rules, housing cost rules and benefit cap. These can be found in the sections lower down this list. "
Attendance Allowance (AA),,,
Higher rate ,£79.15,Weekly,
Lower rate ,£53.00,Weekly,
Bereavement Payment ,"£2,000.00",Lump Sum,
Widowed Parent’s Allowance ,£108.30,Weekly,
Bereavement Allowance (standard rate) ,£108.30,Weekly,
Age-related Bereavement Allowance,,,"Your age when your wife, husband or civil partner dies, or when your Widowed Parent’s Allowance stops:"
54,£100.72,Weekly,
53,£93.14,Weekly,
52,£85.56,Weekly,
51,£77.98,Weekly,
50,£70.40,Weekly,
49,£62.81,Weekly,
48,£55.23,Weekly,
47,£47.65,Weekly,
46,£40.07,Weekly,
45,£32.49,Weekly,
Carer’s Allowance,£59.75,Weekly,
Christmas Bonus,£10.00,Annually,"A bonus of £10 is paid to those entitled with certain qualifying benefits. However, you will not qualify for the bonus on the basis of State Pension entitlement if you are deferring your State Pension."
Disability Living Allowance (DLA) / Personal Independence Payment (PIP),,,
DLA (Care component) / PIP (Daily Living Component),,,
Highest rate / Enhanced rate,£79.15,Weekly,
Middle rate / Standard rate ,£53.00,Weekly,
Lowest rate / (N/A) ,£21.00,Weekly,
DLA (Mobility component) / PIP (Mobility Component),,,
Higher rate / Enhanced rate,£55.25,Weekly,
Lower rate / Standard rate ,£21.00,Weekly,
Employment and Support Allowance (ESA),,,
Single person (Contributory and Income-related ESA),,,
Under 25 – assessment phase,£56.80,Weekly,
25 or over ,£71.70,Weekly,
Any age – main phase ,£71.70,Weekly,
Lone parent (Contributory and Income-related ESA),,,
Under 18 – assessment phase,£56.80,Weekly,
18 or over ,£71.70,Weekly,
Any age – main phase ,£71.70,Weekly,
Couple (Income-related ESA),,,
Both under 18 ,£56.80,Weekly,
"One 18 or over, the other under 18 - higher rate ",£112.55,Weekly,"A higher rate may be paid where either member of the couple is responsible for a child or if (were they not a couple) each member would be entitled to Employment and Support Allowance, Income Support or Jobseeker’s Allowance in their own right."
Both 18 or over ,£112.55,Weekly,
Both under 18 - higher rate ,£85.80,Weekly,"A higher rate may be paid where either member of the couple is responsible for a child or if (were they not a couple) each member would be entitled to Employment and Support Allowance, Income Support or Jobseeker’s Allowance in their own right."
"Claimant aged 18 to 24, partner is under 18 ",£56.80,Weekly,
"Claimant aged 25 or over, partner is under 18 ",£71.70,Weekly,
"Claimant is main phase, partner is under 18 ",£71.70,Weekly,
"Claimant is main phase, partner is under 18 - higher rate ",£112.55,Weekly,"A higher rate may be paid where either member of the couple is responsible for a child or if (were they not a couple) each member would be entitled to Employment and Support Allowance, Income Support or Jobseeker’s Allowance in their own right."
Premiums (Income-related ESA),,,
Pensioner premium,,,
"Single, assessment phase ",£73.70,Weekly,
"Single, entitled to work-related activity component ",£45.25,Weekly,
"Single, entitled to support component",£38.90,Weekly,
"Couple, assessment phase ",£109.50,Weekly,
"Couple, entitled to work-related activity component ",£81.05,Weekly,
"Couple, entitled to support component ",£74.70,Weekly,
Severe Disability Premium,,,
Single ,£59.50,Weekly,
"Couple, one qualifies ",£59.50,Weekly,
"Couple, both qualify ",£119.00,Weekly,
Carer premium ,£33.30,Weekly,
Enhanced Disability Premium,,,
Single ,£15.15,Weekly,
Couple,£21.75,Weekly,
Components,,,
Work-related activity component,£28.45,Weekly,
Support component ,£34.80,Weekly,
Incapacity Benefit (IB),,,
Under State Pension age,,,
Short-term lower rate,£76.45,Weekly,
Short-term higher rate ,£90.50,Weekly,
Long-term basic rate ,£101.35,Weekly,
Over State Pension age,,,
Short-term lower rate ,£97.25,Weekly,
Short-term higher rate,£101.35,Weekly,
Incapacity Age Addition,,,
Lower rate ,£6.00,Weekly,
Higher rate ,£10.70,Weekly,
Invalidity Allowance,,,Only applies to claims prior to 13 April 1995
Lower rate ,£6.00,Weekly,
Middle rate,£6.00,Weekly,
Higher rate ,£10.70,Weekly,
Income Support (IS),,,
Personal allowances,,,
Single person,,,
Aged 16 to 24 ,£56.80,Weekly,
Aged 25 or over,£71.70,Weekly,
Lone parent,,,
Aged 16 to 17,£56.80,Weekly,
Aged 18 or over ,£71.70,Weekly,
Couple,,,
Both under 18 ,£56.80,Weekly,
Both under 18 – higher rate,£85.80,Weekly,"A higher rate may be paid where either member of the couple is responsible for a child or if (were they not a couple) each member would be entitled to Employment and Support Allowance, Income Support or Jobseeker’s Allowance in their own right."
"Claimant aged 18-24, partner aged under 18 ",£56.80,Weekly,
"Claimant aged over 25, partner aged under 18 ",£71.70,Weekly,
One over and one under 18 – higher rate ,£112.55,Weekly,"A higher rate may be paid where either member of the couple is responsible for a child or if (were they not a couple) each member would be entitled to Employment and Support Allowance, Income Support or Jobseeker’s Allowance in their own right."
Both aged 18 or over ,£112.55,Weekly,
Dependent children ,£65.62,Weekly,
Premiums,,,
Family ,£17.40,Weekly,
Disabled child ,£57.89,Weekly,
Carer ,£33.30,Weekly,
Severe disability (single) ,£59.50,Weekly,
Severe disability (couple lower rate),£59.50,Weekly,
Severe disability (couple higher rate) ,£119.00,Weekly,
Pensioner (couple) ,£109.50,Weekly,
Disability (single person) ,£31.00,Weekly,
Disability (couple),£44.20,Weekly,
Enhanced Disability (single person) ,£15.15,Weekly,
Enhanced Disability (couple) ,£21.75,Weekly,
Enhanced Disability (child) ,£23.45,Weekly,
Industrial Injuries Disablement Benefit,,,"The amount paid is based on a person’s age and the assessed level of disability, on a scale from 20 per cent to 100 per cent."
"Assessed level of disability, Aged 18 and over, or under 18 of disability with dependants",,,
100%,£161.60,Weekly,
90%,£145.44,Weekly,
80%,£129.28,Weekly,
70%,£113.12,Weekly,
60%,£96.96,Weekly,
50%,£80.80,Weekly,
40%,£64.64,Weekly,
30%,£48.48,Weekly,
20%,£32.32,Weekly,
Constant Attendance Allowance,,,
Exceptional rate ,£129.40,Weekly,
Intermediate rate ,£97.05,Weekly,
Normal maximum rate ,£64.70,Weekly,
Part-time rate ,£32.35,Weekly,
Industrial Death Benefit,,
Widow’s or widower’s pension,,
Higher rate ,£110.15,Weekly
Lower rate ,£33.05,Weekly
Exceptionally Severe Disablement Allowance,£64.70,Weekly
Unemployability Supplement,,
Basic rate ,£99.90,Weekly
Amounts added for early incapacity,,
Higher rate ,£20.70,Weekly
Middle rate ,£13.30,Weekly
Lower rate ,£6.65,Weekly
Reduced Earnings Allowance,,
Maximum rate ,£64.64,Weekly
Retirement Allowance,,
Maximum rate ,£16.16,Weekly
Jobseeker’s Allowance (JSA),,
Contribution-based JSA,,
Person aged 16 to 24 ,£56.80,Weekly
Person aged 25 or over ,£71.70,Weekly
Income-based JSA,,
Single person,,
Aged 16 to 24,£56.80,Weekly
Aged 25 or over ,£71.70,Weekly
Couple,,
With both people aged 16 or 17 ,£56.80,Weekly
"With both people aged 16 or 17, payable in certain circumstances ",£85.80,Weekly
"With one person aged 16 or 17, and one person aged 18 to 24 ",£56.80,Weekly
"With one person aged 16 or 17, and one person aged 25 or over ",£71.70,Weekly
With both people aged 18 or over ,£112.55,Weekly
"With one person aged 16 or 17, and one person aged 18 or over, payable in certain circumstances ",£112.55,Weekly
Lone parents,,
Aged under 18,£56.80,Weekly
Aged 18 or over ,£71.70,Weekly
Dependent children ,£65.62,Weekly
Premiums,,
Family,£17.40,Weekly
Disabled child ,£57.89,Weekly
Carer,£33.30,Weekly
Amount added for severe disability,,
Single ,£59.50,Weekly
Couple (where one person qualifies) ,£59.50,Weekly
Couple (where both people qualify) ,£119.00,Weekly
Pensioner ,,
Single person ,£73.70,Weekly
Couple ,£109.50,Weekly
Disability premium,,
Single person ,£31.00,Weekly
Couple ,£44.20,Weekly
Enhanced disability premium,,
Single person,£15.15,Weekly
Couple,£21.75,Weekly
Child,£23.45,Weekly
Benefit for people in work who are on strike (reduction in benefit) ,-£39.00,Weekly
Maternity Allowance,,
Paid for 39 weeks at a weekly rate equal to 90 per cent of your average gross weekly earnings:,up to £136.78,Weekly
Pension Credit,,
Guarantee Credit,,
Single person ,£145.40,Weekly
Couple ,£222.05,Weekly
Amount added for severe disability,,
Single person ,£59.50,Weekly
Couple (where one person qualifies) ,£59.50,Weekly
Couple (where both people qualify) ,£119.00,Weekly
Amount added for carers ,£33.30,Weekly
Savings Credit,,,
Maximum for single people ,£18.06,Weekly,
Maximum for couples ,£22.89,Weekly,
Threshold for single people,£115.30,Weekly,
Threshold for couples ,£183.90,Weekly,
Assumed income,Deduction,Weekly,"For each £500, or part of £500, of capital an individual has (for example, savings and investments) above £10,000, an individual's entitlement is reduced by £1 a week."
Severe Disablement Allowance,,,
Severe Disablement Allowance ,£71.80,Weekly,
Age-related additions,,,
Higher rate ,£10.70,Weekly,
Middle rate,£6.00,Weekly,
Lower rate ,£6.00,Weekly,
Social Fund,,,
Sure Start Maternity Grant,£500,Lump sum,
"Funeral Payment specified costs, plus for other funeral expenses",up to £700.00,Lump sum,
Cold Weather Payment for the period 1 November 2013 to 31 March 2014 ,£25.00,For period,
State Pension,,,
Based on your own or late spouse’s or late civil partner’s National Insurance contributions (NICs) ,£110.15,Weekly,"Basic State Pension – rates shown are for full entitlement. Any additional State Pension, also called State Earnings Related Pension Scheme (SERPS) or State Second Pension (S2P), you were getting before April 2013 is increased by 2.2 per cent."
"Based on your husband’s, wife’s or civil partner’s NICs ",£66.00,Weekly,"Basic State Pension – rates shown are for full entitlement. Any additional State Pension, also called State Earnings Related Pension Scheme (SERPS) or State Second Pension (S2P), you were getting before April 2013 is increased by 2.2 per cent."
Over 80 Pension,,,
Paid if you receive no State Pension or a State Pension of less than £66.00 a week at age 80 as long as residence conditions are met ,£66.00,Weekly,
Age addition ,£0.25,Weekly,
Graduated Retirement Benefit,,,
"If you reach State Pension age after 5 April 2013, for every £7.50 of graduated contributions paid, you get ",£0.13,Weekly,
Statutory Adoption Pay,,,
Paid for 39 weeks ,"£136.78 or 90% of the individual's gross average earnings, if that is less. ",Weekly,
Statutory Maternity Pay,,,
Paid for 39 weeks,,,
First 6 weeks,90% of individual's average gross earnings,Weekly,No upper earnings limit. 
The remaining 33 weeks ,"£136.78 or 90% of the individual's gross average earnings, if that is less. ",Weekly,
Statutory Paternity Pay,,,
Statutory Paternity Pay (Ordinary),,,
Paid for 2 weeks ,"£136.78 or 90% of the individual's gross average earnings, if that is less. ",,
Statutory Paternity Pay (Additional),,,
"Paid for up to 19 weeks to partners of mothers and adopters once the mother or co-adopter returns to work during their Statutory Maternity Pay, Maternity Allowance or Statutory Adoption Pay period in respect of babies due on or after 3 April 2011.","£136.78 or 90% of the individual's gross average earnings, if that is less. ",,
Statutory Sick Pay,£86.70,Weekly,
Universal Credit,,,"From 29 April 2013, Universal Credit will be introduced in certain areas of the country. Universal Credit is a single new payment if you are looking for work or on a low income. Universal Credit will eventually replace:
• Income Based Jobseeker’s Allowance
• Income Related Employment Support Allowance
• Income Support
• Child Tax Credit
• Working Tax Credit
• Housing Benefit
For more information go to www.gov.uk/universalcredit"
Universal Credit is paid monthly and includes the following:,,,
Standard allowance,,,
Single claimant aged under 25,£246.81,Monthly,
Single claimant aged 25 or over,£311.55,Monthly,
Joint claimants both aged under 25,£387.42,Monthly,
Joint claimants where either is ,£489.06,Monthly,
Child element,,,
First child or qualifying young person,£272.08,Monthly,
Second and each subsequent child or qualifying young person,£226.67,Monthly,
Additional amount for disabled child or qualifying person,,,
Lower rate,£123.62,Monthly,
Higher rate,£352.92,Monthly,
Limited capability for work,£123.62,Monthly,
Limited capability for work and work-related activity,£303.66,Monthly,
Carer element per month,£144.70,Monthly,
Childcare costs element,,,
Maximum amount for one child,£532.29,Monthly,70 per cent of the amount paid as charges for relevant childcare:
Maximum amount for two or more children,£912.50,Monthly,70 per cent of the amount paid as charges for relevant childcare:
Housing Cost Element,,,
"Social Sector tenants: Actual housing costs (excluding ineligible service charges and utility charges), subject to the size criteria, less any Housing Cost Contribution.",,,
Size Criteria Deduction,,,
One room under occupied,14%,,
Two or more rooms under occupied,25%,,
"Private Sector tenants: Lower of actual costs or the Local Housing Allowance, less any Housing Cost Contribution.",,,
Housing Cost Contribution (non-dependants): £68,,,DQ: Is this monthly?
"Owner occupiers: A flat rate of interest (based on the average mortgage rate published by the Bank of England) applied to loans up £200,000. And/or any eligible service charges.",,,
Widow’s benefits,,,
Widowed Mother’s Allowance ,£108.30,Weekly,
Widow’s Pension (standard rate) ,£108.30,Weekly,
Age-related Widow’s Pension,,,"Based on the age when a husband dies, or when Widowed Mother’s Allowance stops."
If an individual started getting this after 11 April 1988,,,
Your age,,,
54,£100.72,Weekly,
53,£93.14,Weekly,
52,£85.56,Weekly,
51,£77.98,Weekly,
50,£70.40,Weekly,
49,£62.81,Weekly,
48,£55.23,Weekly,
47,£47.65,Weekly,
46,£40.70,Weekly,
45,£32.49,Weekly,
If an individual started getting this before 11 April 1988,,,
Your age,,,
49,£100.72,Weekly,
48,£93.14,Weekly,
47,£85.56,Weekly,
46,£77.98,Weekly,
45,£70.40,Weekly,
44,£62.81,Weekly,
43,£55.23,Weekly,
42,£47.65,Weekly,
41,£40.70,Weekly,
40,£32.49,Weekly,
Winter Fuel Payments,,,The Winter Fuel Payment is an annual lump-sum payment. The qualifying week for 2013/14 is 16 to 22 September 2013. People must have been born on or before 5 January 1952 and meet the eligibility conditions to qualify for the winter of 2013/14. Rates are based on your circumstances during the qualifying week.
People aged up to 79,,,
If an individual is the only eligible person in the household ,£200,Lump sum,
"If the individual gets Pension Credit, income-based JSA or income-related Employment and Support Allowance ",£200,Lump sum,
"There is more than one eligible person in the household and they are not getting Pension Credit, income-based JSA, income-related ESA ",£100 each,Lump sum,
"If the individual lives in a care home, and is not getting Pension Credit, income-based JSA or income-related Employment and Support Allowance ",£100,Lump sum
People aged 80 or over,,
If the individual is the only eligible person in the household ,£300,Lump sum
If the individual gets Pension Credit ,£300,Lump sum
There is more than one person aged 80 or over in the household and the individual is not getting Pension Credit ,£150,Lump sum
The individual lives in a care home and is not getting Pension Credit ,£150,Lump sum
"The individual is the only person aged 80 or over, other eligible people in the household are aged 79 or below ",£200,Lump sum
Extra amounts for dependants,,
Dependent adults,,
"For a wife, husband, civil partner (except in the case of State Pension) or a person looking after children if you are receiving any of the following:",,
State Pension on your own NICs ,£63.20,Weekly
Unemployability Supplement ,£59.75,Weekly
Carer’s Allowance ,£35.15,Weekly
Severe Disablement Allowance ,£35.35,Weekly
Long-term Incapacity Benefit ,£58.85,Weekly
Short-term Incapacity Benefit if you are under State Pension age ,£45.85,Weekly
Short-term Incapacity Benefit if you are over State Pension age,£56.55,Weekly,
Dependent children,,,Not available to new claims starting from 6 April 2003 or later.
With any of the benefits listed above:,,,
For the oldest child who gets Child Benefit ,£8.10,Weekly,
For each other child who gets Child Benefit ,£11.35,Weekly,
Earnings rules,,,
Your own earnings,,,
Carer's Allowance,,,"If you get Carer’s Allowance, you can earn up to £100 (after certain expenses) before it affects your benefit."
"Incapacity Benefit (IB), Severe Disablement Allowance (SDA), Employment and Support Allowance (ESA)",,,"If you get Incapacity Benefit, Severe Disablement Allowance or Employment and Support Allowance, you may be able to earn up to £20 or £99.50 before it affects your benefit."
State Pension and Berevement benefit (including Widow's benefit),,,"If you get State Pension or a Bereavement benefit (including Widow’s benefit), you can earn any amount and it does not affect these benefits. But if you also get Income Support, Pension Credit or income-based JSA, anything you earn could reduce these benefits."
Other person’s earnings,,,
Amounts added for dependent adults - Adult Dependency Increase.,,,
"If a dependent adult lives with you, you will not get extra for them or this benefit will be reduced if they earn more than the amount which applies below.",,,
State Pension ,£71.70,Weekly,
Short-term Incapacity Benefit if you are under State Pension age,£44.85,Weekly,
Short-term Incapacity Benefit if you are under State Pension age,£56.65,Weekly,
Long-term Incapacity Benefit ,£71.70,Weekly
Severe Disablement Allowance,£71.70,Weekly
Unemployability Supplement standard rate ,£71.70,Weekly
One of the above benefits and your extra benefit started before 16 September 1985 ,£45.09,Weekly
Carer’s Allowance ,£35.15,Weekly
"If your dependent adult does not live with you, the limits are as follows. ",,
State Pension ,£63.20,Weekly
Short-term Incapacity Benefit if you are under State Pension age ,£45.85,Weekly
Short-term Incapacity Benefit if you are over State Pension age ,£56.65,Weekly
Long-term Incapacity Benefit ,£58.85,Weekly
Unemployability Supplement ,£59.75,Weekly
Severe Disablement Allowance ,£35.35,Weekly
Carer’s Allowance ,£35.15,Weekly
Amounts added for dependent children,,
"This extra benefit may be affected if your husband, wife or civil partner lives with you and is paid more than the following weekly amount:",,
For one child ,£220,Weekly
For each extra child add the following to the amount for one child,£29,Weekly,
Amounts added for dependants – occupational and personal pensions,,,
"For claims since 26 November 1984, an occupational or personal pension paid to your partner counts as earnings for the purposes of the earnings rules for amounts added for dependent adults and dependent children above.",,,
Housing costs – deductions for non-dependants,,,"No deductions for non-dependants are made if the customer or partner is:
• blind or treated as blind
• receiving Attendance Allowance or the care component of Disability Living Allowance for themselves.
Deductions for non-dependants are only taken from the housing element of income-related benefit entitlement."
The following deductions will be made from any housing element of your benefit where the non-dependant is:,,,
In receipt of Pension Credit,nil,,
"In receipt of training allowance, full-time student (including students not working in summer vacation) co-owners or joint tenants, patients (for more than 52 weeks) or prisoners",nil,,
Aged under 18 ,nil,,
Aged under 25 and on IS or income-based JSA or assessment phase rate income-related ESA,nil,,
Aged 25 and over and on IS or income-based JSA or assessment phase rate income-related ESA ,£13.60,,
Any age and in receipt of income related ESA at main phase rate ,£13.60,,
Aged 18 or over and not in remunerative work ,£13.60,,
"Aged 18 or over, in paid work and with a gross weekly income (before tax and National Insurance are taken off) of the following:",,,
Less than £126 ,£13.60,,
£126 to £185.99 ,£31.25,,
£186 to £241.99 ,£42.90,,
£242 to £321.99 ,£70.20,,
£322 to £400.99 ,£79.95,,
£401 and above ,£87.75,,
Reduction in benefit for people in work who are on strike ,-£39.00,,
Common rules,,,"Some common rules apply to Income Support, Income-based Jobseeker’s Allowance, and income-related Employment and Support Allowance."
"Savings rules (also called capital rules), the following limits apply:",,,
"Upper limit (income-based JSA, income-related ESA and IS) ","£16,000",Upper Limit,
"Lower limit (income-based JSA, income-related ESA and IS) ","£6,000",Lower Limit,
"For people living in care homes, the following limits apply",,,
"Upper limit (income-based JSA, income-related ESA and IS) ","£16,000",Upper Limit,
"Lower limit (income-based JSA, income-related ESA and IS) ","£10,000",Lower Limit,
Income from capital rules,,,These are also called tariff income rules. Owning capital may mean you get less benefit.
"Income-based JSA, income-related ESA and IS",,,"If you have capital over £6,000 up to £16,000. For each £250 or part of £250 of capital you have, your benefit is reduced by £1 a week."
"Income-based JSA, income-related ESA and IS",,,"If you have capital of over £16,000. You cannot normally get these benefits."
"Income-based JSA, income-related ESA and IS",,,"If you live in a care home, and have capital over £10,000 up to £16,000. For each £250 or part of £250 of capital you have, your benefit is reduced by £1 a week."
Universal Credit,,,"If you have capital over £6,000 up to £16,000,  For each £250 or part of £250 of capital you have, your benefit is reduced by £4.35 per month."
Universal Credit,,,"If you have capital of over £16,000. You cannot normally get Universal Credit."
Benefit Cap,,,"If you are under state pension age, from April 2013 the total amount of benefit your household may be able to get may be limited to a maximum amount. This is called the benefit cap. "
"The following benefits will be included when we work out the total amount of benefit you may get:
• The main out-of-work benefits (Jobseeker’s Allowance, Income Support, Universal Credit and Employment & Support Allowance except where the Support Component is in payment)
• Housing Benefit
• Child Benefit
• Child Tax Credit, and
• other benefits such as Carer’s Allowance
",,,
From April 2013 the cap will be applied through Housing Benefit as follows:,,,
• £500 a week for couples and lone parents,,,
"• £350 a week for single, childless claimants",,,
From October 2013 the cap will be applied through Universal Credit as follows:,,,
