Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,MEDISCAN DIAGNOSTIC SERVICES LTD,3523702,"32,595.00",,INV001174
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,3523848,"49,243.00",,2110010863
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,STROKE ASSOCIATION,3537317,"152,245.00",,CRM5042
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,CHC ADULT FULLY FUNDED,HIGHBANK PRIORY,3537987,"21,630.00",,1100004519
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Voluntary Sector,HOSPICES,DR KERSHAWS HOSPICE,3538170,"52,971.17",,G042014
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,GO TO DOC LTD,3551568,"143,760.00",,6693
Department of Health,NHS Oldham CCG,31/05/2014,Other Transport Costs,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,3565714,"92,880.61",,1001853
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,NORTH WEST AMBULANCE SERVICE NHS TRUST,3565887,"549,108.00",,4110009031
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,LANCASTER HOUSE CONS DIAGNOSTIC & SURGICAL,3565933,"56,471.33",,LANUROLM0414
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,LANCASTER HOUSE CONS DIAGNOSTIC & SURGICAL,3565983,"56,471.33",,LANUROLM0314
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3566040,"626,260.00",,6210000760
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,3566150,"289,891.17",,26169
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,3566173,"151,602.00",,312639
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,3566197,"43,517.00",,40048013
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,3566208,"8,439,016.00",,108098
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,CHC ADULT JOINT FUNDED,CHADDERTON TOTAL-CARE UNIT LTD,3579723,495.79,,I0056839
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,CHC ADULT FULLY FUNDED,CHADDERTON TOTAL-CARE UNIT LTD,3579723,"44,917.27",,I0056839
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-CQUIN,COMMUNITY SERVICES,PENNINE CARE NHS FOUNDATION TRUST,3579742,"23,056.00",,1010004331
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE CARE NHS FOUNDATION TRUST,3579742,"1,844,478.00",,1010004331
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,3579766,"137,164.50",,108137
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Clinical Other,NON RECURRENT PROGRAMMES,CH MEDICAL,3597800,"60,000.00",,1.8032E+12
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,FUNDED NURSING CARE,CHADDERTON TOTAL-CARE UNIT LTD,3598553,"33,868.41",,I0056761
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Drugs,COMMISSIONING SCHEMES,ROCHE PRODUCTS LTD,3610891,"22,368.96",,1321678265
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,3630766,"31,100.00",,5110001638
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,ASSURA BLACKPOOL LLP,3630783,"31,990.00",,809Z303
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,3645200,"47,023.68",,108139
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,WINTER PRESSURES,OLDHAM MBC,3658657,"72,000.00",,10352988B
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,WINTER PRESSURES,OLDHAM MBC,3658716,"60,000.00",,65000004C
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,3658735,"135,000.00",,7300000971
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,3659105,"21,221.00",,1010004314
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,3659105,"1,697,704.00",,1010004314
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec NHS Trust-Non Contract,PALLIATIVE CARE,PENNINE ACUTE HOSPITALS NHS TRUST,3659113,"42,000.00",,108330
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,3659125,"621,206.00",,3110003787
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,3659135,"102,857.00",,1250514
Department of Health,NHS Oldham CCG,31/05/2014,Printing Costs,CORPORATE COSTS & SERVICES,DANWOOD GROUP LTD,3659147,"31,680.00",,3697098
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,HIGH COST DRUGS,BUPA HOME HEALTHCARE LTD,3659156,"32,175.00",,SINV1362568
Department of Health,NHS Oldham CCG,31/05/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,3659162,"240,282.00",,1000151143
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,CHC ADULT FULLY FUNDED,ST GEORGES NURSING HOME LTD,3671951,"31,609.10",,4970
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,CHC ADULT JOINT FUNDED,ST GEORGES NURSING HOME LTD,3671951,969.66,,4970
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Othe Public Sector,COMMISSIONING SCHEMES,PENNINE MSK PARTNERSHIP,3716169,"413,559.00",,669
Department of Health,NHS Oldham CCG,31/05/2014,Printing Costs,CORPORATE COSTS & SERVICES,DANWOOD GROUP LTD,3716432,"31,680.00",,3681842
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Clinical Other,NON RECURRENT PROGRAMMES,BRITISH RED CROSS SOCIETY,3716449,"83,000.00",,650054748
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Clinical Other,COMMUNITY SERVICES,PENNINE MSK PARTNERSHIP,3731832,"46,956.00",,670
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,3767885,"69,985.44",,1250214REC
