"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","111","Band 4","18838","22016","Clerical Worker","5.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","111","Band 5","21478","27901","Personal Assistant","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","111","Band 7","30764","40558","Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 3","16271","19268","Clerical Worker","0.67","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 4","18838","22016","Manager","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 5","21478","27901","Analyst","0.60","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 5","21478","27901","Officer","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 6","25783","34530","Analyst","11.60","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 6","25783","34530","Manager","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 7","30764","40558","Manager","4.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 8A","39239","47088","Analyst","4.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 8A","39239","47088","Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 8A","39239","47088","Senior Manager","1.80","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","112","Band 8B","45707","56504","Senior Manager","3.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","113","Band 5","21478","27901","Officer","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","113","Band 6","25783","34530","Clerical Worker","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","113","Band 7","30764","40558","Manager","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","113","Band 8a","39239","47088","Senior Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","113","Band 8B","45707","56504","Senior Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","113","Band 8C","54998","67805","Senior Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","113","Band 6","25783","34530","Manager","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","113","Band 8A","39239","47088","Senior Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 3","16271","19268","Clerical Worker","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 4","18838","22016","Clerical Worker","2.80","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 5","21478","27901","Officer","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 6","25783","34530","Manager","8.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 6","25783","34530","Officer","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 7","30764","40558","Manager","20.50","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 7","30764","40558","Officer","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 8A","39239","47088","Officer","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 8A","39239","47088","Senior Manager","7.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 8B","45707","56504","Senior Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 8C","54998","67805","Senior Manager","5.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","114","Band 8D","65922","81618","Senior Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 3","16271","19268","Clerical Worker","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 4","18838","22016","Clerical Worker","6.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 5","21478","27901","Clerical Worker","0.60","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 5","21478","27901","Officer","7.47","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 7","30764","40558","Manager","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 7","30764","40558","Pharmacist","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 8A","39239","47088","Pharmacist","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 8B","45707","56504","Pharmacist","2.51","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 8B","45707","56504","Senior Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","115","Band 8C","54998","67805","Pharmacist","2.80","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","116","Band 5","21478","27901","Officer","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","116","Band 6","25783","34530","Manager","8.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","116","Band 6","25783","34530","Officer","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","116","Band 7","30764","40558","Manager","7.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","116","Band 8A","39239","47088","Senior Manager","6.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Commissioning Delivery & Intelligence","121","Band 8B","45707","56504","Manager","1.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Commissioning Delivery & Intelligence","121","Band 8D","65922","81618","Senior Manager","3.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Commissioning Delivery & Intelligence","122","Band 5","21478","27901","Officer","3.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Commissioning Delivery & Intelligence","122","Band 6","25783","34530","Manager","5.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Commissioning Delivery & Intelligence","122","Band 7","30764","40558","Analyst","2.00","Medicine"
"Department of Health","Greater Manchester Commissioning Support Unit","Commissioning Delivery & Intelligence","122","Band 7","30764","40558","Manager","17.00","Medicine"
