Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Amount Paid,VAT Reg No
Department of Health,North East Ambulance Service NHS Foundation Trust,16-Dec-11,PATIENT TRANSPORT,OPERATIONS,CLEVELAND FIRE AUTHORITY,198990,"26,282.88",
Department of Health,North East Ambulance Service NHS Foundation Trust,23-Dec-11,CONSULTANCY,OPERATIONS - CONTACT CENTRE,BAE SYSTEMS DETICA,198897,"99,840.00",
Department of Health,North East Ambulance Service NHS Foundation Trust,14-Dec-11,VEHICLE RUNNING COSTS : FUEL,OPERATIONS,BP OIL UK LTD,199974,"55,697.33",
Department of Health,North East Ambulance Service NHS Foundation Trust,21-Dec-11,VEHICLE RUNNING COSTS : FUEL,OPERATIONS,BP OIL UK LTD,200256,"86,560.32",
Department of Health,North East Ambulance Service NHS Foundation Trust,30-Dec-11,VEHICLE RUNNING COSTS : FUEL,OPERATIONS,BP OIL UK LTD,200754,"89,644.87",
Department of Health,North East Ambulance Service NHS Foundation Trust,07-Dec-11,VEHICLE RUNNING COSTS : FUEL,OPERATIONS,BP OIL UK LTD,199276,"164,913.08",
Department of Health,North East Ambulance Service NHS Foundation Trust,23-Dec-11,CONSULTANCY,COMMUNICATIONS & PUBLIC INVOLVEMENT,CUSTOMER RESEARCH TECHNOLOGY LTD,199037,"50,103.00",
Department of Health,North East Ambulance Service NHS Foundation Trust,09-Dec-11,LEASE RENT,ESTATES,KANS AND KANDY PROPERTIES LTD,199455,"34,965.00",
Department of Health,North East Ambulance Service NHS Foundation Trust,06-Dec-11,HOME PC PURCHASE,PAYROLL,LETS CONNECT,199277,"346,368.00",
Department of Health,North East Ambulance Service NHS Foundation Trust,19-Dec-11,PROCUREMENT,PROCUREMENT,NATWEST LTD,199470,"28,327.23",
