Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/07/2013,NIC CLASS 1B (PSA SCHEMES),BOARD,PSPES NOT APPLICABLE,XT005003911154 PAYE SETTL,0000201819,1206.69
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/07/2013,TAX ON BENEFITS (PSA SCHEMES),BOARD,PSPES NOT APPLICABLE,XT005003911154 PAYE SETTL,0000201819,3054.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2013,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000201871,603.24
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/07/2013,NIC CLASS 1B (PSA SCHEMES),BOARD,PSPES NOT APPLICABLE,CLASS 1B NIC ON BENEFITS,0000201901,33.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/07/2013,TAX ON BENEFITS (PSA SCHEMES),BOARD,PSPES NOT APPLICABLE,TAX ON BENEFITS,0000201901,77.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000202474,221.85
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000202475,170.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2013,FARES - AIR,CHIEF EXECUTIVE,TRAVEL&EVENTS-AIR,REDFERN TRAVEL LTD,0000201873,114.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2013,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000201873,384.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/07/2013,NIC CLASS 1B (PSA SCHEMES),CHIEF EXECUTIVE,PSPES NOT APPLICABLE,CLASS IB NIC ON BENEFITS,0000201901,343.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/07/2013,TAX ON BENEFITS (PSA SCHEMES),CHIEF EXECUTIVE,PSPES NOT APPLICABLE,TAX ON BENEFITS,0000201901,866.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/07/2013,STAFF EVENTS,CHIEF EXECUTIVE,MARKETING & MEDIA-PROMOTION,PURCHASE OF 3 X STAFF AWARDS,0000202140,735.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/07/2013,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000202202,16.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/07/2013,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000202206,50.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/07/2013,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000202220,61.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/07/2013,STATIONERY,CHIEF EXECUTIVE,OFFICE SOLUTIONS-OFFCE SPPLIES,COMPANY BARCLAYCARD,0000202220,47.34
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/07/2013,STAFF EVENTS,CHIEF EXECUTIVE,MARKETING & MEDIA-PROMOTION,COMPANY BARCLAYCARD,0000202235,288.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/07/2013,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,OFFICIAL OPENING OF MIC,0000202273,225.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000202462,253.44
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000202462,106.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,24 HOUR SUBSISTENCE ALLOWANCE,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000202466,119.77
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000202466,25.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000202466,145.44
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,24 HOUR SUBSISTENCE ALLOWANCE,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000202471,3.79
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,FARES - PUBLIC TRANSPORT,CHIEF EXECUTIVE,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000202471,50.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000202471,37.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000202471,28.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/07/2013,TRAINING AND EDUCATION,CHIEF EXECUTIVE,PROF SER LRNG&DEV-STAFF TRNING,PERSONAL TRANSFORMATION,0000202509,9000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/07/2013,MEETINGS,CHIEF EXECUTIVE,FACILITIES - FOOD,EXEC REFUND DRINKS,34000759,-86.05
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,STAFF EVENTS,CHIEF EXECUTIVE,MARKETING & MEDIA-PROMOTION,RIBBON MIC CELEBRATION,34000776,2.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000201823,224.43
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000201824,949.65
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2013,FARES - RAIL,CORPORATE AFFAIRS,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000201873,183.57
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/07/2013,NIC CLASS 1B (PSA SCHEMES),CORPORATE AFFAIRS,PSPES NOT APPLICABLE,CLASS 1B NIC ON BENEFITS,0000201901,37.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/07/2013,TAX ON BENEFITS (PSA SCHEMES),CORPORATE AFFAIRS,PSPES NOT APPLICABLE,TAX ON BENEFITS,0000201901,107.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/07/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,THE COPYRIGHT LICENSING A,0000202077,2219.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000202083,435.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/07/2013,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000202206,10.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/07/2013,ANNUAL REPORT AND ACCOUNTS,CORPORATE AFFAIRS,OFFICE SOLUTIONS-PRINT,THE STATIONERY OFFICE LTD,0000202270,7910.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,24 HOUR SUBSISTENCE ALLOWANCE,CORPORATE AFFAIRS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000202480,58.38
