Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,RCDTS,03/01/2018,Computer accessories,RCDTS,COMPUTACENTER (UK) LTD,5100003146,"27,000.00",I.T.-Hardware & Consumables,AL10 9TW,,,,
HMRC,RCDTS,03/01/2018,Tablet computers,RCDTS,COMPUTACENTER (UK) LTD,5100003162,"70,760.00",I.T.-Hardware & Consumables,AL10 9TW,,,,
HMRC,RCDTS,03/01/2018,Tablet computers,RCDTS,COMPUTACENTER (UK) LTD,5100003163,"70,760.00",I.T.-Hardware & Consumables,AL10 9TW,,,,
HMRC,RCDTS,03/01/2018,Tablet computers,RCDTS,COMPUTACENTER (UK) LTD,5100003164,"70,760.00",I.T.-Hardware & Consumables,AL10 9TW,,,,
HMRC,RCDTS,05/01/2018,Computer accessories,RCDTS,COMPUTACENTER (UK) LTD,5100003086,"27,989.84",I.T.-Hardware & Consumables,AL10 9TW,,,,
HMRC,RCDTS,05/01/2018,Computer accessories,RCDTS,ORGANISED COMPUTER SYSTEMS LTD,5100003135,"213,172.75",I.T.-Hardware & Consumables,RH14 0AZ,,,,
HMRC,RCDTS,05/01/2018,Computer accessories,RCDTS,ORGANISED COMPUTER SYSTEMS LTD,5100003136,"26,686.96",I.T.-Hardware & Consumables,RH14 0AZ,,,,
HMRC,RCDTS,05/01/2018,Computer accessories,RCDTS,ORGANISED COMPUTER SYSTEMS LTD,5100003137,"185,038.68",I.T.-Hardware & Consumables,RH14 0AZ,,,,
HMRC,RCDTS,05/01/2018,Software maintenance,RCDTS,SIGHT AND SOUND TECHNOLOGY LIMITED,5100003180,43486.75,I.T.-Hardware & Consumables,NN3 6WD,,,,
HMRC,RCDTS,05/01/2018,Contingnt Labr IT,RCDTS,EXPERIS LTD,5100003184,"10,448.75",Contingnt Labr IT,EC2M 2RB,,,,
HMRC,RCDTS,05/01/2018,Contingnt Labr IT,RCDTS,EXPERIS LTD,5100003184,"16,054.14",Contingnt Labr IT,EC2M 2RB,,,,
HMRC,RCDTS,05/01/2018,Contingnt Labr IT,RCDTS,EXPERIS LTD,5100003184,"88,261.55",Contingnt Labr IT,EC2M 2RB,,,,
HMRC,RCDTS,05/01/2018,Contingnt Labr IT,RCDTS,EXPERIS LTD,5100003184,"100,742.08",Contingnt Labr IT,EC2M 2RB,,,,
HMRC,RCDTS,05/01/2018,Contingnt Labr IT,RCDTS,EXPERIS LTD,5100003184,"102,207.61",Contingnt Labr IT,EC2M 2RB,,,,
HMRC,RCDTS,05/01/2018,Contingnt Labr IT,RCDTS,EXPERIS LTD,5100003184,"175,448.38",Contingnt Labr IT,EC2M 2RB,,,,
HMRC,RCDTS,05/01/2018,Contingnt Labr IT,RCDTS,EXPERIS LTD,5100003184,"414,938.70",Contingnt Labr IT,EC2M 2RB,,,,
HMRC,RCDTS,05/01/2018,Contingnt Labr IT,RCDTS,EXPERIS LTD,5100003184,"552,274.64",Contingnt Labr IT,EC2M 2RB,,,,
HMRC,RCDTS,05/01/2018,Software maintenance,RCDTS,ORACLE CORPORATION (UK) LTD,5100003199,21065.48,I.T.-Software & Support,RG6 1RA,,,,
