Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,13/01/2015,Travel and subsistence Overseas,International Policy Directorate,Personal expenses name witheld,ER128192,277.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2015,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP-L947243,58582.54,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/01/2015,Office Equipment,"People, Property and Services Directorate",Computacenter (UK) ltd,3880390365,21533.88,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30846340,110.52,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/01/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30825482,213.93,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/01/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30836607,299.38,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/01/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30825482,331.56,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30858508,431.35,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/01/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30836607,442.08,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/01/2015,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30825482,494.48,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30846340,498.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/01/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30825482,500.18,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/01/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30813046,543.58,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30858508,552.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/01/2015,Agency Staff,Patents Directorate,Brook Street (UK) Ltd,30813046,561.91,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/01/2015,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30836607,589.16,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30858508,671.77,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30846340,814.16,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/01/2015,Agency Staff,Trade Marks Directorate,Brook Street (UK) Ltd,30813046,829.13,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2015,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5758548,885.78,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2015,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30858508,939.88,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2015,Agency Staff,"People, Property and Services Directorate",Brook Street (UK) Ltd,30846340,1048.58,Not applicable,
