Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Equip Maint Contracts,Wheelchair Serv Adults WS,AJ MOBILITY LTD,21114411,"70,863.99",423146777,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Limbs,Prosthetics SRCB,OTTO BOCK HEALTHCARE PLC,21128889,"59,065.84",228421281,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Computer Software/License,IT Management,PHOENIX PARTNERSHIP (LEEDS) LTD,21184603,"42,895.56",721671841,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,21194383,"33,710.02",156725100,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,21194385,"32,047.78",156725100,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,NonNHS Trade Pybls Curr,Balance Sheet,BT PLC,21205479,"28,842.54",245719348-1,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,21239956,"1,146,829.35",,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,21239956,"1,702,119.05",,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,21245036,"110,571.65",156725100,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,21245038,"120,088.79",156725100,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,21245040,"192,630.87",156725100,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,21245042,"30,225.33",362341768,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Rent,Estates - Midhurst Hospital,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,21245048,"92,857.50",654422543,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Rent,Estates - Midhurst Hospital,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,21245051,"92,857.50",654422543,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Home Loans,Community Equipment WS,WEST SUSSEX COUNTY COUNCIL,21245110,"306,916.67",193604455,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Drugs,Lane Bray Ward WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,21245116,"29,143.80",WSH1500021414,
