Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
JASON FEENEY,Chief Executive,2017-04-03,2017-04-05,London,Internal Meetings,,258,22.04,232.7,,512.74,
JASON FEENEY,Chief Executive,2017-04-10,2017-04-12,London,Internal Meetings,,258,10,253.95,,521.95,
JASON FEENEY,Chief Executive,2017-04-18,2017-04-19,London,Internal Meetings,,258,8,135.22,,401.22,
JASON FEENEY,Chief Executive,2017-04-24,2017-04-25,London,Internal Meetings,,119.5,42,133.38,,294.88,
JASON FEENEY,Chief Executive,2017-04-25,2017-04-26,York,Executive Management Team Meeting,,64,,121,,185,
JASON FEENEY,Chief Executive,2017-05-08,2017-05-10,London,Internal Meetings,,119,15,250.7,,384.7,
JASON FEENEY,Chief Executive,2017-05-10,2017-05-11,Belfast,Executive Management Team Meeting,139.94,,,180,,319.94,
JASON FEENEY,Chief Executive,2017-05-15,2017-05-15,Cardiff,Internal Meetings,,61,16,,,77,
JASON FEENEY,Chief Executive,2017-05-15,2017-05-17,London,Internal Meetings,,160,18,260.59,,438.59,
JASON FEENEY,Chief Executive,2017-05-22,2017-05-23,Aberdeen,Internal Meetings,462.25,,54.1,80.1,,596.45,
JASON FEENEY,Chief Executive,2017-05-31,2017-06-01,London,Internal Meetings,,264,,113.9,,377.9,
JASON FEENEY,Chief Executive,2017-06-05,2017-06-06,London,Executive Management Team Meeting,,264,5,217.86,,486.86,
JASON FEENEY,Chief Executive,2017-06-07,2017-06-07,London,External Conference,,,16,,,16,
JASON FEENEY,Chief Executive,2017-06-12,2017-06-14,London,Internal Meetings,,264,,247.71,,511.71,
JASON FEENEY,Chief Executive,2017-06-19,2017-06-19,London,Internal Meetings,,122,,,,122,
JASON FEENEY,Chief Executive,2017-06-19,2017-06-22,Liverpool,FSA Board Retreat,,190.03,49,95.1,,334.13,
JASON FEENEY,Chief Executive,2017-06-22,2017-06-22,London,Stakeholder Engagement,,244,19,4.75,,267.75,
JASON FEENEY,Chief Executive,2017-06-26,2017-06-27,London,Internal Meetings / Executive Management Team Meeting,,122,,147.84,,269.84,
JASON FEENEY,Chief Executive,2017-06-27,2017-06-28,Birmingham ,Internal Meetings,,81.6,,83.65,,165.25,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2017-04-25,2017-04-26,York,Executive Management Team Meeting,,288.1,,121,,409.1,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2017-05-10,2017-05-11,Belfast,Executive Management Team Meeting,152.53,,60,180,,392.53,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2017-05-22,2017-05-23,Oslo,Attendance at conference,320.2,,65,186.06,,571.26,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2017-06-19,2017-06-21,Liverpool,FSA Board Meeting,,200.95,,178,,378.95,
MARTIN EVANS,Interim Chief Operating Officer,2017-06-12,2017-06-12,London,Internal Meetings,,135,13.55,,,148.55,
MARTIN EVANS,Interim Chief Operating Officer,2017-06-13,2017-06-13,York,Internal Meetings,,147.6,,5,,152.6,
MARTIN EVANS,Interim Chief Operating Officer,2017-06-14,2017-06-14,London,Internal Meetings,,115,,5,,120,
MARTIN EVANS,Interim Chief Operating Officer,2017-06-15,2017-06-15,London,Internal Meetings,,135,,5,,140,
CHRIS HITCHEN,Director of Finance & Performance,2017-04-03,2017-04-03,London,Executive Management Team Meeting,,240,13,5.39,,258.39,
CHRIS HITCHEN,Director of Finance & Performance,2017-04-11,2017-04-11,London,Internal Meetings,,173.6,,11.95,,185.55,
CHRIS HITCHEN,Director of Finance & Performance,2017-04-25,2017-04-26,York,Executive Management Team Meeting,,,,121,12,133,
CHRIS HITCHEN,Director of Finance & Performance,2017-05-10,2017-05-11,Belfast ,Executive Management Team Meeting,197.7,,24,182.99,,404.69,
CHRIS HITCHEN,Director of Finance & Performance,2017-05-16,2017-05-17,London,Inter-governmental meeting,,240,28,116.67,,384.67,
CHRIS HITCHEN,Director of Finance & Performance,2017-05-23,2017-05-23,London,Internal Meetings,,200,,10,,210,
CHRIS HITCHEN,Director of Finance & Performance,2017-06-05,2017-06-06,London,Executive Management Team Meeting,,245,,135.25,,380.25,
CHRIS HITCHEN,Director of Finance & Performance,2017-06-12,2017-06-12,London,Internal Meetings,,200,26,9.94,,235.94,
CHRIS HITCHEN,Director of Finance & Performance,2017-06-19,2017-06-19,London,External Conference,,121,27,3.56,,151.56,
CHRIS HITCHEN,Director of Finance & Performance,2017-06-20,2017-06-21,Liverpool,FSA Board Meeting,,23.8,3,96.18,,122.98,
CHRIS HITCHEN,Director of Finance & Performance,2017-06-26,2017-06-27,London,Executive Management Team Meeting,,106.2,26,153.5,,285.7,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-04-03,2017-04-03,London,Executive Management Team Meeting,377.53,,101.81,14,,493.34,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-04-06,2017-04-06,Belfast,Stakeholder Engagement,,,15.5,,,15.5,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-04-11,2017-04-11,London,Internal Meetings,359.53,,76.65,,,436.18,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-04-25,2017-04-26,London,Executive Management Team Meeting,339.7,,171.31,121,,632.01,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-05-11,2017-05-11,Dublin,Inter-governmental meeting,,,17.5,,,17.5,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-05-16,2017-05-17,London,Senior Leadership Team Meeting,481.53,,178.76,108.93,,769.22,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-05-25,2017-05-26,York,Staff Event,305.7,,149.65,128.18,,583.53,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-05-31,2017-06-01,London,Internal Meetings,331.53,,88.81,125,,545.34,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-06-05,2017-06-06,London,Executive Management Team Meeting,146.53,,88.81,121.25,,356.59,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-06-15,2017-06-15,Stormont,Stakeholder Engagement,,,7.2,37.8,,45,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-06-16,2017-06-16,Cookstown,Stakeholder Engagement,,,33.75,,,33.75,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-06-20,2017-06-21,Liverpool,FSA Board Meeting,59.57,,27.85,,,87.42,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-06-27,2017-06-27,Newtwonabbey,Stakeholder Engagement,,,8.1,,,8.1,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2017-06-28,2017-06-29,London,External Conference,251.53,,104.81,108.93,,465.27,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-04-03,2017-04-05,London,Internal Meetings,,146.7,4.8,225.26,,376.76,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-04-06,2017-04-07,Windsor ,External Conference,,141.2,21.8,,,163,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-04-11,2017-04-12,London,Internal Meetings,,114.7,4.8,115.68,,235.18,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-04-19,2017-04-20,London,Internal Meetings,,115.7,32.8,114.93,,263.43,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-04-25,2017-04-28,London / York,Executive Management Team Meeting,,279.7,9.6,221.3,,510.6,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-05-02,2017-05-04,London,Internal Meetings,,114.7,,11.27,,125.97,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-05-09,2017-05-09,London,Internal Meetings,,65,,112.63,,177.63,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-05-10,2017-05-11,Belfast,Executive Management Team Meeting,143.77,,49.11,180,,372.88,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-05-16,2017-05-18,London,Internal Meetings,,114.7,4.8,213.31,,332.81,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-05-23,2017-05-24,London,Internal Meetings,,114.7,22.2,100.68,100,337.58,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-05-31,2017-06-01,London,Internal Meetings,,167,4.8,113.63,,285.43,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-06-05,2017-06-06,London,Executive Management Team Meeting,,65,2.4,121.25,,188.65,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-06-07,2017-06-08,London,Internal Meetings,,44.7,2.4,14.2,,61.3,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-06-12,2017-06-13,London,Internal Meetings,,161.7,9,100.68,,271.38,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-06-15,2017-06-15,London,Internal Meetings,,167,4.8,,,171.8,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-06-20,2017-06-21,Liverpool,FSA Board Meeting,,172.5,16,91.3,,279.8,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-06-22,2017-06-22,London,Internal Meetings,,44.7,12.4,,,57.1,
JULIE PIERCE,"Director of Openness, Data and Digital ",2017-06-26,2017-06-28,London,Internal Meetings,,135.5,,112.63,,248.13,
NINA PURCELL,Director of Regulatory Delivery ,2017-04-11,2017-04-12,London,Stakeholder Engagement,,,,131.77,,131.77,
NINA PURCELL,Director of Regulatory Delivery ,2017-04-19,2017-04-20,London,Stakeholder Engagement,,97.4,,175.44,,272.84,
