Title:,Trends in pressures on biodiversity- river water quality,
Year:,1990 - 2009,
Geography:,England,
Units:,,
Source:,Environment Agency,
URL:,http://www.defra.gov.uk/statistics/environment/biodiversity/,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,
Nat. Statistic:,No,
Custodian," Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",
Contact:,transparency@defra.gsi.gov.uk,
Release Date:,Jun-12,
Notes:,"Data has been subject to minor corrections.  There will be small differences between data in these results and previous annual reports, although trends are unaffected.",
,,
,,
,,
,,
Year,Percentage of river length with average phosphate concentrations greater than 0.1mgP/l,Percentage of river length with average nitrate concentrations greater than 30mgNO3/l
1990,69.4,35.7
BREAK IN DATA SERIES,,
1995,59.6,36.4
BREAK IN DATA SERIES,,
2000,62.1,38.7
2001,61.6,36.2
2002,61.3,35.2
2003,60.4,33.8
2004,59.7,35.2
2005,58.5,34.7
2006,56.4,34.2
2007,54.1,32.4
2008,51.7,32.1
2009,50.2,28.6
,,
,,
