CPS outcomes by principal offence category sum,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,71,87.7%,10,12.3%
B Offences Against The Person,"9,479",75.2%,"3,132",24.8%
C Sexual Offences,693,73.1%,255,26.9%
D Burglary,"2,064",84.4%,381,15.6%
E Robbery,864,81.5%,196,18.5%
F Theft And Handling,"11,561",92.1%,998,7.9%
G Fraud And Forgery,943,86.0%,153,14.0%
H Criminal Damage,"3,060",86.1%,493,13.9%
I Drugs Offences,"5,223",94.3%,318,5.7%
J Public Order Offences,"5,191",83.9%,998,16.1%
K All Other Offences (excluding Motoring),"3,764",83.0%,771,17.0%
L Motoring Offences,"20,382",91.1%,"1,980",8.9%
Admin Finalisations,0,0.0%,728,100.0%
TOTAL,"63,295",85.9%,"10,413",14.1%
