CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,3607,83.4%,719,16.6%
P01-Avon&Somerset,67,82.7%,14,17.3%
P02-Bedfordshire,23,88.5%,3,11.5%
P03-Cambridgeshire,17,58.6%,12,41.4%
P04-Cheshire,56,88.9%,7,11.1%
P06-Cleveland,15,60.0%,10,40.0%
P07-Cumbria,61,82.4%,13,17.6%
P08-Derbyshire,66,86.8%,10,13.2%
P09-Devon&Cornwall,79,83.2%,16,16.8%
P10-Dorset,55,87.3%,8,12.7%
P11-Durham,35,83.3%,7,16.7%
P12-DyfedPowys,13,72.2%,5,27.8%
P13-Essex,59,89.4%,7,10.6%
P14-Gloucestershire,9,75.0%,3,25.0%
P15-GreaterManchester,169,90.9%,17,9.1%
P16-Gwent,46,93.9%,3,6.1%
P17-Hampshire,94,83.9%,18,16.1%
P18-Hertfordshire,36,80.0%,9,20.0%
P19-Humberside,20,83.3%,4,16.7%
P20-Kent,83,87.4%,12,12.6%
P21-Lancashire,110,86.6%,17,13.4%
P22-Leicestershire,26,86.7%,4,13.3%
P23-Lincolnshire,38,90.5%,4,9.5%
P24-Merseyside,137,81.5%,31,18.5%
P25-Metropolitan&City,670,81.8%,149,18.2%
P26-Norfolk,40,83.3%,8,16.7%
P27-Northamptonshire,64,90.1%,7,9.9%
P28-Northumbria,374,87.6%,53,12.4%
P29-NorthWales,39,86.7%,6,13.3%
P30-NorthYorkshire,32,88.9%,4,11.1%
P31-Nottinghamshire,91,88.3%,12,11.7%
P32-SouthWales,66,84.6%,12,15.4%
P33-SouthYorkshire,138,82.6%,29,17.4%
P34-Staffordshire,44,86.3%,7,13.7%
P35-Suffolk,27,81.8%,6,18.2%
P36-Surrey,17,89.5%,2,10.5%
P37-Sussex,57,76.0%,18,24.0%
P38-ThamesValley,152,80.9%,36,19.1%
P39-Warwickshire,27,93.1%,2,6.9%
P40-WestMercia,62,86.1%,10,13.9%
P41-WestMidlands,159,82.4%,34,17.6%
P42-WestYorkshire,198,71.0%,81,29.0%
P43-Wiltshire,36,80.0%,9,20.0%
