CPS outcomes by principal offence category estershire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,100.0%,0,0.0%
B Offences Against The Person,149,82.3%,32,17.7%
C Sexual Offences,23,82.1%,5,17.9%
D Burglary,26,81.3%,6,18.8%
E Robbery,19,86.4%,3,13.6%
F Theft And Handling,180,97.3%,5,2.7%
G Fraud And Forgery,22,91.7%,2,8.3%
H Criminal Damage,42,93.3%,3,6.7%
I Drugs Offences,46,95.8%,2,4.2%
J Public Order Offences,82,85.4%,14,14.6%
K All Other Offences (excluding Motoring),39,88.6%,5,11.4%
L Motoring Offences,368,95.6%,17,4.4%
Admin Finalisations,0,0.0%,13,100.0%
TOTAL,998,90.3%,107,9.7%
