Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode,
Department for Transport,Department for Transport,01/02/2013,Agency Staff Costs,Group Internal Audit,REED SPECIALIST RECRUITMENT LTD,2000022129,2341.2,#,SW20 0BA,
Department for Transport,Department for Transport,01/02/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000022131,2889.06,#,SL1 3SA,
Department for Transport,Department for Transport,01/02/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000022131,11556,#,SL1 3SA,
Department for Transport,Department for Transport,01/02/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000022131,3210,#,SL1 3SA,
Department for Transport,Department for Transport,01/02/2013,Agency Staff Costs,Rail Accident Investigation Branch,SPRING TECHNOLOGY LTD  ALSO T/A,2000022134,762.48,#,B37 7YE,
Department for Transport,Department for Transport,01/02/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000022131,4732.8,#,SL1 3SA,
Department for Transport,Department for Transport,01/02/2013,Air Travel,Air Accident Investigation Branch,,2000022107,418.55,*Trip from 23.01.13 To  24.01.13 to   Hannover,,
Department for Transport,Department for Transport,01/02/2013,Audit Fees (cash),Refran Prog Off,PRICEWATERHOUSECOOPERS LLP,2000022128,519429,#,E14 9SQ,
Department for Transport,Department for Transport,01/02/2013,Car Hire and Leasing,Permanent Secretary,GOVERNMENT CAR & DESPATCH AGENCY,2000022142,773.98,#,SW8 5AX,
Department for Transport,Department for Transport,01/02/2013,Car Hire and Leasing,Permanent Secretary,GOVERNMENT CAR & DESPATCH AGENCY,2000022142,2468.1,#,SW8 5AX,
Department for Transport,Department for Transport,01/02/2013,Cars Fuel,Air Accident Investigation Branch,,2000022107,10.04,*Trip from 23.01.13 To  24.01.13 to   Hannover,,
Department for Transport,Department for Transport,01/02/2013,Courier Charges,Business Transformation,DX SECURE LIMITED,2000022115,665.11,#,NN3 6YG,
Department for Transport,Department for Transport,01/02/2013,Data Supply - TD,Transport Direct and Travel information,LANDMARK INFORMATION GROUP LTD,2000022122,15490.8,#,EX2 7HY,
Department for Transport,Department for Transport,01/02/2013,Data Supply - TD,Transport Direct and Travel information,OAG WORLDWIDE LTD,2000022125,2200.74,#,TN9 1YT,
Department for Transport,Department for Transport,01/02/2013,Hotel&Accom Costs,Aviation Security ,,2000022089,433.32,*Trip from 22.01.13 To  24.01.13 to   Brussels,,
Department for Transport,Department for Transport,01/02/2013,Hotel&Accom Costs,Marine Accident Investigation Branch,,2000022105,717.2,*Trip from 20.01.13 To  25.01.13 to   Almere,,
Department for Transport,Department for Transport,01/02/2013,IT Consultancy,Rail Commercial Contracts,ATOS IT SERVICES UK LTD,2000022116,14071.36,#,WV10 6UH,
Department for Transport,Department for Transport,01/02/2013,IT Ser Running Costs,Roads,ARKITEC SOFTWARE LIMITED,2000022136,720,#,NE28 9NZ,
Department for Transport,Department for Transport,01/02/2013,Legal Consultancy,General Counsel's Office,,2000022140,7189.98,#,,
Department for Transport,Department for Transport,01/02/2013,Legal Consultancy,DASH,WINCKWORTH SHERWOOD,2000022130,114518.4,#,SE1 9BB,
Department for Transport,Department for Transport,01/02/2013,Management Consultan,Rail and Road Projects,PRICEWATERHOUSECOOPERS LLP,2000022128,12675.85,#,E14 9SQ,
Department for Transport,Department for Transport,01/02/2013,Occup Health Scheme,Group HR,HEALTH MANAGEMENT LTD,2000022120,1863,#,BN8 5NN,
Department for Transport,Department for Transport,01/02/2013,Other Travel Costs,Air Accident Investigation Branch,,2000022107,63.8,*Trip from 23.01.13 To  24.01.13 to   Hannover,,
Department for Transport,Department for Transport,01/02/2013,Research,Marine Accident Investigation Branch,TTI TESTING LTD,2000022135,2224,#,DD11 2EY,
Department for Transport,Department for Transport,01/02/2013,Research,Rail,PARSONS BRINCKERHOFF LTD,2000022127,8749.3,#,NE4 7YQ,
Department for Transport,Department for Transport,01/02/2013,Services prov by OGD,Roads,DRIVING STANDARDS AGENCY,2000022141,623496,#,NG1 6LP,
Department for Transport,Department for Transport,01/02/2013,Subsistence Costs,Air Accident Investigation Branch,,2000022107,70.16,*Trip from 23.01.13 To  24.01.13 to   Hannover,,
Department for Transport,Department for Transport,01/02/2013,Subsistence Costs,Aviation Security ,,2000022089,44.17,*Trip from 22.01.13 To  24.01.13 to   Brussels,,
Department for Transport,Department for Transport,01/02/2013,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000022132,3666.51,#,DL3 6XR,
Department for Transport,Department for Transport,01/02/2013,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000022133,136725.69,#,DL3 6EH,
Department for Transport,Department for Transport,01/02/2013,Taxis,Aviation Security ,,2000022089,30.98,*Trip from 22.01.13 To  24.01.13 to   Brussels,,
Department for Transport,Department for Transport,01/02/2013,Taxis,Marine Accident Investigation Branch,,2000022105,34,*Trip from 20.01.13 To  25.01.13 to   Almere,,
Department for Transport,Department for Transport,01/02/2013,Transport  Consult,DASH,ENVIRONMENTAL SCIENTIFICS GROUP LTD,2000022113,4687.2,#,DE15 0YZ,
Department for Transport,Department for Transport,01/02/2013,Transport  Consult,Rail and Road Projects,MOTT MACDONALD,2000022124,48098.23,#,CR9 2UL,
Department for Transport,Department for Transport,01/02/2013,Transport  Consult,Rail and Road Projects,MOTT MACDONALD,2000022124,61088.94,#,CR9 2UL,
Department for Transport,Department for Transport,01/02/2013,Transport  Consult,Rail Commercial Contracts,PARSONS BRINCKERHOFF LTD,2000022127,3983.02,#,NE4 7YQ,
Department for Transport,Department for Transport,01/02/2013,Transport  Consult,Local,LECS (UK) LTD,2000022123,720,#,BN22 7AU,
Department for Transport,Department for Transport,01/02/2013,Transport  Consult,DASH,PRICEWATERHOUSECOOPERS LLP,2000022128,103855.2,#,E14 9SQ,
Department for Transport,Department for Transport,01/02/2013,Transport  Consult,Refran Prog Off,OVE ARUP & PARTNERS,2000022126,12540,#,NE1 3PL,
Department for Transport,Department for Transport,01/02/2013,Travel Exp Overseas,DASH,ENVIRONMENTAL SCIENTIFICS GROUP LTD,2000022113,1000.73,#,DE15 0YZ,
Department for Transport,Department for Transport,04/02/2013,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000022249,7526.52,#,DL1 9HN,
Department for Transport,Department for Transport,04/02/2013,Agency Staff Costs,Refran Prog Off,EXPERIS LTD,2000022236,11053.44,#,EC1R 3DR,
Department for Transport,Department for Transport,04/02/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000022248,660,#,SL1 3SA,
Department for Transport,Department for Transport,04/02/2013,Cap Grt Pri Sec-Cos.,Rail,NETWORK RAIL INFRASTUCTURE LTD,2000022250,284308307.7,Network Rail 12th Grantpayment  February 2013,N1 9AG,
Department for Transport,Department for Transport,04/02/2013,Computer equipment,Aviation,DANWOOD GROUP LTD,2000022235,1384.76,Danwood Printer Payment,LN6 3DG,
Department for Transport,Department for Transport,04/02/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF CAISSE GENERALE,2000022223,4680374.5,#,75008,
Department for Transport,Department for Transport,04/02/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,SNCF TRESORERIE ENC RHT VFE,2000022222,5337113.4,#,75014,
Department for Transport,Department for Transport,04/02/2013,Hotel&Accom Costs,Aviation Security ,,2000022170,790.23,*Trip from 07.01.13 To  11.01.13 to   Montreal,,
Department for Transport,Department for Transport,04/02/2013,Hotel&Accom Costs,Aviation Security ,,2000022183,437.35,*Trip from 15.01.13 To  19.01.13 to   Washington,,
Department for Transport,Department for Transport,04/02/2013,HR Consultancy,Group HR,CABINET OFFICE,2000022251,42847,#,CF14 3UW,
Department for Transport,Department for Transport,04/02/2013,IT Consultancy,Rail,AMOR BUSINESS TECHNOLOGY,2000022257,7380,#,PA4 9LH,
Department for Transport,Department for Transport,04/02/2013,IT Ser Running Costs,Business Transformation,SOFTWARE BOX LTD,2000022243,35100,#,YO61 1ET,
Department for Transport,Department for Transport,04/02/2013,Mobile Phone charges,Group Finance,VODAFONE LTD,2000022246,24180,Vodafone - RC - January 2013,RG14 5FF,
Department for Transport,Department for Transport,04/02/2013,Other Travel Costs,Aviation Security ,,2000022170,2.49,*Trip from 07.01.13 To  11.01.13 to   Montreal,,
Department for Transport,Department for Transport,04/02/2013,Other Travel Costs,Aviation Security ,,2000022183,12.6,*Trip from 15.01.13 To  19.01.13 to   Washington,,
Department for Transport,Department for Transport,04/02/2013,Rail Travel,Aviation Security ,,2000022170,39,*Trip from 07.01.13 To  11.01.13 to   Montreal,,
Department for Transport,Department for Transport,04/02/2013,Rail Travel,Aviation Security ,,2000022183,17.3,*Trip from 15.01.13 To  19.01.13 to   Washington,,
Department for Transport,Department for Transport,04/02/2013,Rates,Air Accident Investigation Branch,VODAFONE LTD,2000022247,1308.32,#,RG14 5FF,
Department for Transport,Department for Transport,04/02/2013,Research,Greener Transport & International,TRANSPORT RESEARCH LABORATORY,2000022244,227255.36,#,RG40 3GA,
Department for Transport,Department for Transport,04/02/2013,Research,Local,RICABILITY,2000022241,26000,#,EC1V 2PT,
Department for Transport,Department for Transport,04/02/2013,Subsistence Costs,Air Accident Investigation Branch,,2000022194,977.61,*Trip from 08.10.12 To  19.10.12 to   Antigua,,
Department for Transport,Department for Transport,04/02/2013,Subsistence Costs,Aviation Security ,,2000022170,30,*Trip from 07.01.13 To  11.01.13 to   Montreal,,
Department for Transport,Department for Transport,04/02/2013,Subsistence Costs,Aviation Security ,,2000022183,199.82,*Trip from 15.01.13 To  19.01.13 to   Washington,,
Department for Transport,Department for Transport,04/02/2013,Support Services,Air Accident Investigation Branch,RECOVAIR,2000022240,2559.38,#,GU24 8HU,
Department for Transport,Department for Transport,04/02/2013,Car Hire & Leasing,Marine Accident Investigation Branch,ENTERPRISE RENT-A-CAR,2000022254,673.88,#,TW20 8RX,
Department for Transport,Department for Transport,04/02/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000022234,2500,#,RH10 0YR,
Department for Transport,Department for Transport,04/02/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000022234,16250,#,RH10 0YR,
Department for Transport,Department for Transport,04/02/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000022234,62500,#,RH10 0YR,
