Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Vat Reg No,Amount £'s
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Local Incentive Scheme,HealthEast,Healtheast CIC,60009307,,"84,934.71"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Non Healthcare - PCT,Performance Team,NHS Cambridgeshire,60005786,654438717,"26,318.00"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,GP Other Payments,Primary Care,Malling Health (UK) LTD,60006892,974968053,"74,955.93"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Healthcare,Continuing Care,Pulse Healthcare LTD,60008448,676285493,"27,194.96"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Healthcare,Acute Providers,James Paget University Hospital NHS Foundation Trust,60008468,654926212,"63,606.00"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Healthcare,Acute Providers,James Paget University Hospital NHS Foundation Trust,60008469,654926212,"65,134.45"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Drugs,Non Tariff & Exceptional Drugs,James Paget University Hospital NHS Foundation Trust,60008476,654926212,"124,558.98"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Antiretroviral Therapy,Sexual Health & HIV,James Paget University Hospital NHS Foundation Trust,60008616,654926212,"179,973.00"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Professional Fees,Capital,Finnamore Limited,60008681,600903778,"29,129.43"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Drugs,Non Tariff & Exceptional Drugs,Norfolk & Norwich University Hosp NHS FT,60008795,654931321,"165,163.42"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Healthcare,Continuing Care,Allied Healthcare Group Ltd,60008907,813058355,"54,172.72"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Healthcare,Continuing Care,Suffolk County Council,60008913,104178791,"71,639.38"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Healthcare,Continuing Care,Allied Healthcare Group Ltd,60008934,813058355,"85,005.88"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Healthcare,Continuing Care,The Heathers Nursing Home,60008986,,"44,000.00"
Department of Health,Great Yarmouth & Waveney PCT,01/12/2011,Healthcare,Extra Contractual Referral,London Hyperbaric & Wound Healing Centre,60009200,,"25,631.00"
Department of Health,Great Yarmouth & Waveney PCT,07/12/2011,Drugs,Non Tariff & Exceptional Drugs,James Paget University Hospital NHS Foundation Trust,60007845,654926212,"29,236.89"
Department of Health,Great Yarmouth & Waveney PCT,07/12/2011,Healthcare,"Prison Health, Escorts & Bedwatches",Ministry Of Justice,60009116,888818055,"28,968.56"
Department of Health,Great Yarmouth & Waveney PCT,07/12/2011,Healthcare,Continuing Care,The Coach House,60009188,0,"29,261.58"
Department of Health,Great Yarmouth & Waveney PCT,07/12/2011,Drugs,Non Tariff & Exceptional Drugs,Norfolk & Norwich University Hosp NHS FT,60009271,654931321,"37,003.97"
Department of Health,Great Yarmouth & Waveney PCT,07/12/2011,Healthcare,Continuing Care,Norfolk County Council,60009284,106995152,"33,417.48"
Department of Health,Great Yarmouth & Waveney PCT,07/12/2011,Healthcare,Continuing Care,Norfolk County Council,60009285,106995152,"29,814.86"
Department of Health,Great Yarmouth & Waveney PCT,07/12/2011,Healthcare,Continuing Care,Kirkley Manor,60009466,573054,"40,570.64"
Department of Health,Great Yarmouth & Waveney PCT,13/12/2011,Healthcare,Community,East Coast Community Healthcare,60008402,119106439,"-2,600,000.00"
Department of Health,Great Yarmouth & Waveney PCT,13/12/2011,Healthcare,Community,Norfolk Community Health Care NHS Trust,60008089,654436527,"-60,483.00"
Department of Health,Great Yarmouth & Waveney PCT,13/12/2011,Healthcare,Other NHS Providers,East of England Ambulance Service Trust,60008270,654919501,"42,215.00"
Department of Health,Great Yarmouth & Waveney PCT,13/12/2011,Healthcare,Acute Providers,James Paget University Hospital NHS Foundation Trust,60008467,654926212,"48,359.00"
Department of Health,Great Yarmouth & Waveney PCT,13/12/2011,Healthcare,Other NHS Providers,East of England Ambulance Service Trust,60008518,654919501,"42,215.00"
