Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Number
Department of Health,East of England SHA,17/05/2010,External Consultancy Fees,Associate Support,HR SPECIALIST SERVICES LTD,6177491,25066.28,809782982
Department of Health,East of England SHA,07/05/2010,External Consultancy Fees,QIPP Prog,MCKINSEY & COMPANY,6302240,89180,239157155
Department of Health,East of England SHA,21/05/2010,External Consultancy Fees,QIPP Prog,MCKINSEY & COMPANY,6379120,95000,239157155
Department of Health,East of England SHA,04/05/2010,External Consultancy Fees,Recovery in Mental Health,CAMBRIDGESHIRE & PETERBOROUGH NHS FOUNDATION TRUST,6161715,35000,654426433
Department of Health,East of England SHA,18/05/2010,External Consultancy Fees,Research Strategy,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6363187,75000,654926212
Department of Health,East of England SHA,24/05/2010,External Consultancy Fees,World Class Commissioning,MCKINSEY & COMPANY,6363186,38000,239157155
Department of Health,East of England SHA,11/05/2010,External Contractors,Supply Side Capability Development,PRICEWATERHOUSE COOPERS,6285721,-26274,243823957
Department of Health,East of England SHA,14/05/2010,Lease Rents,Workforce Running Costs,C & C MANAGEMENT,6344777,31609.55,NULL
Department of Health,East of England SHA,19/05/2010,Lease Rents,Victoria House,C & C MANAGEMENT,6371128,27658.35,NULL
Department of Health,East of England SHA,20/05/2010,Legal Claims,(SOFP) Balance Sheet,REDACTED,6371379,30000,NULL
Department of Health,East of England SHA,20/05/2010,Legal Claims,(SOFP) Balance Sheet,BOYES TURNER,6371380,66000,NULL
Department of Health,East of England SHA,14/05/2010,Miscellaneous Expenditure,Ad Hoc Programmes,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6320636,1544.42,654910528
Department of Health,East of England SHA,14/05/2010,Miscellaneous Expenditure,Adolescent & Child Programme,ROYAL FREE HAMPSTEAD NHS TRUST,6302260,1146595,654946987
Department of Health,East of England SHA,27/05/2010,Miscellaneous Expenditure,Cross Cutting Public Health Programme,CAMBRIDGESHIRE & PETERBOROUGH NHS FOUNDATION TRUST,6394676,160000,654426433
Department of Health,East of England SHA,20/05/2010,Miscellaneous Expenditure,Eastern Development Centre,NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,6362966,800000,654407732
Department of Health,East of England SHA,27/05/2010,Miscellaneous Expenditure,Health Innovation and Education Clusters (HIECs),NORFOLK & WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,6278265,300000,654931517
Department of Health,East of England SHA,12/05/2010,Miscellaneous Expenditure,NHS Direct: Core Contract,NHS DIRECT,6328199,10132666.67,654434239
Department of Health,East of England SHA,20/05/2010,Miscellaneous Expenditure,NHS Direct: Core Contract,NHS DIRECT,6362981,9904666.67,654434239
Department of Health,East of England SHA,20/05/2010,Miscellaneous Expenditure,NHS Direct: The Appointments Line,NHS DIRECT,6352702,636922,654434239
Department of Health,East of England SHA,04/05/2010,Miscellaneous Expenditure,QIPP Prog,MID ESSEX PCT,6212908,40000,654431150
Department of Health,East of England SHA,04/05/2010,Miscellaneous Expenditure,Quality Improvements (Observatory),CAMBRIDGESHIRE PCT,6203708,130000,654438717
Department of Health,East of England SHA,04/05/2010,Miscellaneous Expenditure,Quality Improvements (Observatory),CAMBRIDGESHIRE PCT,6203840,-275000,654438717
Department of Health,East of England SHA,04/05/2010,Miscellaneous Expenditure,Quality Improvements (Observatory),CAMBRIDGESHIRE PCT,6203841,275000,654438717
Department of Health,East of England SHA,20/05/2010,Miscellaneous Expenditure,Strategic Fund,NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,6362967,515000,654407732
Department of Health,East of England SHA,14/05/2010,Miscellaneous Expenditure,Wheelchair Services Programme,BEDFORDSHIRE PCT,6221052,44000,654435334
Department of Health,East of England SHA,28/05/2010,Prepayments - Current,(SOFP) Balance Sheet,ANGLIA RUSKIN UNIVERSITY,6427624,2159928,637150940
Department of Health,East of England SHA,28/05/2010,Prepayments - Current,(SOFP) Balance Sheet,ANGLIA RUSKIN UNIVERSITY,6427625,2159939,637150940
Department of Health,East of England SHA,12/05/2010,Prepayments - Current,(SOFP) Balance Sheet,NHS DIRECT,6328199,-10132666.67,654434239
Department of Health,East of England SHA,12/05/2010,Rates,Collingwood Road,BRAINTREE DISTRICT COUNCIL,6302239,129707.06,NULL
Department of Health,East of England SHA,04/05/2010,Services Received - NHSTs,Corporate Non-Pay Costs,ANGLIA SUPPORT PARTNERSHIP,6177251,2139,654426433
Department of Health,East of England SHA,04/05/2010,Services Received - NHSTs,Health Innovation Centre,ANGLIA SUPPORT PARTNERSHIP,6177251,1238,654426433
Department of Health,East of England SHA,04/05/2010,Services Received - NHSTs,Health & Social Care in Criminal Justice,ANGLIA SUPPORT PARTNERSHIP,6177251,13,654426433
Department of Health,East of England SHA,04/05/2010,Services Received - NHSTs,Radiography Tuition,ANGLIA SUPPORT PARTNERSHIP,6177251,107,654426433
Department of Health,East of England SHA,04/05/2010,Services Received - NHSTs,Reseacrh Etjics Committee (REC) Office 3,ANGLIA SUPPORT PARTNERSHIP,6177251,107,654426433
Department of Health,East of England SHA,04/05/2010,Services Received - NHSTs,Workforce Running Costs,ANGLIA SUPPORT PARTNERSHIP,6177251,19612.58,654426433
Department of Health,East of England SHA,04/05/2010,Services Received - NHSTs,Victoria House,ANGLIA SUPPORT PARTNERSHIP,6177251,9107,654426433
Department of Health,East of England SHA,04/05/2010,Training Expenses,Clinical Psychology,NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,6177270,8655.75,654407732
Department of Health,East of England SHA,27/05/2010,Training Expenses,Clinical Psychology,NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,6404634,8415.21,654407732
Department of Health,East of England SHA,12/05/2010,Training Expenses,Clinical Psychology,UNIVERSITY OF EAST ANGLIA,6320529,78737,595183505
Department of Health,East of England SHA,04/05/2010,Training Expenses,Clinical Psychology Training Support,NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,6177270,67878.81,654407732
Department of Health,East of England SHA,27/05/2010,Training Expenses,Clinical Psychology Training Support,NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,6404634,69628.58,654407732
Department of Health,East of England SHA,20/05/2010,Training Expenses,Clinical Tutors,BASILDON&THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6362946,1727,654911917
Department of Health,East of England SHA,20/05/2010,Training Expenses,Clinical Tutors,BASILDON&THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6362972,1727,654911917
Department of Health,East of England SHA,04/05/2010,Training Expenses,Clinical Tutors,BEDFORD HOSPITALS NHS TRUST,6221047,1295,654912424
Department of Health,East of England SHA,28/05/2010,Training Expenses,Clinical Tutors,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6431953,3453,654910528
Department of Health,East of England SHA,04/05/2010,Training Expenses,Clinical Tutors,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,6279908,863,654921325
Department of Health,East of England SHA,20/05/2010,Training Expenses,Clinical Tutors,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6362968,1727,654926212
Department of Health,East of England SHA,20/05/2010,Training Expenses,Clinical Tutors,NORFOLK & NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6379116,3453,654931321
Department of Health,East of England SHA,20/05/2010,Training Expenses,Clinical Tutors,PETERBOROUGH&STAMFORD HOSPITALS NHS FOUNDATION TRUST,6362974,1727,654936110
Department of Health,East of England SHA,04/05/2010,Training Expenses,Clinical Tutors,PRINCESS ALEXANDRA HOSPITAL NHS TRUST (THE),6177227,863,654964985
Department of Health,East of England SHA,20/05/2010,Training Expenses,Clinical Tutors,PRINCESS ALEXANDRA HOSPITAL NHS TRUST (THE),6362934,863,654964985
Department of Health,East of England SHA,20/05/2010,Training Expenses,Clinical Tutors,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6362938,863,654942902
Department of Health,East of England SHA,04/05/2010,Training Expenses,Clinical Tutors,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,6221046,2590,654974002
Department of Health,East of England SHA,27/05/2010,Training Expenses,Clinical Tutors,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,6362936,2590,654974002
Department of Health,East of England SHA,04/05/2010,Training Expenses,Community Specialist Practitioners,CAMBRIDGESHIRE COMMUNITY SERVICES,6177324,33380,654438717
Department of Health,East of England SHA,04/05/2010,Training Expenses,Community Specialist Practitioners,PETERBOROUGH PCT PROVIDER SERVICES,6184554,-33722.11,NULL
Department of Health,East of England SHA,14/05/2010,Training Expenses,Continuing Professional Development,EAST&NORTH HERTFORDSHIRE NHS TRUST,6320517,48807.42,654973984
Department of Health,East of England SHA,12/05/2010,Training Expenses,Centre for Interprofessional Learning,UNIVERSITY OF EAST ANGLIA,6320529,25392,595183505
Department of Health,East of England SHA,14/05/2010,Training Expenses,Child Psychotherapy,LONDON SHA,6320535,70948,654430545
Department of Health,East of England SHA,10/05/2010,Training Expenses,Coaching,PERFORMANCE COACH LTD,6316392,27612.5,826890200
Department of Health,East of England SHA,19/05/2010,Training Expenses,Coaching,SCHOOL OF COACHING (THE),6194252,43028.1,754286803
Department of Health,East of England SHA,04/05/2010,Training Expenses,Comprehensive Elderly Assessment - Mid-Essex Hospital Trust,MID ESSEX HOSPITALS SERVICES NHS TRUST,6203682,6685,654930128
Department of Health,East of England SHA,20/05/2010,Training Expenses,Dental Continuing Professional Development,BASILDON&THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6362946,1817,654911917
Department of Health,East of England SHA,20/05/2010,Training Expenses,Dental Continuing Professional Development,BASILDON&THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6362972,1817,654911917
Department of Health,East of England SHA,04/05/2010,Training Expenses,Dental Continuing Professional Development,BEDFORD HOSPITALS NHS TRUST,6221047,1236,654912424
Department of Health,East of England SHA,28/05/2010,Training Expenses,Dental Continuing Professional Development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6431953,6641,654910528
Department of Health,East of England SHA,04/05/2010,Training Expenses,Dental Continuing Professional Development,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,6279908,1415,654921325
Department of Health,East of England SHA,20/05/2010,Training Expenses,Dental Continuing Professional Development,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6362968,456,654926212
Department of Health,East of England SHA,20/05/2010,Training Expenses,Dental Continuing Professional Development,NORFOLK & NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6379116,4939,654931321
