Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount in Sterling
BIS,Competition Commission,31-Jan-13,Staff Welfare,Corporate Services & Secretariat,NEXUS HEALTHCARE,1044172,810
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044152,898.78
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044153,880.31
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044154,557.12
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044155,798.78
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044156,861.84
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044157,439.55
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044158,550.39
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044159,321.98
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044160,1009.58
BIS,Competition Commission,07-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044161,799.94
BIS,Competition Commission,06-Feb-13,Agency Staff,Professional Groups,LAW ABSOLUTE LIMITED,1044179,1346.93
BIS,Competition Commission,06-Feb-13,Agency Staff,Professional Groups,LAW ABSOLUTE LIMITED,1044180,1515.3
BIS,Competition Commission,06-Feb-13,Agency Staff,Professional Groups,LAW ABSOLUTE LIMITED,1044181,1316.32
BIS,Competition Commission,08-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044333,898.78
BIS,Competition Commission,13-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044398,726.41
BIS,Competition Commission,13-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044399,862.66
BIS,Competition Commission,13-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044400,729.48
BIS,Competition Commission,13-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044401,542.27
BIS,Competition Commission,13-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044402,550.39
BIS,Competition Commission,13-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044403,615.8
BIS,Competition Commission,13-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044404,1007.12
BIS,Competition Commission,14-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044506,929.56
BIS,Competition Commission,13-Feb-13,Agency Staff,Professional Groups,LAW ABSOLUTE LIMITED,1044560,1316.32
BIS,Competition Commission,13-Feb-13,Agency Staff,Professional Groups,LAW ABSOLUTE LIMITED,1044561,935.88
BIS,Competition Commission,21-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044604,775.79
BIS,Competition Commission,21-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044605,880.31
BIS,Competition Commission,21-Feb-13,Agency Staff,Corporate Services & Secretariat,HAYS ACCOUNTANCY & FINANCE,1044606,800.28
