Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/10/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1490010134,"-£79,163.85",QTR 1 17/18,
Department of Health,03F,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KUMAR-CHOUDHARY,KHU000026330,"£33,965.29",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000026332,"£153,425.25",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000026334,"£91,827.39",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000026336,"£42,488.36",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000026338,"£50,720.68",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000026340,"£96,402.93",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000026341,"-£30,795.27",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000026342,"£206,950.57",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,QUAYS MEDICAL CENTRE,KHU000026345,"£54,606.37",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,RIVERSIDE MEDICAL CENTRE KINGSTON HULL,KHU000026347,"£43,897.05",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,STORY STREET PRACTICE & WALK IN CENTRE,KHU000026348,"£104,645.89",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000026350,"£85,060.18",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000026493,"£54,976.40",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DIADEM MEDICAL PRACTICE,KHU000026495,"£135,993.22",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000026497,"£102,543.16",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000026499,"£79,108.42",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR CHOWDHURY G M & PARTNER,KHU000026500,"£29,201.53",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000026502,"£34,166.05",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000026506,"£25,286.06",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000026508,"£88,318.00",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000026511,"£64,557.70",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MALCZEWSKI G S,KHU000026513,"£26,244.92",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MUSIL J & PARTNER,KHU000026518,"£54,645.88",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RAWCLIFFE V A & PARTNERS,KHU000026521,"£95,308.27",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,KHU000026525,"£87,686.15",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FAITH HOUSE SURGERY,KHU000026528,"£66,248.01",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SPRINGS MEDICAL CENTRE CONSORTIUM,KHU000026535,"£127,224.80",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2662,"£37,692.00",CHC SEPTEMSEB 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Othe Public Sector,COMMISSIONING SCHEMES,HUMBERSIDE FIRE & RESCUE SERVICE,I011296,"£190,200.00",HULL FIRST FUNDING APRIL TO SEPT 2017,
Department of Health,03F,31/10/2017,Charges from CSU,NCAS/OATS,NHS NORTH OF ENGLAND CSU,7310009787,"£41,453.67",Y&H LOT 2 A OCT 2017,
Department of Health,03F,31/10/2017,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010012395,"£2,800,476.89",OCT MENTAL HEALTH BLOCK,
Department of Health,03F,31/10/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,DEMENTIA,HUMBER NHS FOUNDATION TRUST,1010012537,"£51,333.32",SHORT TERM HOUSING SUPPORT,
Department of Health,03F,31/10/2017,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010053006,"£44,714.00",NCA AUGUST FLEX 2017,
Department of Health,03F,31/10/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410078397,"£75,862.36",OCT BLOCK 2017,
Department of Health,03F,31/10/2017,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810020354,"£844,473.00",OCT BLOCK 2017,
Department of Health,03F,31/10/2017,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810020408,"£66,117.02",NHS 111 CONTRACT OCT 2017,
Department of Health,03F,31/10/2017,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0010705,"£12,944,927.00",OCTOBER BLOCK CONTRACT ,
