Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113187,261.00
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113187,5.00
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113187,7.45
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113187,2.88
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113187,10.00
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113209,105.70
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113209,165.60
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113209,25.00
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113209,163.00
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113209,17.00
Communities & Local Government,VTS,20/04/2016,Board Members Expenses NDPB,Board Cost,Board Members Expenses,2100113209,24.80
Communities & Local Government,VTS,25/04/2016,Legal Fees,Chief Executive's Resource,LAMBERT SMITH HAMPTON,2100113294,360.00
Communities & Local Government,VTS,14/04/2016,Legal Fees,Chief Executive's Resource,BEACHCROFT LLP,2100113161,504.00
Communities & Local Government,VTS,14/04/2016,Legal Fees,Chief Executive's Resource,BEACHCROFT LLP,2100113162,463.68
Communities & Local Government,VTS,14/04/2016,Legal Fees,Chief Executive's Resource,BEACHCROFT LLP,2100113165,"2,160.00"
Communities & Local Government,VTS,27/04/2016,Legal Fees,Chief Executive's Resource,BEACHCROFT LLP,2100113393,"1,000.00"
Communities & Local Government,VTS,20/04/2016,Office Supplies,Chief Executive's Resource,BANNER BUSINESS SUPPLIES LTD,2100113210,220.32
Communities & Local Government,VTS,20/04/2016,Removals and Porterage,Chief Executive's Resource,OTS BACS VENDOR,2100113213,646.74
Communities & Local Government,VTS,12/04/2016,Support services,Chief Executive's Resource,CROWN COMMERCIAL SERV (GOV PROC SER,2100113071,527.29
Communities & Local Government,VTS,12/04/2016,Support services,Chief Executive's Resource,DR DAVID HORNE,2100113079,284.71
Communities & Local Government,VTS,20/04/2016,Support services,Chief Executive's Resource,*CGI IT UK LIMITED,2100113186,32.84
Communities & Local Government,VTS,20/04/2016,Support services,Chief Executive's Resource,*CGI IT UK LIMITED,2100113186,404.78
Communities & Local Government,VTS,27/04/2016,Support services,Chief Executive's Resource,DCLG (ONLY FOR ERDF PAYOVER),2100113402,"4,375.00"
Communities & Local Government,VTS,27/04/2016,Support services,Chief Executive's Resource,HYMANS ROBERTSON,2100113403,"3,600.00"
Communities & Local Government,VTS,25/04/2016, Financial Loss Allowance ,Operational,NON STAFF EXPENSES,2100113232,279.80
Communities & Local Government,VTS,25/04/2016, Financial Loss Allowance ,Operational,NON STAFF EXPENSES,2100113249,116.58
Communities & Local Government,VTS,25/04/2016, Financial Loss Allowance ,Operational,NON STAFF EXPENSES,2100113249,116.58
Communities & Local Government,VTS,25/04/2016, Temporary Accommodation,Operational,BRUNTWOOD ESTATES BETA PORTFOLIO LT,2100113286,"1,008.00"
Communities & Local Government,VTS,25/04/2016, Temporary Accommodation,Operational,BRUNTWOOD ESTATES BETA PORTFOLIO LT,2100113287,806.40
Communities & Local Government,VTS,25/04/2016, Temporary Accommodation,Operational,BRUNTWOOD ESTATES BETA PORTFOLIO LT,2100113288,806.40
Communities & Local Government,VTS,25/04/2016, Temporary Accommodation,Operational,FUSION HATFIELD HOTELS MNGEMENT LTD,2100113279,315.00
Communities & Local Government,VTS,25/04/2016, Temporary Accommodation,Operational,HOLIDAY INN AYLESBURY,2100113285,300.00
Communities & Local Government,VTS,25/04/2016, Temporary Accommodation,Operational,LINCOLN HOTEL,2100113292,645.00
Communities & Local Government,VTS,25/04/2016, Temporary Accommodation,Operational,LIVERPOOL PROPERTIES MANAGEMENT LTD,2100113261,267.85
Communities & Local Government,VTS,25/04/2016, Temporary Accommodation,Operational,LIVERPOOL PROPERTIES MANAGEMENT LTD,2100113262,267.85
Communities & Local Government,VTS,25/04/2016, Temporary Accommodation,Operational,LIVERPOOL PROPERTIES MANAGEMENT LTD,2100113263,267.85
Communities & Local Government,VTS,27/04/2016, Temporary Accommodation,Operational,CAMBRIDGESHIRE COUNTY COUNCIL,2100113399,286.88
Communities & Local Government,VTS,25/04/2016,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100113232,20.00
Communities & Local Government,VTS,25/04/2016,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100113232,35.66
Communities & Local Government,VTS,25/04/2016,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100113232,254.04
Communities & Local Government,VTS,25/04/2016,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100113249,70.76
Communities & Local Government,VTS,25/04/2016,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100113249,5.70
Communities & Local Government,VTS,25/04/2016,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100113249,10.38
Communities & Local Government,VTS,25/04/2016,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100113249,27.84
Communities & Local Government,VTS,25/04/2016,Members Expenses NDPB,Operational,NON STAFF EXPENSES,2100113249,7.45
Communities & Local Government,VTS,25/04/2016,Mileage UK,Operational,STAFF EXPENSES,2100113260,401.40
Communities & Local Government,VTS,25/04/2016,Mileage UK,Operational,STAFF EXPENSES,2100113253,12.60
Communities & Local Government,VTS,25/04/2016,Mileage UK,Operational,STAFF EXPENSES,2100113253,17.10
Communities & Local Government,VTS,25/04/2016,Mileage UK,Operational,STAFF EXPENSES,2100113253,70.65
Communities & Local Government,VTS,25/04/2016,Mileage UK,Operational,STAFF EXPENSES,2100113259,216.00
Communities & Local Government,VTS,25/04/2016,Mileage UK,Operational,STAFF EXPENSES,2100113259,28.80
Communities & Local Government,VTS,12/04/2016,Office Supplies,Operational,X M A LTD,2100113069,"1,913.66"
Communities & Local Government,VTS,20/04/2016,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100113210,29.38
Communities & Local Government,VTS,20/04/2016,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100113210,429.44
Communities & Local Government,VTS,25/04/2016,Subsistence,Operational,STAFF EXPENSES,2100113260,50.94
Communities & Local Government,VTS,25/04/2016,Subsistence,Operational,STAFF EXPENSES,2100113253,3.08
Communities & Local Government,VTS,25/04/2016,Subsistence,Operational,STAFF EXPENSES,2100113253,6.45
Communities & Local Government,VTS,25/04/2016,Subsistence,Operational,STAFF EXPENSES,2100113253,3.65
Communities & Local Government,VTS,25/04/2016,Subsistence,Operational,STAFF EXPENSES,2100113259,20.55
Communities & Local Government,VTS,25/04/2016,Subsistence,Operational,STAFF EXPENSES,2100113259,10.57
Communities & Local Government,VTS,25/04/2016,Travel and Subsistence,Operational,STAFF EXPENSES,2100113260,11.00
Communities & Local Government,VTS,25/04/2016,Travel and Subsistence,Operational,STAFF EXPENSES,2100113260,23.00
Communities & Local Government,VTS,25/04/2016,Travel and Subsistence,Operational,STAFF EXPENSES,2100113260,4.80
Communities & Local Government,VTS,25/04/2016,Travel and Subsistence,Operational,STAFF EXPENSES,2100113253,6.10
Communities & Local Government,VTS,25/04/2016,Travel and Subsistence,Operational,STAFF EXPENSES,2100113253,17.50
Communities & Local Government,VTS,25/04/2016,Travel and Subsistence,Operational,STAFF EXPENSES,2100113253,4.80
Communities & Local Government,VTS,25/04/2016,Travel and Subsistence,Operational,STAFF EXPENSES,2100113259,31.00
Communities & Local Government,VTS,25/04/2016,Travel and Subsistence,Operational,STAFF EXPENSES,2100113259,0.90
Communities & Local Government,VTS,25/04/2016,Travel and Subsistence,Operational,STAFF EXPENSES,2100113259,9.20
