IATI-Number,Project-Number,Project name,Project Description ,Benefiting Country,Country Code,Benefitting Region,Region Code,Input Sector,Input Sector text,Delivery Channel,Delivery channel text,Aid Type,Nature of Submission,Activity Start Date,Commitment Date,Activity End Date,Activity Status,Activity Scope,Climate Change - Adaptation,Climate Change - Mitigation,Climate Change - Biodiversity,Climate Change - Desertification,Gender Equality,Aid to Environment,Good Governance,Trade Development,RMNCH,Document 1 - Type,2015 Q 4,Full Year Actuals
GB-GOV-3-APP-KEN-130004,APP-KEN-130004,Empowering local communities,"This project creates a platform for local communities to share information and experiences on investment in natural resources. Increased control and ownership of natural resources will support the development of entrepreneurial skills, leading to opportunities for economic development. Sharing and capacity building in entrepreneurship leading to sustained economic growth.",Kenya,KE,,,41010,Environmental policy and administrative management,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"24,940.00","24,940.00"
GB-GOV-3-DCF-SED-140001,DCF-SED-140001,Promoting security in west Africa,"A project aiming to strengthen peace and security in west Africa by tackling the threat from the international drugs trade through provision of operational support and funding to build capacity in the governments of Guinea, Guinea Bissau and Senegal.",,,"Africa, regional",298,15150,Democratic participation and civil society,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,2,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"2,924.00","2,924.00"
GB-GOV-3-PAF-ANL-140003,PAF-ANL-140003,Supporting women's rights in Angola,A project aiming to strengthen the rights of women by raising awareness of the relevant international human rights instruments through participation of women's organisations in the United Nations Beijing Platform for Action imitative. ,Angola,AO,,,15170,Womenâ€™s equality organisations and institutions,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,829.00","6,829.00"
GB-GOV-3-PAF-ANL-140004,PAF-ANL-140004,Raising awareness of the Voluntary Principles on Security and Human Rights amongst Angolan NGOs ,"A project to support peace, security and effective governance by enhancing  understanding of the Voluntary Principles on Security and Human Rights across all stakeholders in the Angolan extractive industries, including through participation of non-governmental organisations in the Chatham House seminar on the African Extractive Industries.",Angola,AO,,,15160,Human rights,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"3,547.00","3,547.00"
GB-GOV-3-PAF-ASU-140004,PAF-ASU-140004,Improving security in Africa,"This project improved security in Sahel countries (Burkina Faso, Chad, Mali, Mauritania, Niger) by identifying key areas for development. Helping these countries improve their security environment will encourage economic development and reduce poverty.",,,"Africa, regional",298,15120,Public sector financial management,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,2,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"3,306.00","3,306.00"
GB-GOV-3-PAF-BTG-140005,PAF-BTG-140005,Working to promote abolition of the death penalty in Botswana.,"Working jointly with other EU missions, a project to encourage Botswana to move towards moratorium/abolition of the death penalty by organising a seminar for open debate and discussion.",Botswana,BW,,,15130,Legal and judicial development,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,486,486
GB-GOV-3-PAF-BTG-140006,PAF-BTG-140006,Economic empowerment of marginalised women in Botswana,"This project aims to promote economic empowerment of women from marginalised groups through training, advocacy and capacity building activity.",Botswana,BW,,,15170,Womenâ€™s equality organisations and institutions,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"3,333.00","3,333.00"
GB-GOV-3-PAF-BTG-140007,PAF-BTG-140007,Promoting human rights in Botswana,"This project aims to promote legislative reform for  Lesbian, Gay, Bisexual, Transgendered and Intersex (LGBTI) Rights in Botswana by encouraging dialogue on the non-discrimination of the LGBTI community, in line with Botswana's Human Rights Council Universal Periodic Review.",Botswana,BW,,,15130,Legal and judicial development,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"4,813.00","4,813.00"
GB-GOV-3-PAF-CMY-140001,PAF-CMY-140001,Supporting women's rights in Cameroon.,This project aims to support the development of women's rights and strengthen democracy in Cameroon by empowering women to participate actively in political activity.,Cameroon,CM,,,15170,Womenâ€™s equality organisations and institutions,23000,Developing country-based NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"3,416.00","3,416.00"
GB-GOV-3-PAF-CMY-140004,PAF-CMY-140004,Combating sexual violence against women ,This project aims to support traditional communities to tackle sexual violence against women by enhancing capacity of local leaders to understand and address the issues.,Cameroon,CM,,,15170,Womenâ€™s equality organisations and institutions,23000,Developing country-based NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"9,565.00","9,565.00"
