,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department,Organisation Name,Basis for expenditure approval,Project name,Total Value Approved (£M),Basis for Exception,Approval month,Civil Service Grade (FTE),,,,,,Civil Service Grade (Headcount),,,,,,Total approvals (Headcount),Total Approvals (FTE),Date of approval,,,,,,
,,,,,,,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,,,,,,,,,
,,,,,,,258.2,123.9,102.3,48,21,14.6,264,125,105,49,22,15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data to be provided by departments.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
