Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,PSPES Level 2,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,01/08/2013,Agency Staff,Finance & Corporate Services,CERTES COMPUTING LTD,,Medium,,5106195774,Contingent Labour,Temporary Staff June 2013,B46 1HQ,"2,946.24",
Communities & Local Government,DCLG,01/08/2013,Agency Staff,Neighbourhoods,REED EMPLOYMENT SERVICES,,Large,,5106195784,Contingent Labour,Extension of Support- Rate Adjustment,SW20 0BA,"1,603.36",
Communities & Local Government,DCLG,01/08/2013,Agency Staff,Neighbourhoods,REED EMPLOYMENT SERVICES,,Large,,5106195792,Contingent Labour,Policy support,SW20 0BA,983.57,
Communities & Local Government,DCLG,01/08/2013,Agency Staff,Neighbourhoods,REED EMPLOYMENT SERVICES,,Large,,5106195793,Contingent Labour,Policy support,SW20 0BA,929.92,
Communities & Local Government,DCLG,01/08/2013,Agency Staff,Neighbourhoods,REED EMPLOYMENT SERVICES,,Large,,5106195794,Contingent Labour,Policy support,SW20 0BA,953.76,
Communities & Local Government,DCLG,01/08/2013,Agency Staff,Neighbourhoods,REED EMPLOYMENT SERVICES,,Large,,5106195795,Contingent Labour,Policy support,SW20 0BA,"1,090.30",
Communities & Local Government,DCLG,01/08/2013,Agency Staff,Neighbourhoods,REED EMPLOYMENT SERVICES,,Large,,5106195796,Contingent Labour,Policy support,SW20 0BA,867.94,
Communities & Local Government,DCLG,01/08/2013,Agency Staff,Neighbourhoods,REED EMPLOYMENT SERVICES,,Large,,5106195799,Contingent Labour,POLICY SUPPORT FOR HGAH,SW20 0BA,"1,047.26",
Communities & Local Government,DCLG,01/08/2013,Agency Staff,Neighbourhoods,REED SPECIALIST RECRUITMENT LTD,,Large,,5106195825,Contingent Labour,Temp SEO policy official: Right to Buy,NN1 1UE,"1,040.69",
Communities & Local Government,DCLG,01/08/2013,Building Renovations,Finance & Corporate Services,E C HARRIS LLP,,Large,,2300002037,Construction Service Providers,Strategic Engagements&Snr Comms Mngr- 50,N1 9AB,"-10,530.00",
Communities & Local Government,DCLG,01/08/2013,Current (non AEF) Grants to Local Authorities,Localism,BURY MBC,,Large,,2100232982,,Payment to LAs to Tackle Problem Drinking,BL9 0SW,"45,000.00",Yes
Communities & Local Government,DCLG,01/08/2013,Current (non AEF) Grants to Local Authorities,Localism,CHELMSFORD BOROUGH COUNCIL,,,,2100232983,,Payment to LAs to Tackle Problem Drinking,CM1 1JE,"45,000.00",Yes
Communities & Local Government,DCLG,01/08/2013,Current (non AEF) Grants to Local Authorities,Localism,CORNWALL COUNTY COUNCIL,,Public Bodies,,2100232988,,Payment to LAs to Tackle Problem Drinking,TR1 3AY,"45,000.00",Yes
Communities & Local Government,DCLG,01/08/2013,Current (non AEF) Grants to Local Authorities,Localism,DURHAM COUNTY COUNCIL,,,,2100232989,,Payment to LAs to Tackle Problem Drinking,DL16 6JQ,"45,000.00",Yes
Communities & Local Government,DCLG,01/08/2013,Current (non AEF) Grants to Local Authorities,Localism,LINCOLN CITY COUNCIL,,,,2100232984,,Payment to LAs to Tackle Problem Drinking,LN1 1DH,"45,000.00",Yes
Communities & Local Government,DCLG,01/08/2013,Current (non AEF) Grants to Local Authorities,Localism,MAIDSTONE B C,,Public Bodies,,2100232985,,Payment to LAs to Tackle Problem Drinking,ME15 6JQ,"45,000.00",Yes
Communities & Local Government,DCLG,01/08/2013,Current (non AEF) Grants to Local Authorities,Localism,NEWCASTLE CITY COUNCIL,,Public Bodies,,2100232986,,Payment to LAs to Tackle Problem Drinking,NE1 8PA,"45,000.00",Yes
