Donor,Aid flows aligned result %,Aid flows aligned target %,Aid flows aligned score,Strengthened capacity result %,Strengthened capacity target %,Strengthened capacity score,Use of country PFM result %,Use of country PFM target %,Use of country PFM score,Predictable aid result %,Predictable aid target %,Predictable aid score,Untied aid result %,Untied aid target %,Untied aid score,Common arrangements result %,Common arrangements target %,Common arrangements score,Joint missions result %,Joint missions target %,Joint missions score,Joint analytical work result %,Joint analytical work target %,Joint analytical work score,Notes
Canada,30%,85%,1,27%,50%,2,68%,55%,5,38%,71%,2,100%,89%,5,50%,66%,3,15%,40%,1,58%,66%,4,
France,42%,85%,2,57%,50%,5,69%,55%,5,37%,71%,2,80%,89%,4,50%,66%,3,13%,40%,1,29%,66%,2,
Germany,45%,85%,2,74%,50%,5,44%,55%,4,40%,71%,2,99%,89%,5,39%,66%,2,37%,40%,4,51%,66%,3,
Italy,29%,85%,1,37%,50%,3,37%,55%,3,35%,71%,2,56%,89%,3,26%,66%,1,20%,40%,2,38%,66%,2,
Japan,40%,85%,2,80%,50%,5,69%,55%,5,37%,71%,2,92%,89%,5,50%,66%,3,5%,40%,1,48%,66%,3,
Russia,35%,85%,2,N/A,N/A,N/A,42%,55%,3,97%,71%,5,71%,89%,3,33%,66%,2,22%,40%,2,36%,66%,2,
UK,42%,85%,2,39%,50%,3,68%,55%,5,53%,71%,3,100%,89%,5,52%,66%,3,43%,40%,5,57%,66%,4,
US,32%,85%,1,49%,50%,4,11%,55%,1,28%,71%,1,78%,89%,4,20%,66%,1,7%,40%,1,42%,66%,3,
EU,51%,85%,3,50%,50%,5,49%,55%,4,48%,71%,3,N/A,N/A,N/A,52%,66%,3,19%,40%,2,57%,66%,4,
,,,,,,,,,,,,,,,,,,,,,,,,,
Spreadsheet title,,,,,,,,,,,,,,,,,,,,,,,,,Figure 1.3: G8 scores against Paris indicators (2010 data)
Source,,,,,,,,,,,,,,,,,,,,,,,,,"OECD 2011 Survey on Monitoring the Paris Declaration; G8 scoring methodology, table 1.1 and Annex C"
Note,,,,,,,,,,,,,,,,,,,,,,,,,"Scoring methodology: result % is 100% or above of target achieved = 5, 80-99% = 4, 60-79% = 3, 40-59% = 2, less than 40% = 1"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
