CPS outcomes by principal offence category northumbria,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,210,74.5%,72,25.5%
C Sexual Offences,17,77.3%,5,22.7%
D Burglary,87,91.6%,8,8.4%
E Robbery,10,71.4%,4,28.6%
F Theft And Handling,518,94.7%,29,5.3%
G Fraud And Forgery,30,96.8%,1,3.2%
H Criminal Damage,87,81.3%,20,18.7%
I Drugs Offences,158,96.9%,5,3.1%
J Public Order Offences,183,82.8%,38,17.2%
K All Other Offences (excluding Motoring),303,83.9%,58,16.1%
L Motoring Offences,539,90.4%,57,9.6%
Admin Finalisations,0,0.0%,9,100.0%
TOTAL,"2,142",87.5%,306,12.5%
