Body,Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Expense Code,Extended Description,Service Code,Service Label,Service Division Label,Service Division Code
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151526,895,DAVID BUCHANAN,BUC006,Technical Services Manager,Ground Maintenance SOR & Dayworks,1088,PLANTERS GT DOCKRAY,PARKOS,Parks and Open Spaces,02129,Open spaces
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151876,1350,RICARDO-AEA LTD,RIC021,Environmental Services,Professional fees,2045,EMAQ + SUB 6 SEMINAR PLACES,POLCNL,Pollution Control,03027,Air Pollution
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151886,2140,DUE NORTH LTD,DUE001,Financial Services Manager,Professional fees,2045,HOSTING PROCONTRACT MANAGEMENT SOFTWARE,CORPOR,Corporate Costs,01131,Collaborative Procurement
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151969,952,ACOUSTIC CALIBRATION LABORATORY,ACO002,Environmental Services,Equipment – maintenance,2001,CALIBRATION,POLCNL,Pollution Control,03030,Noise Pollution
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151994,600,FAIRLY FAMOUS FAMILY,FAM001,Commercial Services Manager,Promotional activity,2084,PERFORMANCE GIFTED EDEN,MARKET,Markets,02382,Mrkts - Penrith Promotional Space
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,150944,11279.3,CIVICA UK LTD,CIV002,None,Software – maintenance,2067,MAINTENANCE/LICENCES 2016/17,CORPOR,Corporate Costs,01192,Delivering Digital Innovation
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151168,500,CARLISLE SKILLS,CAR079,Chief Executive's,Hospitality,2087,1 TABLE FOR 10 PEOPLE CLLR KEVIN BEATY EDC,CIVDUT,Civic Duties,01063,Civic Hospitality
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151540,17472,EDEN HOUSING ASSOCIATION LTD,EDE001,Environmental Services,Grants and contributions,2079,HOUSING SUPPORT SERVICE JUNE - NOV 2016,HOMLES,Homelessness,02296,Homelessness Grant Fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151572,1250,IMPACT HOUSING ASSOCIATION,IMP001,Commercial Services Manager,Balance Sheet entry BS,6003,ECF127,COMM,Community Fund,10400,Community Fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151748,10340,ENTERPRISE PROSPECTS LTD,ENT004,Chief Executive's,Agency Staff,0003,R HOOPER JULY 2016,CHIEXE,Chief Executive,00050,Chief Executive
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151808,6198.57,redacted informatopn,BEV002,Technical Services Manager,Claims,2100,redacted information,LANDCH,Land Charges,01002,Land Charges
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/08/2016,151865,1700,CUMBERLAND AND WESTMORLAND HERALD,CUM001,Technical Services Manager,Advertising,2086,OFF STREET PARKING ADVERT,OFFSTR,Vehicle Parking Off Street,02167,Vehicle parking
