,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,73,89.0%,9,11.0%,"10,720",77.6%,"3,101",22.4%,"1,118",73.3%,408,26.7%,"1,265",86.4%,199,13.6%,376,80.2%,93,19.8%,"7,047",91.2%,682,8.8%,887,85.3%,153,14.7%,"1,995",85.1%,348,14.9%,"3,964",93.3%,284,6.7%,"3,443",86.0%,562,14.0%,771,84.3%,144,15.7%,"7,341",84.9%,"1,305",15.1%,849,100.0%
Avon and Somerset,2,100.0%,0,0.0%,316,82.7%,66,17.3%,53,79.1%,14,20.9%,32,88.9%,4,11.1%,4,100.0%,0,0.0%,213,91.8%,19,8.2%,18,94.7%,1,5.3%,60,89.6%,7,10.4%,91,98.9%,1,1.1%,89,85.6%,15,14.4%,15,93.8%,1,6.3%,221,87.4%,32,12.6%,32,100.0%
Bedfordshire,3,100.0%,0,0.0%,67,72.0%,26,28.0%,11,100.0%,0,0.0%,16,88.9%,2,11.1%,7,77.8%,2,22.2%,55,88.7%,7,11.3%,2,66.7%,1,33.3%,15,78.9%,4,21.1%,33,97.1%,1,2.9%,28,96.6%,1,3.4%,7,58.3%,5,41.7%,86,82.7%,18,17.3%,13,100.0%
Cambridgeshire,0,-,0,-,144,83.2%,29,16.8%,9,81.8%,2,18.2%,8,80.0%,2,20.0%,0,0.0%,1,100.0%,96,88.9%,12,11.1%,5,71.4%,2,28.6%,21,87.5%,3,12.5%,24,92.3%,2,7.7%,36,72.0%,14,28.0%,6,54.5%,5,45.5%,71,87.7%,10,12.3%,9,100.0%
Cheshire,0,-,0,-,272,80.7%,65,19.3%,18,64.3%,10,35.7%,17,94.4%,1,5.6%,4,100.0%,0,0.0%,168,96.0%,7,4.0%,14,93.3%,1,6.7%,39,88.6%,5,11.4%,75,93.8%,5,6.3%,88,86.3%,14,13.7%,13,92.9%,1,7.1%,184,92.9%,14,7.1%,7,100.0%
Cleveland,0,-,0,-,131,76.2%,41,23.8%,10,90.9%,1,9.1%,45,93.8%,3,6.3%,3,50.0%,3,50.0%,176,91.7%,16,8.3%,8,100.0%,0,0.0%,48,81.4%,11,18.6%,68,90.7%,7,9.3%,62,89.9%,7,10.1%,10,83.3%,2,16.7%,88,88.0%,12,12.0%,11,100.0%
Cumbria,1,100.0%,0,0.0%,101,87.1%,15,12.9%,4,66.7%,2,33.3%,11,100.0%,0,0.0%,0,0,0,0,84,95.5%,4,4.5%,8,100.0%,0,0.0%,23,92.0%,2,8.0%,49,100.0%,0,0.0%,33,84.6%,6,15.4%,5,83.3%,1,16.7%,79,89.8%,9,10.2%,2,100.0%
Derbyshire,3,100.0%,0,0.0%,164,77.4%,48,22.6%,9,100.0%,0,0.0%,15,68.2%,7,31.8%,8,88.9%,1,11.1%,125,89.3%,15,10.7%,6,66.7%,3,33.3%,30,83.3%,6,16.7%,43,93.5%,3,6.5%,54,93.1%,4,6.9%,15,100.0%,0,0.0%,93,79.5%,24,20.5%,17,100.0%
Devon and Cornwall,0,0.0%,1,100.0%,212,85.8%,35,14.2%,20,90.9%,2,9.1%,24,92.3%,2,7.7%,6,100.0%,0,0.0%,95,95.0%,5,5.0%,12,80.0%,3,20.0%,28,90.3%,3,9.7%,62,95.4%,3,4.6%,63,90.0%,7,10.0%,5,71.4%,2,28.6%,203,95.3%,10,4.7%,10,100.0%
Dorset,0,-,0,-,156,85.7%,26,14.3%,16,84.2%,3,15.8%,11,73.3%,4,26.7%,0,0.0%,1,100.0%,85,98.8%,1,1.2%,8,80.0%,2,20.0%,38,86.4%,6,13.6%,49,100.0%,0,0.0%,55,93.2%,4,6.8%,8,88.9%,1,11.1%,97,90.7%,10,9.3%,8,100.0%
Durham,1,100.0%,0,0.0%,107,76.4%,33,23.6%,5,100.0%,0,0.0%,12,100.0%,0,0.0%,3,100.0%,0,0.0%,82,94.3%,5,5.7%,2,100.0%,0,0.0%,19,90.5%,2,9.5%,15,100.0%,0,0.0%,31,83.8%,6,16.2%,8,100.0%,0,0.0%,95,91.3%,9,8.7%,5,100.0%
Dyfed Powys,2,100.0%,0,0.0%,85,82.5%,18,17.5%,5,55.6%,4,44.4%,3,100.0%,0,0.0%,1,100.0%,0,0.0%,40,93.0%,3,7.0%,9,81.8%,2,18.2%,11,78.6%,3,21.4%,51,94.4%,3,5.6%,34,91.9%,3,8.1%,7,87.5%,1,12.5%,88,84.6%,16,15.4%,2,100.0%
Essex,1,100.0%,0,0.0%,258,75.4%,84,24.6%,50,76.9%,15,23.1%,26,86.7%,4,13.3%,6,85.7%,1,14.3%,133,86.9%,20,13.1%,20,71.4%,8,28.6%,48,87.3%,7,12.7%,91,93.8%,6,6.2%,50,75.8%,16,24.2%,12,85.7%,2,14.3%,181,87.0%,27,13.0%,22,100.0%
Gloucestershire,0,-,0,-,75,82.4%,16,17.6%,1,50.0%,1,50.0%,7,77.8%,2,22.2%,0,0,0,0,54,96.4%,2,3.6%,8,88.9%,1,11.1%,16,100.0%,0,0.0%,26,86.7%,4,13.3%,18,85.7%,3,14.3%,2,100.0%,0,0.0%,59,92.2%,5,7.8%,12,100.0%
GreaterManchester,4,100.0%,0,0.0%,619,83.0%,127,17.0%,92,75.4%,30,24.6%,84,92.3%,7,7.7%,24,85.7%,4,14.3%,254,92.4%,21,7.6%,29,82.9%,6,17.1%,105,89.0%,13,11.0%,94,92.2%,8,7.8%,151,90.4%,16,9.6%,42,72.4%,16,27.6%,330,80.7%,79,19.3%,20,100.0%
