ID,LSOA11CD,POPULATION,CRIMETYPE3,TIMEPERIOD,RT1000POP,NO_INCID
181,E01012621,1492,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,12
185,E01012622,1626,Serious Acquisitive Crime,SEP-2014 to AUG-2015,21,34
186,E01012623,1524,Serious Acquisitive Crime,SEP-2014 to AUG-2015,9,13
193,E01012625,1685,Serious Acquisitive Crime,SEP-2014 to AUG-2015,11,19
195,E01012628,1164,Serious Acquisitive Crime,SEP-2014 to AUG-2015,10,12
207,E01012632,2111,Serious Acquisitive Crime,SEP-2014 to AUG-2015,20,43
210,E01012633,1598,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,9
220,E01012636,1473,Serious Acquisitive Crime,SEP-2014 to AUG-2015,5,8
222,E01012637,1581,Serious Acquisitive Crime,SEP-2014 to AUG-2015,13,20
191,E01012624,1574,Serious Acquisitive Crime,SEP-2014 to AUG-2015,11,17
198,E01012629,1139,Serious Acquisitive Crime,SEP-2014 to AUG-2015,45,51
200,E01012630,2279,Serious Acquisitive Crime,SEP-2014 to AUG-2015,4,8
202,E01012631,1286,Serious Acquisitive Crime,SEP-2014 to AUG-2015,16,21
214,E01012634,1386,Serious Acquisitive Crime,SEP-2014 to AUG-2015,10,14
216,E01012635,1705,Serious Acquisitive Crime,SEP-2014 to AUG-2015,9,16
227,E01012638,1633,Serious Acquisitive Crime,SEP-2014 to AUG-2015,10,17
176,E01012619,1407,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,11
179,E01012620,1360,Serious Acquisitive Crime,SEP-2014 to AUG-2015,10,13
260,E01012645,1985,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,12
265,E01012646,1658,Serious Acquisitive Crime,SEP-2014 to AUG-2015,16,27
271,E01012647,1373,Serious Acquisitive Crime,SEP-2014 to AUG-2015,15,21
275,E01012648,1170,Serious Acquisitive Crime,SEP-2014 to AUG-2015,13,15
282,E01012650,1386,Serious Acquisitive Crime,SEP-2014 to AUG-2015,14,19
287,E01012651,1679,Serious Acquisitive Crime,SEP-2014 to AUG-2015,14,23
298,E01012654,1650,Serious Acquisitive Crime,SEP-2014 to AUG-2015,13,22
300,E01012655,1889,Serious Acquisitive Crime,SEP-2014 to AUG-2015,38,71
302,E01012656,1673,Serious Acquisitive Crime,SEP-2014 to AUG-2015,12,20
305,E01012657,2030,Serious Acquisitive Crime,SEP-2014 to AUG-2015,7,14
309,E01012658,1854,Serious Acquisitive Crime,SEP-2014 to AUG-2015,10,19
316,E01012659,1425,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,8
326,E01012662,1415,Serious Acquisitive Crime,SEP-2014 to AUG-2015,1,2
232,E01012639,1824,Serious Acquisitive Crime,SEP-2014 to AUG-2015,10,18
235,E01012640,1762,Serious Acquisitive Crime,SEP-2014 to AUG-2015,17,30
240,E01012641,1699,Serious Acquisitive Crime,SEP-2014 to AUG-2015,11,19
248,E01012642,1700,Serious Acquisitive Crime,SEP-2014 to AUG-2015,3,5
253,E01012643,1604,Serious Acquisitive Crime,SEP-2014 to AUG-2015,16,26
256,E01012644,2521,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,14
277,E01012649,1464,Serious Acquisitive Crime,SEP-2014 to AUG-2015,22,32
288,E01012652,1516,Serious Acquisitive Crime,SEP-2014 to AUG-2015,7,11
293,E01012653,1301,Serious Acquisitive Crime,SEP-2014 to AUG-2015,16,21
318,E01012660,1188,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,9
322,E01012661,1500,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,12
367,E01012670,1237,Serious Acquisitive Crime,SEP-2014 to AUG-2015,11,14
372,E01012671,1392,Serious Acquisitive Crime,SEP-2014 to AUG-2015,24,34
385,E01012672,1298,Serious Acquisitive Crime,SEP-2014 to AUG-2015,23,30
393,E01012673,1314,Serious Acquisitive Crime,SEP-2014 to AUG-2015,29,38
402,E01012674,1621,Serious Acquisitive Crime,SEP-2014 to AUG-2015,23,37
404,E01012675,1580,Serious Acquisitive Crime,SEP-2014 to AUG-2015,14,22
1,E01012678,1289,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,10
2,E01012679,1466,Serious Acquisitive Crime,SEP-2014 to AUG-2015,28,41
3,E01012680,1584,Serious Acquisitive Crime,SEP-2014 to AUG-2015,11,18
420,E01012676,1362,Serious Acquisitive Crime,SEP-2014 to AUG-2015,12,17
423,E01012677,1381,Serious Acquisitive Crime,SEP-2014 to AUG-2015,10,14
331,E01012663,1584,Serious Acquisitive Crime,SEP-2014 to AUG-2015,5,8
336,E01012664,1638,Serious Acquisitive Crime,SEP-2014 to AUG-2015,4,7
341,E01012665,1627,Serious Acquisitive Crime,SEP-2014 to AUG-2015,4,6
346,E01012666,1435,Serious Acquisitive Crime,SEP-2014 to AUG-2015,7,10
352,E01012667,1572,Serious Acquisitive Crime,SEP-2014 to AUG-2015,1,2
358,E01012668,1567,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,9
361,E01012669,1792,Serious Acquisitive Crime,SEP-2014 to AUG-2015,5,9
32,E01012705,1637,Serious Acquisitive Crime,SEP-2014 to AUG-2015,5,9
33,E01012706,1642,Serious Acquisitive Crime,SEP-2014 to AUG-2015,3,5
162,E01012615,1463,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,11
167,E01012616,1792,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,11
170,E01012617,1392,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,11
419,E01025222,1495,Serious Acquisitive Crime,SEP-2014 to AUG-2015,7,10
445,E01025226,1545,Serious Acquisitive Crime,SEP-2014 to AUG-2015,24,37
459,E01025228,1557,Serious Acquisitive Crime,SEP-2014 to AUG-2015,15,24
4,E01012681,1636,Serious Acquisitive Crime,SEP-2014 to AUG-2015,56,91
5,E01012682,1455,Serious Acquisitive Crime,SEP-2014 to AUG-2015,28,41
6,E01012683,1446,Serious Acquisitive Crime,SEP-2014 to AUG-2015,11,16
7,E01012684,1485,Serious Acquisitive Crime,SEP-2014 to AUG-2015,15,22
8,E01012685,1517,Serious Acquisitive Crime,SEP-2014 to AUG-2015,7,11
9,E01012686,1501,Serious Acquisitive Crime,SEP-2014 to AUG-2015,4,6
10,E01012687,1448,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,12
11,E01012688,1229,Serious Acquisitive Crime,SEP-2014 to AUG-2015,15,18
12,E01012689,1274,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,8
15,E01012692,1730,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,10
16,E01012693,1553,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,13
18,E01012695,1416,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,8
19,E01012696,1514,Serious Acquisitive Crime,SEP-2014 to AUG-2015,7,11
28,E01012701,1469,Serious Acquisitive Crime,SEP-2014 to AUG-2015,12,18
29,E01012702,1454,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,8
30,E01012703,1536,Serious Acquisitive Crime,SEP-2014 to AUG-2015,4,6
13,E01012690,1703,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,10
14,E01012691,1912,Serious Acquisitive Crime,SEP-2014 to AUG-2015,4,7
36,E01012707,1183,Serious Acquisitive Crime,SEP-2014 to AUG-2015,19,22
37,E01012708,1398,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,8
42,E01012709,1579,Serious Acquisitive Crime,SEP-2014 to AUG-2015,13,20
17,E01012694,1364,Serious Acquisitive Crime,SEP-2014 to AUG-2015,7,9
20,E01012697,1371,Serious Acquisitive Crime,SEP-2014 to AUG-2015,3,4
23,E01012698,1549,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,10
25,E01012699,1741,Serious Acquisitive Crime,SEP-2014 to AUG-2015,2,4
26,E01012700,1862,Serious Acquisitive Crime,SEP-2014 to AUG-2015,5,10
31,E01012704,2008,Serious Acquisitive Crime,SEP-2014 to AUG-2015,7,14
34,E01012575,1259,Serious Acquisitive Crime,SEP-2014 to AUG-2015,13,16
38,E01012576,1634,Serious Acquisitive Crime,SEP-2014 to AUG-2015,17,28
40,E01012577,1929,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,11
41,E01012578,2001,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,17
44,E01012579,1690,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,14
46,E01012580,2165,Serious Acquisitive Crime,SEP-2014 to AUG-2015,5,11
48,E01012581,1232,Serious Acquisitive Crime,SEP-2014 to AUG-2015,6,7
51,E01012582,1639,Serious Acquisitive Crime,SEP-2014 to AUG-2015,4,7
52,E01012583,1654,Serious Acquisitive Crime,SEP-2014 to AUG-2015,8,13
56,E01012584,1500,Serious Acquisitive Crime,SEP-2014 to AUG-2015,10,15
