Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Isle Of Wight NHS Trust,31/03/2017,Services Received - CCG's,Respiratory,NHS ISLE OF WIGHT CCG,20817331,57863.28
Department of Health,Isle Of Wight NHS Trust,31/03/2017,Blood Products,Biochemistry,NHS BLOOD & TRANSPLANT,21365797,39247.67
Department of Health,Isle Of Wight NHS Trust,31/03/2017,Blood Products,Biochemistry,NHS BLOOD & TRANSPLANT,21968966,39247.67
Department of Health,Isle Of Wight NHS Trust,31/03/2017,Gas,Utilities,CORONA ENERGY RETAIL 4 LTD,22050707,34565.51
Department of Health,Isle Of Wight NHS Trust,31/03/2017,External Consultancy Fees,Woodlands (clusters 12-13),RICHMOND FELLOWSHIP,22051732,30370
Department of Health,Isle Of Wight NHS Trust,31/03/2017,Locum Consultant,Personnel Management,HOLT DOCTORS LTD,22051776,77049.36
Department of Health,Isle Of Wight NHS Trust,31/03/2017,Med Equip Additions,Balance Sheet,NHS SUPPLY CHAIN,22061982,242828.52
Department of Health,Isle Of Wight NHS Trust,31/03/2017,P&M Additions,Balance Sheet,SSE CONTRACTING LTD,22077997,54000
Department of Health,Isle Of Wight NHS Trust,31/03/2017,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,22094703,72969.33
Department of Health,Isle Of Wight NHS Trust,31/03/2017,AUC Additions,Balance Sheet,BOC LTD,22095531,56379.5
Department of Health,Isle Of Wight NHS Trust,31/03/2017,P&M Additions,Balance Sheet,WESSEX FIRE AND SECURITY LTD,22095687,43800
Department of Health,Isle Of Wight NHS Trust,31/03/2017,Locum Consultant,Personnel Management,LIAISON FINANCIAL SERVICES LTD,22105933,29338.17
Department of Health,Isle Of Wight NHS Trust,31/03/2017,Locum Consultant,Personnel Management,LIAISON FINANCIAL SERVICES LTD,22105942,86248.88
Department of Health,Isle Of Wight NHS Trust,31/03/2017,P&M Additions,Balance Sheet,SSE CONTRACTING LTD,22106727,94320
Department of Health,Isle Of Wight NHS Trust,31/03/2017,Locum Consultant,Personnel Management,LIAISON FINANCIAL SERVICES LTD,22106932,44166.6
