Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,NP - Medical Technologies Evaluation Programme,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,14744004,177299.03,Medical Technologies External Assessment Centre Quarter 2 15/16,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,14744040,389136,National Collaborating Centre for Women?s and Children?s Health Quarter 1 2015/16,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,NP - QOF and Indicators,UNIVERSITY OF BIRMINGHAM,14744099,62500,Quality and Outcomes Framework (QOF) Piloting of Quality Indicators Year 3 Quarter 1,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,NP - BNF,RPS PUBLISHING,14744226,985000,BNF Services fee Q2 (Jul15-Sep15),,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,14796559,78216.56,National Collaborating Centre work on Mental Health for Guidelines Quarter 4 2014/15 - additional costs,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,14797124,389136,National Collaborating Centre for Women?s and Children?s Health Quarter 2 2015/16,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Computer Maintenance,NP - IM&T,RACKSPACE LTD,14826174,55261.66,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Computer Maintenance,NP - IM&T,RACKSPACE LTD,14826226,53833.06,Hosting NHS Evidence website,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Service Charge,NP - Facilities - London,BRITISH COUNCIL,14826355,84381.36,Service charge payment for office space at 10 Spring Gardens 01/04/15 - 30/06/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,14913388,107076.86,"Rail, hotel & flight costs for July 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,14746215,118138.35,"Rail, hotel & flight costs for June 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,NP - Medical Technologies Evaluation Programme,KINGS COLLEGE LONDON,14913671,222557.1,"Evaulation Pathways External Assessment Centre quarter 1, Year 2",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,NP-HTE Appraisals,UNIVERSITY OF SHEFFIELD,14968756,50000,"Supply of Decision Support Unit Year 4, Quarter 1",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,"Books, Journals & Subscr",NP - National Core Content HEE,EBSCO INTERNATIONAL INC,14986343,193617,"National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period April 2015 to March 2016",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,NP-CP Guidelines,UNIVERSITY OF BRISTOL,15012608,37500,"Clinical guidelines Technical support unit quarter 1, 15/16",,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Contr Other External,Fully Recovered: International Commercial Activity,UNIGLOBE GEMINI TRAVEL,15012630,9217.32,Flights booked during the period 01/06/15 to 30/09/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Travel & Subsistence,Fully Recovered: International Commercial Activity,UNIGLOBE GEMINI TRAVEL,15012630,17827.63,Flights booked during the period 01/06/15 to 30/09/15,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Computer Software/License,NP - Commissioned Content,EDUSERV,15013021,68750,Provision of Athens service from 01/04/2015  to 30/06/2015,,,,,
Department of Health,National Institute for Health & Care Excellence,31/08/2015,Programme Support Costs,NP-Intervention Procedure,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,15061609,35027.13,Secondee costs from April - September 2015,,,,,
