TRANSACTION DATE,MERCHANT NAME,TRANSACTION AMOUNT,ENTITY,DETAILS
01/08/2012,INSTITUTE OF FISCAL STUDIES,£630.00,HM TREASURY,TRAINING COURSE FEES
01/08/2012,KAPLAN FINANCIAL LTD,"£1,420.34",HM TREASURY,TRAINING COURSE FEES
01/08/2012,STATIONERY OFFICE BOOK,"£1,000.00",HM TREASURY,PRINTING AND BINDING 
01/08/2012,STATIONERY OFFICE BOOK,"£1,000.00",HM TREASURY,PRINTING AND BINDING 
01/08/2012,STATIONERY OFFICE BOOK,"£1,000.00",HM TREASURY,PRINTING AND BINDING 
01/08/2012,STATIONERY OFFICE BOOK,"£1,000.00",HM TREASURY,PRINTING AND BINDING 
01/08/2012,WWW.LSE.AC.UK,"£2,000.00",HM TREASURY,TRAINING COURSE FEES
02/08/2012,CAPITA BUS SVS-MOTO,£819.60,HM TREASURY,TRAINING COURSE FEES
02/08/2012,CEDR SERVICES LTD,"£1,848.00",DEBT MANAGEMENT OFFICE,Staff Well - Being
02/08/2012,CEDR SERVICES LTD,"£1,884.00",DEBT MANAGEMENT OFFICE,Staff Well - Being
03/08/2012,BRITISH AIRWAYS,"£4,652.79",HM TREASURY,AIR TRAVEL
03/08/2012,BRITISH AIRWAYS,"£4,652.79",HM TREASURY,AIR TRAVEL
03/08/2012,BRITISH AIRWAYS,"£4,652.79",HM TREASURY,AIR TRAVEL
03/08/2012,BRITISH AIRWAYS,"£4,652.79",HM TREASURY,AIR TRAVEL
03/08/2012,CATHAY PACIFIC AIRWAYS,"£1,161.60",HM TREASURY,AIR TRAVEL
03/08/2012,CATHAY PACIFIC AIRWAYS,"£1,161.60",HM TREASURY,AIR TRAVEL
03/08/2012,CATHAY PACIFIC AIRWAYS,"£1,161.60",HM TREASURY,AIR TRAVEL
03/08/2012,CATHAY PACIFIC AIRWAYS,"£1,161.60",HM TREASURY,AIR TRAVEL
03/08/2012,JONES YARRELL LEADENHA,"£3,919.35",HM TREASURY,NEWSPAPERS
06/08/2012,AIR CHINA INTERNATIONAL,£766.40,DEBT MANAGEMENT OFFICE,AIR TRAVEL
06/08/2012,BRITISH AIRWAYS,"£4,587.99",DEBT MANAGEMENT OFFICE,AIR TRAVEL
06/08/2012,MINI CAB,£627.80,DEBT MANAGEMENT OFFICE,UK taxis business use only
06/08/2012,OFFICE DEPOT,"£1,234.81",HM TREASURY,Supply Stock Items(Stationary)
06/08/2012,SINGAPORE AIRLINES,"£1,723.10",DEBT MANAGEMENT OFFICE,AIR TRAVEL
06/08/2012,STATIONERY OFFICE BOOK,£600.00,DEBT MANAGEMENT OFFICE,PRINTING AND BINDING 
06/08/2012,STATIONERY OFFICE BOOK,£700.00,DEBT MANAGEMENT OFFICE,PRINTING AND BINDING 
06/08/2012,VIRGIN ATLANTIC,"£1,335.78",HM TREASURY,AIR TRAVEL
07/08/2012,HEMSLEY FRASER GROUP LTD,£581.40,HM TREASURY,TRAINING COURSE FEES
07/08/2012,STATIONERY OFFICE BOOK,"£1,041.75",HM TREASURY,PRINTING AND BINDING 
08/08/2012,BRITISH AIRWAYS,"£3,293.59",DEBT MANAGEMENT OFFICE,AIR TRAVEL
08/08/2012,BRITISH AIRWAYS,"£4,473.29",HM TREASURY,AIR TRAVEL
08/08/2012,GOVERNMENT COMMUNICATIONS,£510.00,HM TREASURY,TRAINING COURSE FEES
08/08/2012,SINGAPORE AIRLINES,"£4,652.81",HM TREASURY,AIR TRAVEL
10/08/2012,CAPITA BUS SVS-MOTO,"£1,500.00",ASSET PROTECTION AGENCY,TRAINING COURSE FEES
10/08/2012,THE TI GROUP,"£3,240.00",ASSET PROTECTION AGENCY,Software purchase - £5K
13/08/2012,BRITISH AIRWAYS,£549.65,HM TREASURY,AIR TRAVEL
13/08/2012,DURRANT PRESS CUT,"£3,515.63",HM TREASURY,PRESS CUTTINGS
14/08/2012,HEMSLEY FRASER GROUP LTD,£839.16,HM TREASURY,TRAINING COURSE FEES
14/08/2012,ICELAND AIR,£561.10,HM TREASURY,AIR TRAVEL
15/08/2012,CIVIL SERVICE LEARNING,£879.60,HM TREASURY,TRAINING COURSE FEES
15/08/2012,FAIRPLACE CONSULTING,£576.00,ASSET PROTECTION AGENCY,TRAINING COURSE FEES
16/08/2012,BPP PROF EDUCATION,£977.49,HM TREASURY,TRAINING COURSE FEES
16/08/2012,BPP PROF EDUCATION,"£1,985.00",DEBT MANAGEMENT OFFICE,TRAINING COURSE FEES
16/08/2012,CIVIL SERVICE LEARNING,£879.60,HM TREASURY,TRAINING COURSE FEES
16/08/2012,IIA - UK & IRELAND,£726.00,HM TREASURY,TRAINING COURSE FEES
16/08/2012,INSTITUTE OF FISCAL STUDIES,£504.00,HM TREASURY,TRAINING COURSE FEES
