,,,
Prompt Payment Report - 2017/18,,,
UK Atomic Energy Authority (NDPB),,,
Reporting Month:,01 November - 30 November (P8),,
Prompt Payment Reporting,5 Day,10 Day,30 Day
,,,
No. of invoices received,1916,1916,1916
No. of invoices paid within specified working days or less,1174,1655,1794
No. of Invoices paid over specified working days,735,254,115
No. of disputed invoices*,7,7,7
% of invoices paid within terms,61%,87%,94%
,,,
,,,
Note:,,,
,,,
Disputed invoices are not included in statistics,,,
The following payment types are excluded from the return:,,,
Payments to Staff (e.g. salary or T&S costs),,,
Foreign Currency Payments,,,
Any Grant Payments,,,
,,,
,,,
