Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/10/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010030947," 34,907.99 ",NCA JULY 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,ST ANDREWS GROUP PRACTICE HESSLE ROAD,10902," 27,683.91 ",SUPPLYING COVER FOR ST MARYS AND ROSSMORE STROKE UNITS FOR Q1 AND Q2 2015,
Department of Health,03F,31/10/2015,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,OPTIONS AUTISM (2) LTD,7790,"-54,762.86 ",CREDIT NOTE - CARE FEES 6667 21/11/2014 - 31/03/2015,
Department of Health,03F,31/10/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010006187," 2,685,535.17 ",OCTOBER 2015/16 BLOCK ,
Department of Health,03F,31/10/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210019059," 14,216,667.00 ",2015/16 BLOCK CONTRACT INVOICE OCTOBER 2015,
Department of Health,03F,31/10/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810011137," 801,432.00 ",A&E CORE CONTRACTR EXCLUDING CQUINS OCTOBER 2015,
Department of Health,03F,31/10/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810011158," 30,484.00 ",HART FUNDING OCTOBER 2015,
Department of Health,03F,31/10/2015,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810011211," 55,103.00 ",NHS111 CONTRACT OCTOBER 2015,
Department of Health,03F,31/10/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810011240," 118,422.33 ",PTS CONTRACT OCTOBER 2015,
Department of Health,03F,31/10/2015,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS YORKSHIRE AND HUMBER CS,7312403952," 275,642.00 ","BASELINE 15/16 MONTH 7, 14/15 SLA LESS 5% ON ADMIN",
Department of Health,03F,31/10/2015,Charges from CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312404132," 52,233.00 ",GP IT OCT 15,
Department of Health,03F,31/10/2015,NHS Recbles<1 Yr- CHC Risk Pool Con,BALANCE SHEET,PRIVATE INDIVIDUAL,102278-12-OCT-2015," 60,299.92 ",REIMBURSEMENT OF CARE FEES,
Department of Health,03F,31/10/2015,Clinical&Medical-Voluntary Sector,NON RECURRENT PROGRAMMES,GOODWIN DEVELOPMENT TRUST LTD,14269," 37,782.45 ",SMOKING CESSATION SERVICE 01/04/2011 - 31/03/2013,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,885861," 29,501.41 ",NON PTS SERVICE 01/08/2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,902315," 29,501.41 ",01/09/2015 NON PTS SERVICE,
