Title:,Estimated abstractions from non-tidal surface waters by purpose and Environment Agency regional charge area:  2000-2015,,,,,,,,,,
Year:,2000 to 2015,,,,,,,,,,
Geography:,"Environment Agency Regions, England",,,,,,,,,,
Units:,million cubic metres,,,,,,,,,,
Source:,Environment Agency (EA),,,,,,,,,,
URL:,https://www.gov.uk/government/statistical-data-sets/env15-water-abstraction-tables,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,
Custodian,"Department for Environment, Food and Rural Affairs, Nobel House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,
Release Date:,Mar-17,,,,,,,,,,
Next Update:,Winter 2017-18,,,,,,,,,,
Notes:,-1,Three licences in 2003 re-assigned to 'Other industry' from 'Electricity supply' ,,,,,,,,,
,-2,No returns received for private water supply licences in 2002 and 2003 led to over estimate in figures,,,,,,,,,
,-3,Increased number of returns in 2004 received for fish farming licences in South Wessex Area,,,,,,,,,
,-4,Reduced hydropower abstraction in 2005,,,,,,,,,
,-5,Reduced hydropower abstraction in 2005,,,,,,,,,
,-6,Several licences changed in 2006 from surface water to tidal,,,,,,,,,
,-7,Reduced actual abstraction in 2008 in Thames region for mineral/extractive industry and reduction in one significant licence,,,,,,,,,
,-8,Reduced mechanical non-electrical power abstraction in 2010,,,,,,,,,
,-9,Over estimate of actual abstraction in 2007 for agriculture in South West Region,,,,,,,,,
,-10,Increase in actuals received in 2008 for hydropower in Midlands Region,,,,,,,,,
,-11,80% reduction in usage of hydroelectric power at one station,,,,,,,,,
,-12,Over estimate of actual abstraction in 2010 for Other Industry (Thames Region),,,,,,,,,
,-13,"From 1 April 2011 EA Thames and EA Southern merged to form EA South East. The two regions are still shown separately as this is the basis of the WR charges scheme, this is reflected by  the underlying reference information used to prepare ABSTAT.",,,,,,,,,
,b ,Indicates a break in the series where information concerning abstractions in the country of England and the Dee/Wye regional charge areas (formerly the Wales regional charge area) has been amalgamated into the North West and Midlands regional charge areas respectively,,,,,,,,,
,,,,,,,,,,,million cubic metres
EA regional charge area,,Year,Public water supply,Spray irrigation,Agriculture (excl. spray irrigation),Electricity supply industry,Other industry,"Fish farming, cress growing, amenity ponds",Private water supply,Other,Total
,,,,,,,,,,,
England,,2000,"3,706",67,11,"2,383","1,053","1,542",10,27,"8,799"
,,2001,"3,462",57,6,"3,482",725,"1,504",10,16,"9,261"
,,2002,"3,673",49,11,"3,112",767,961,8,14,"8,594"
,,2003,"3,780",62,14,"2,182","1,227",957,7,13,"8,243"
,,2004,"3,775",47,11,"2,190","1,202","1,269",1,13,"8,509"
,,2005,"3,831",45,6,"1,715","1,100","1,115",1,8,"7,821"
,,2006,"3,778",52,3,"1,073",933,"1,105",3,13,"6,959"
,,2007,"3,626",32,11,"1,072",586,"1,013",1,25,"6,366"
,,2008,"3,624",31,3,"1,662",753,850,1,13,"6,936"
,,2009,"3,462",44,2,"1,508",874,768,1,12,"6,670"
,,2010,"3,545",56,2,"1,781",573,871,0,10,"6,838"
,,2011,"3,431",62,2,"1,424",434,679,1,9,"6,042"
,,2012,"3,490",30,2,"2,040",813,813,0,10,"7,199"
,,2013,"3,482",50,3,"1,799",563,785,1,12,"6,693"
,,2014,"3,480",51,2,"2,149",680,794,1,9,"7,167"
,b,2015,"3,450",50,2,"2,474",630,718,1,13,"7,338"
,,,,,,,,,,,
North West,,2000,491,0,1,132,331,24,0,7,986
,,2001,474,4,1,209,271,32,0,6,997
,,2002,472,8,0,69,209,27,0,3,788
,,2003,518,7,1,215,235,40,0,3,"1,020"
,,2004,540,1,1,247,234,36,0,2,"1,061"
,,2005,524,3,0,213,229,20,0,2,990
