Newcastle City Council Invoices over £500 paid in November 2011,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Expenditure Category,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Cost Centre,Cost Centre Description,Grand Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,07 November 2011,3663,5293334,Revenue,1KF07,BANQUETING SUITE             K,540.75
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,07 November 2011,3663,5293336,Revenue,1KF07,BANQUETING SUITE             K,608.27
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,24 November 2011,3663,5315161,Revenue,1KF04,STAFF RESTAURANT             K,477.48
Environment & Regeneration,Cityworks Clean E/C        ,Supplies & Services,03 November 2011, BIN MASTERS LTD,5291669,Revenue,1KE42,Waste Coll Trade Overhead    K,"2,815.00"
Environment & Regeneration,Cityworks Clean E/C        ,Supplies & Services,07 November 2011, BIN MASTERS LTD,5294639,Revenue,1KE42,Waste Coll Trade Overhead    K,"2,794.10"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",22 November 2011, ORCHARD CARE HOME .COM (3)LTD,5311519,Revenue,1MG10,Ind Nursing Care Elderly     M,-409.44
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",22 November 2011, ORCHARD CARE HOME .COM (3)LTD,5311520,Revenue,1MG10,Ind Nursing Care Elderly     M,-545.92
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22 November 2011, ORCHARD CARE HOME .COM (3)LTD,5311519,Revenue,1MG10,Ind Nursing Care Elderly     M,"1,315.89"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22 November 2011, ORCHARD CARE HOME .COM (3)LTD,5311520,Revenue,1MG10,Ind Nursing Care Elderly     M,"1,754.52"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22 November 2011,18 SEA VIEW VILLAS,5311185,Revenue,1MK34,Shared Lives - Adult LD      M,852.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22 November 2011,18 SEA VIEW VILLAS,5311186,Revenue,1MK34,Shared Lives - Adult LD      M,"1,136.00"
Environment & Regeneration,Cityworks East End Pool    ,Supplies & Services,25 November 2011,20-20 VISION SYSTEMS LTD,5316871,Revenue,1KL1D,East End Pool                K,959.53
Environment & Regeneration,NS: Asset Man              ,Premises,30 November 2011,20-20 VISION SYSTEMS LTD,5323822,Revenue,1DR03,Grainger Market              F,"1,629.02"
Environment & Regeneration,Cityworks City Hall         ,Supplies & Services,22 November 2011,3A ENTERTAINMENT LTD,5311777,Revenue,3KLCH,City Hall Holding Account    K,"32,314.52"
Environment & Regeneration,Fleet Management System                ,Supplies & Services,22 November 2011,A M HIRE,5306394,Revenue,1KESY,Fleet Services Hire Office   K,435.50
Children's Services,EDUCATION                              ,Third Party Payments,22 November 2011,A WILDERNESS WAY,5310786,Revenue,1MC02,IND Sector Placements        E,"10,500.00"
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16 November 2011,A&J KEITH LTD,5305381,Revenue,1KBAA,Building Contracts           K,"2,125.00"
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,09 November 2011,A&J KEITH LTD,5299394,Revenue,1KBRM,Sub Contractors R & M        K,"100,763.35"
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,24 November 2011,A&J KEITH LTD,5316161,Revenue,1KBAA,Building Contracts           K,"119,250.00"
Environment & Regeneration,NS: Voids                  ,Supplies & Services,11 November 2011,A&J KEITH LTD,5302101,Revenue,1KM1C,VOIDS 2.5 CENTRAL            K,310.29
Environment & Regeneration,NS: Voids                  ,Supplies & Services,11 November 2011,A&J KEITH LTD,5302101,Revenue,1KM1E,VOIDS 2.5 EAST               K,0.00
Environment & Regeneration,NS: Voids                  ,Supplies & Services,11 November 2011,A&J KEITH LTD,5302101,Revenue,1KM1W,VOIDS 2.5 WEST               K,576.85
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,17 November 2011,A&S LOCKSMITHS,5306451,Revenue,1KBAA,Building Contracts           K,"1,020.64"
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,02 November 2011,A&S LOCKSMITHS,5281274,Revenue,1KEMV,Blacksmiths Overheads        K,454.44
