Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Voids maintenance - HRA,Void repairs,02-Mar-2016,200029044,AB Mitchell Developments,"22,104.97"
Barrow Borough Council,Dock museum,Electricity,23-Mar-2016,200029332,NPower,"2,034.17"
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,02-Mar-2016,200029033,Keith Wilson Elec Con Ltd,"3,929.90"
Barrow Borough Council,Comedy Club Nights - 24.4.15 - 1.4.16,Professional fees,23-Mar-2016,200029296,Just Fair Laughs,800.00
Barrow Borough Council,Dock museum,Equipment purchase,02-Mar-2016,200028990,ERCO Lighting Ltd,510.14
Barrow Borough Council,Public conveniences,Building cleaning,09-Mar-2016,200029063,Growing Concerns,"2,400.00"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,02-Mar-2016,200028995,DLP Services (Northern) Ltd,"7,906.86"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,16-Mar-2016,200029267,Rexel UK Ltd,"1,239.27"
Barrow Borough Council,Suspense accounts,Income suspense account,23-Mar-2016,200029421,United Utilities Water Plc,689.81
Barrow Borough Council,Major works maintenance - HRA,Doors,16-Mar-2016,200029265,Top Notch Contractors Ltd,"9,936.36"
Barrow Borough Council,Recycling Reward Scheme,Publicity and promotion,09-Mar-2016,200029123,Go Promotional,"6,374.00"
Barrow Borough Council,The Billy Fury Story - 4.3.16,Professional fees,16-Mar-2016,200029216,The Billy Fury Story Ltd,"5,073.75"
Barrow Borough Council,The park leisure centre,Electricity,23-Mar-2016,200029332,NPower,709.51
Barrow Borough Council,The park leisure centre,Electricity,23-Mar-2016,200029332,NPower,-682.36
Barrow Borough Council,The park leisure centre,Buildings repairs and maintenance,16-Mar-2016,200029277,Optech Fibres,549.00
Barrow Borough Council,Playground,Equipment purchase,02-Mar-2016,200029020,Rainbow Safety Surfacing,"1,200.00"
Barrow Borough Council,Salthouse Road Depot,Electricity,23-Mar-2016,200029332,NPower,"1,510.98"
Barrow Borough Council,Forum catering,Catering contract - Forum,23-Mar-2016,200029340,Elior UK Ltd,"1,726.49"
Barrow Borough Council,Current assets - payments in advance,Payment in advance - GF,09-Mar-2016,200029165,Northgate Public Services (UK) Ltd,"23,000.00"
Barrow Borough Council,Abbey musical society,Professional fees,23-Mar-2016,200029407,Linney PA Systems,"1,084.18"
Barrow Borough Council,The park leisure centre,Professional fees,09-Mar-2016,200029124,V4 Services Ltd,"3,975.00"
Barrow Borough Council,Coast protection,CAPITA dbs fees,09-Mar-2016,200029142,Capita Symonds Ltd,"2,674.49"
Barrow Borough Council,Licensing,Professional fees,16-Mar-2016,200029258,Ark Givendale Ltd,"1,866.80"
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,23-Mar-2016,200029328,Securitas Security Services (UK) Ltd,600.00
Barrow Borough Council,Capitalised Planned Maintenance,Heating,23-Mar-2016,200029353,AB Mitchell Developments,"6,723.44"
Barrow Borough Council,Crematorium,Specialised work,23-Mar-2016,200029403,FTS Fire & Secuirty Ltd,"2,016.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,16-Mar-2016,200029175,Hughes Brothers,"13,937.12"
Barrow Borough Council,Coastal Communities Fund,Professional fees,02-Mar-2016,200029010,S&T Klosinski Economic Dev Conulstants Ltd,"5,038.16"
Barrow Borough Council,Major works maintenance - HRA,Windows,16-Mar-2016,200029265,Top Notch Contractors Ltd,"17,158.43"
Barrow Borough Council,Forum 28,Cleaning materials,09-Mar-2016,200029098,Elior UK Ltd,"1,070.02"
Barrow Borough Council,The park leisure centre,Electricity,23-Mar-2016,200029332,NPower,847.68
Barrow Borough Council,Waste collection,Refuse collection,09-Mar-2016,200029078,Biffa Waste Services Ltd,"65,541.92"
Barrow Borough Council,Information technology,Computer hardware purchase,16-Mar-2016,200029206,CAE Technology Services,515.00
Barrow Borough Council,Legal,Solicitors fees,23-Mar-2016,200029388,Brown Barron Solicitors,"6,612.00"
Barrow Borough Council,Human Resources,IT training,16-Mar-2016,200029264,Datrix Training,"2,250.00"
Barrow Borough Council,Forum catering,Catering contract - Forum,09-Mar-2016,200029098,Elior UK Ltd,"3,440.83"
Barrow Borough Council,Current assets - payments in advance,Payment in advance - GF,16-Mar-2016,200029263,The Natural History Museum Trading Co Ltd,"2,178.00"
Barrow Borough Council,Parks and open spaces,Grounds maintenance,23-Mar-2016,200029389,Greaves Tree Services Ltd,"1,000.00"
Barrow Borough Council,Occupational health,Professional fees,23-Mar-2016,200029343,Your Best Option,935.00
