Depart-ment Family ,Entity, Date,Expense Type,Expense Area,Supplier,Trans-action Number,Amount,Distrib-ution Line Number
DCMS,ODA,03-Sep-12,Delivery partner CLM,CLM Fees,CLM Delivery Partner Ltd,2683,-24306.05,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,2683,-4861.21,2
DCMS,ODA,03-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,2684,-52870.68,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,2684,-10574.14,2
DCMS,ODA,03-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,2684,52870.68,3
DCMS,ODA,03-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,2684,-43952.84,4
DCMS,ODA,03-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,2684,-8917.84,5
DCMS,ODA,03-Sep-12,Other Professional Fees,Heavy Rail Performance & Industry Costs,Ove Arup & Partners Limited,73622,30282,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,73622,6056.4,2
DCMS,ODA,03-Sep-12,Consultants,Stanton Williams,Stanton Williams,73654,36730,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Stanton Williams,73654,7346,2
DCMS,ODA,03-Sep-12,Consultants,Stanton Williams,Stanton Williams,75174,29730,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Stanton Williams,75174,5946,2
DCMS,ODA,03-Sep-12,Grant Payable,Hackney Community College,Hackney Community College,75479,33120,1
DCMS,ODA,03-Sep-12,Other Professional Fees,Strategic Park & Ride Opex,Mott MacDonald Ltd,75561,66560.41,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,75561,13312.08,2
DCMS,ODA,03-Sep-12,Other Professional Fees,Venue Shuttle/Park & Ride Opex,Mott MacDonald Ltd,75567,24471.51,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,75567,4894.3,2
