Title:,"All species index, individual species trends, based on smoothed trend data",,,,,
Year:,1970-2014,,,,,
Geography:,UK,,,,,
Units:,Index  1970=100,,,,,
Source:,"British Trust for Ornithology (BTO), Royal Society for the Protection of Birds (RSPB)",,,,,
URL:,https://www.gov.uk/government/statistics/wild-bird-populations-in-england,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,
Nat. Statistic:,Yes,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 2A Nobel House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,
Release Date:,18/05/2017 revised 29/06/2017,,,,,
Notes:,Index  (1970=100),,,,,
Farmland birds,,,,,,
Generalists (7),,,,,,
,Long term change (1970-2014),,,Short term change (2007-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Greenfinch (Chloris chloris),-39,-1.13,no change,-39,-9.47,strong decline
Jackdaw (Corvus monedula),152,2.12,weak increase,15,2.79,weak increase
Kestrel (Falco tinnunculus),-48,-1.49,weak decline,-18,-3.99,strong decline
Reed Bunting (Emberiza schoeniclus),-32,-0.86,no change,4,0.8,no change
Rook (Corvus frugilegus),7,0.17,no change,-7,-1.52,weak decline
Woodpigeon (Columba palumbus),124,1.85,weak increase,-2,-0.42,no change
Yellow Wagtail (Motacilla flava),-68,-2.56,weak decline,24,4.32,strong increase
Specialists (12),,,,,,
,Long term change (1970-2014),,,Short term change (2009-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Corn Bunting (Emberiza calandra),-90,-5.02,strong decline,0,-0.04,no change
Goldfinch (Carduelis carduelis),154,2.14,weak increase,22,4.08,strong increase
Grey Partridge (Perdix perdix),-92,-5.46,strong decline,-15,-3.24,strong decline
Lapwing (Vanellus vanellus),-64,-2.28,weak decline,-27,-6.12,strong decline
Linnet (Carduelis cannabina),-57,-1.9,weak decline,-1,-0.21,no change
Skylark (Alauda arvensis),-60,-2.05,weak decline,-10,-2.18,weak decline
Starling (Sturnus vulgaris),-80,-3.64,strong decline,-8,-1.72,weak decline
Stock Dove (Columba oenas),116,1.76,weak increase,22,4.06,strong increase
Tree Sparrow (Passer montanus),-90,-5.03,strong decline,22,4.14,strong increase
Turtle Dove (Streptopelia turtur),-97,-8.01,strong decline,-70,-21.41,strong decline
Whitethroat (Sylvia communis),-3,-0.07,no change,6,1.23,weak increase
Woodland birds,,,,,,
Generalists (12),,,,,,
