Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount,DESCRIPTION
DWP,HEALTH AND SAFETY EXECUTIVE,01/11/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010180193""",3488.94,PFI FINANCE CHARGE OCTOBER 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/11/2012,PFI CHARGES,CENTRAL EXPENDITURE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010180193""",60519.87,CAPITAL EXPENDITURE - BOOTLE  OCTOBER 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/11/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010180193""",325130.33,BOOTLE UNITARY PAYMENT OCTOBER 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/11/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010180193""",407809.77,PFI FINANCE CHARGE SEPTEMBER 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/11/2012,LAW TRIBUNAL & LEGAL COSTS,FIELD OPERATIONS DIRECTORATE,FIELDINGS PORTER,"=""0010180206""",300.75,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,01/11/2012,SOLICITOR'S AGENT COSTS,FIELD OPERATIONS DIRECTORATE,FIELDINGS PORTER,"=""0010180206""",14502.00,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,01/11/2012,COUNSEL FEES,FIELD OPERATIONS DIRECTORATE,FIELDINGS PORTER,"=""0010180206""",43075.80,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,01/11/2012,NUCLEAR SAFETY STUDIES,OFFICE FOR NUCLEAR REGULATION,VTT TECHNICAL RESEARCH CENTRE OF FINLAND,"=""0010180239""",48636.00,ONR144 - IMPACT RESEARCH - 1ST PAYMENT FOR 2012
DWP,HEALTH AND SAFETY EXECUTIVE,06/11/2012,LICENSING CHARGES,FIELD OPERATIONS DIRECTORATE,ADVENTURE ACTIVITIES LICENCING SERVICE,"=""0010180288""",42216.02,AALA OCTOBER 2012 INVOICE
DWP,HEALTH AND SAFETY EXECUTIVE,08/11/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,GVA GRIMLEY LTD,"=""0010180301""",8797.91,GLASGOW SERVICE CHARGE 11/11/12 - 01/02/12
DWP,HEALTH AND SAFETY EXECUTIVE,08/11/2012,RENTS,BUSINESS SERVICES DIRECTORATE,GVA GRIMLEY LTD,"=""0010180301""",52797.13,GLASGOW RENT 11/11/12 - 01/02/13
DWP,HEALTH AND SAFETY EXECUTIVE,08/11/2012,ELECTRICITY,BUSINESS SERVICES DIRECTORATE,DWP,"=""0010180310""",943.15,LONDON ELECTRICITY QTR 2
DWP,HEALTH AND SAFETY EXECUTIVE,08/11/2012,RATES,BUSINESS SERVICES DIRECTORATE,DWP,"=""0010180310""",7952.24,LONDON RATES QTR 2
DWP,HEALTH AND SAFETY EXECUTIVE,08/11/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,DWP,"=""0010180310""",24806.92,LONDON RENT/SERVICE CHARGE QTR 2
DWP,HEALTH AND SAFETY EXECUTIVE,08/11/2012,HOTEL ACCOMMODATION,CENTRAL EXPENDITURE,REDFERN TRAVEL LTD,"=""0010180335""",22541.02,HOTEL CONTRACT 28/10/12
DWP,HEALTH AND SAFETY EXECUTIVE,08/11/2012,TRAVEL SERVICES,CENTRAL EXPENDITURE,REDFERN TRAVEL LTD,"=""0010180335""",53340.11,TRAVEL CONTRACT 28/10/12
DWP,HEALTH AND SAFETY EXECUTIVE,13/11/2012,ELECTRICITY,BUSINESS SERVICES DIRECTORATE,EDF ENERGY,"=""0010180374""",36440.09,BOOTLE ELECTRICITY OCTOBER
