"16.3 Total UK Bilateral, DAC Bilateral and Multilateral Net ODA (Americas) 2005-2009",,,,,
,,,,,
,,,,,£ thousands
 ,,UK Net Bilateral ODA,    of which: Debt Relief,"Total DAC Countries ODA2,3","Total DAC Multilateral Agencies ODA2,3"
,,,,,
North and Central America,,,,,
Costa Rica,2005, 3 251, - , 14 006 ,   83 
,2006,-  250, - , 11 281 ,  5 809 
,2007,- 5 981, - , 25 035 ,  3 788 
,2008,-  81 , - ,  34 201 ,  2 128 
,2009, 1 640 , - ,.., .. 
,,   ,   ,   , 
Cuba,2005, 4 967, - , 37 418 ,  10 375 
,2006,- 1 590, - , 30 898 ,  19 562 
,2007,- 2 429, - , 28 463 ,  15 771 
,2008,   132 , - ,  50 793 ,  16 835 
,2009,  610 , - ,.., .. 
,,   ,   ,,
El Salvador,2005,   11 , - , 90 563 ,21 547 
,2006,  6 130 , - , 82 026 ,6 347 
,2007,- 48 341, - , 36 278 ,7 630 
,2008,   18 , - ,  113 751 ,  15 011 
,2009,  21 , - ,.., .. 
,,   ,   ,,
Guatemala,2005,  39, - , 121 319 ,  19 666 
,2006,- 2 530, - , 243 128 ,  19 926 
,2007,- 13 792, - , 207 470 ,  19 458 
,2008,   363 , - ,  259 581 ,  36 517 
,2009,  463 , - ,.., .. 
,,   ,   ,,
Haiti 1,2005,   748 , - , 156 234 ,  77 878 
,2006,  1 090 , - , 197 439 ,  118 592 
,2007, - , - , 217 105 ,  133 440 
,2008, - , - ,  307 799 ,  195 916 
,2009, 5 101 , - ,.., .. 
,,   ,   ,,
Honduras,2005,  16 630 ,  15 511 , 251 968 ,  128 773 
,2006,   590 ,   980 , 209 589 ,  114 641 
,2007, - , - , 146 262 ,  85 234 
,2008,   18 , - ,  196 634 ,  115 216 
,2009,  63 , - ,.., .. 
,,   ,   ,,
Mexico,2005,- 5 319, - , 88 616 ,  10 265 
,2006, - , - , 113 701 ,  32 620 
,2007,  1 149 , - , 39 626 ,  16 675 
,2008,  3 733 , - ,  58 221 ,  23 788 
,2009, 7 452 , - ,.., .. 
,,   ,   ,,
Nicaragua ,2005,  3 378 ,   352 , 280 656 ,  139 032 
,2006,  5 030 ,   150 , 212 518 ,  188 946 
,2007,- 3 428, - , 251 349 ,  152 558 
,2008,  5 891 , - ,  298 640 ,  109 086 
,2009, 4 518 , - ,.., .. 
,,   ,   ,,
Panama,2005,   28 , - , 9 836 ,  4 819 
,2006,- 5 820, - , 10 694 ,  6 097 
,2007,- 81 091, - ,- 68 704 ,  1 169 
,2008,   20 , - ,  15 067 ,   613 
,2009,  48 , - ,.., .. 
,,   ,   ,,
North & Central America Regional,2005, - , - , 107 990 ,  47 655 
,2006, - , - , 85 852 ,  32 479 
,2007,  15 661 , - , 101 979 ,  63 242 
,2008, 6 225, - ,  132 642 ,  85 403 
,2009,  849 , - ,.., .. 
,,   ,   ,,
Total North and Central,2005,  23 733 ,  15 863 ,1 158 604 , 460 093 
America,2006,  2 650 ,  1 130 ,1 197 127 , 545 019 
,2007,- 138 252, - , 984 864 , 498 965 
,2008,  16 319 , - ,1 467 330 , 600 514 
,2009,  20 765 , - ,.., .. 
,,,,,
Caribbean,,   ,   ,,
Anguilla,2005,  1 502 , - , 2 365 ,- 160 
,2006,   150 , - ,  168 ,  2 233 
,2007,   115 , - , 1 309 ,  1 324 
,2008,   28 , - ,   44 ,  1 807 
,2009,  136 , - ,.., .. 
,,   ,   ,,
Antigua & Barbuda,2005, - , - , 3 862 ,   116 
,2006, - , - , 1 168 ,   614 
,2007,   5 , - , 1 059 ,  2 623 
,2008,   11 , - ,   343 ,  3 714 
,2009,  4 , - ,.., .. 
,,   ,   ,,
Barbados,2005,  1 342 , - ,  3 328 ,- 4 335
,2006,   20 , - ,  1 717 ,- 2 847
,2007,  1 249 , - ,  3 613 ,  5 132 
,2008,   97 , - ,   669 ,  1 995 
,2009,  290 , - ,.., .. 
,,   ,   ,,
Belize,2005,  1 095 ,   963 ,  4 120 ,  3 075 
,2006,   190 ,   960 ,  2 255 ,  3 048 
,2007,   25 ,   646 ,  4 242 ,  7 171 
,2008,   52 , - ,  2 454 ,  11 120 
,2009,  33 , - ,.., .. 
,,   ,   ,,
Dominica,2005,   490 , - ,  2 547 ,  5 919 
,2006,   100 ,   540 ,  1 011 ,  9 493 
,2007, - ,   541 ,  1 819 ,  7 940 
,2008,   134 , - ,   298 ,  11 999 
,2009,  1 , - ,.., .. 
,,   ,   ,,
Dominican Republic,2005,  281, - ,  30 718 ,  13 615 
,2006,- 39 080, - ,  7 939 ,  21 285 
,2007,- 18 664, - ,  13 247 ,  48 206 
,2008,   818 , - ,  51 506 ,  32 852 
,2009,  64 , - ,.., .. 
,,   ,   ,,
Grenada,2005,  5 941 , - ,  14 380 ,  13 505 
,2006,   440 , - ,  1 875 ,  12 792 
,2007, - ,   56 ,  2 299 ,  9 814 
,2008,   13 , - ,   746 ,  17 029 
,2009,  16 , - ,.., .. 
,,   ,   ,,
Guyana,2005,  6 651 , - ,  22 054 ,  60 401 
,2006,  3 440 ,   330 ,  25 333 ,  69 387 
,2007,  2 314 , - ,  20 298 ,  43 584 
,2008,  2 576 , - ,  23 142 ,  68 341 
,2009,1 379,   47 ,.., .. 
,,   ,   ,,
Jamaica,2005,  12 729 ,  7 941 ,6 271 ,  13 642 
