Minister,Date,Name of External Organisation,Purpose of meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Virgin Trains,Rail Franchising
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,"Nigel Harris, Rail Magazine",Introductory Chat
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Association of Chief Police Officers,Road Safety
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,RAC Foundation,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,HS2 Ltd,Regular update meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Leeds Council,HS2
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Alstom,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Confederation of British Industry,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,"SMMT,AA,Association of Chief Police Officers, Centre for Automotive Management, RAC Foundation, CBT, FTA, ABI, BVRLA, TfL, RAC Motoring",Motorists Forum
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Trentbarton Buses,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Crich Tramway Village,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,WyvernRail plc,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Passenger Transport Executive Group,Urban transport policy
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Rail Delivery Group,Rail Industry Strategy
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-12,Stagecoach,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Greater Manchester Chamber of Commerce,Local transport issues
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Manchester Airport Group,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,British Airways,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Virgin Atlantic,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,"Alstom Transportation, Bombardier Transportation, Construcciones y Auxiliar de Ferrocarriles, Hitachi Rail UK, Siemens Rail Systems, Association of Train Operating Companies, Railway Industry Association, Rail Alliance, Balfour Beatty, Atkins Global, Colas International, Unipart, Invensys Rail, Network Rail, London Undergrouns and London Rail, Crossrail, High Speed 2, Tata Steel Europe, National Skills Academy for Railway Engineers",Rail issues
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Crossrail,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,The Airline Group,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Flybe,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,"Airbus, Rolls Royce",EU ETS
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,"Coventry City Council, Coventry & Warwickshire Chamber of Commerce",HS2
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Rail Delivery Group,Industry Forum Event
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Confederation of Passenger Transport,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Virgin Trains,West Coast
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,SNCF,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Eurotunnel,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Heathrow Airport,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Association of British Insurers,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Civil Aviation Authority,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,"Birmingham and Solihull Local Enterprise Partnership, Birmingham City Council, Wolverhampton City Council, Black Country Local Enterprise Partnership, Solihull Metropolitan Borough Council",Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Virgin Group,West Coast
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Independent Transport Commission,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Solihull Metropolitan Borough Council,HS2
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Rail Delivery Group,Regular update meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-12,Nissan,Charging Infrastructure
