AREA FLEXIBILITY FUNDING - GRANT AWARDS 2015/16,,,,,,
"Each of Stockport’s 21 wards currently receive £3,000 per year to support activities of local community or voluntary groups, small projects or individuals that contribute positively to the environmental, economic or social wellbeing of people within the particular ward.
Applications are welcomed from groups/organisations for projects that will contribute to the environmental, economic or social wellbeing of the ward.",,,,,,
Date,Time Period (Delivery period),Area Committee which awarded the Grant,Beneficiary,Beneficiary Reg No.,Summary of the purpose of the grant,Amount
12/05/2015,2015-16,Stepping Hill,3rd Offerton Scouts,,Support for hire of vehicles for camp trip,"£1,000.00"
15/05/2015,2015-16,Stepping Hill,Alan Newton,,Support to participate in the BUPA Olympians' Westerminster Mile,£500.00
08/06/2015,2015-16,Heatons and Reddish,Reddish Vale Community Group,,Activities in South Reddish Community,£700.00
08/06/2015,2015-16,Heatons and Reddish,St John The Baptist Church,,Garden of Rememberance revitalisation,"£1,000.00"
08/06/2015,2015-16,Heatons and Reddish,Stockport Bowls Development Group,,Coaching sessions at Primary Schools,£800.00
08/06/2015,2015-16,Heatons and Reddish,Keep IN Touch Entertainment Society,,Running of Drama Group,£600.00
08/06/2015,2015-16,Werneth,Romiley Rise & Shine Group,,Costs associated with transportation for the Group's annual 'day out' to Llandudno,£250.00
08/06/2015,2015-16,Werneth,Move it or Lose It,,Exercise classes for older people,£967.00
09/06/2015,2015-16,Cheadle,All Hallows Church Youth Group,,Youth Group activites,£500.00
09/06/2015,2015-16,Stepping Hill,Hazel Grove Allotment Association,,Purchase of a petrol driven generator and associated equipment,£549.00
09/06/2015,2015-16,Stepping Hill,Olivia Royan,,Support to attend the Dance World Cup in Romania,£300.00
10/06/2015,2015-16,Marple,Marple Carnival Committee,,"Marple Carnival - Toilet Hire, Walkie Talkie Hire","£1,000.00"
10/06/2015,2015-16,Marple,St Martins Church,,Repair Stained Glass Window,£300.00
11/06/2015,2015-16,Central Stockport,"The Royal British Legion, Hazel Grove",,Hire of vehicle for Armed Forces Day event,£100.00
08/06/2015,2015-16,Heatons and Reddish,Heatons Heritage Society,,Will be paid via in ternal budget requsition - Signage project on the Heatons,£834.00
25/06/2015,2015-16,Central Stockport,Roughley's Bike Show,,Licence fee,£100.00
07/07/2015,2015-16,Heatons and Reddish,Targeted Youth Engagement Service,,Towards cost of detached youth projects with young women,£600.00
07/07/2015,2015-16,Central Stockport,Targeted Youth Engagement Service,,Towards cost of detached youth projects with young women,"£1,000.00"
07/07/2015,2015-16,Werneth,Targeted Youth Engagement Service,,Towards cost of detached youth projects with young women,£150.00
07/07/2015,2015-16,Bramhall & Cheadle Hulme South,Targeted Youth Engagement Service,,Towards cost of detached youth projects with young women,£750.00
13/07/2015,2015-16,Central Stockport,Parish of Edgeley and Cheadle Heath,,Friendship group for isolated and vulnerable adults,£500.00
