"Invoice payments over £25,000 for the period May 2012",,,,,,,,
,,,,,,,,
Department family,Entity,Paid Date,Expense type,Expense area,Supplier,Transaction number,Amount £'s,Vat Reg No
Department of Health,Great Yarmouth & Waveney PCT,15/05/2012,GP/Opthalmic Payments,Primary Care,Anglia Support Partnership,426,"1,478,995.09",654426433
Department of Health,Great Yarmouth & Waveney PCT,15/05/2012,GP/Opthalmic Payments,Primary Care,Anglia Support Partnership,437,"1,079,551.76",654426433
Department of Health,Great Yarmouth & Waveney PCT,23/05/2012,Drugs,Non Tariff & Exceptional Drugs,JAMES PAGET UNIVERSITY HOSPITAL NHS FOUN,60014254,"554,416.67",654926212
Department of Health,Great Yarmouth & Waveney PCT,02/05/2012,Additions - Assets Under Construction,Capital,Tudor Trading Modular Ltd,60014349,"37,907.00",800315488
Department of Health,Great Yarmouth & Waveney PCT,23/05/2012,Healthcare,Acute Providers,Cambridge University Hospitals NHS FT,60014358,"57,323.35",654910528
Department of Health,Great Yarmouth & Waveney PCT,09/05/2012,Healthcare,Other NHS Providers,EAST OF ENGLAND AMBULANCE SERVICE TRUST,60014366,"736,860.00",654919501
Department of Health,Great Yarmouth & Waveney PCT,23/05/2012,GP Other Payments,Primary Care,MALLING HEALTH (UK) LTD,60014377,"87,313.00",974968053
Department of Health,Great Yarmouth & Waveney PCT,09/05/2012,Healthcare,Other NHS Providers,EAST OF ENGLAND AMBULANCE SERVICE TRUST,60014444,"95,680.00",654919501
Department of Health,Great Yarmouth & Waveney PCT,09/05/2012,Service Level Agreement - Block Contract,Integrated Drug Treatment System (IDTS),SUFFOLK COUNTY COUNCIL,60014527,"274,943.00",104178791
Department of Health,Great Yarmouth & Waveney PCT,09/05/2012,Service Level Agreement - Block Contract,NORCAS,SUFFOLK COUNTY COUNCIL,60014692,"400,000.00",104178791
Department of Health,Great Yarmouth & Waveney PCT,09/05/2012,Healthcare,Specialist,South East Essex PCT,60014702,"280,775.00",654436723
Department of Health,Great Yarmouth & Waveney PCT,23/05/2012,Healthcare,Continuing Care,SUFFOLK COUNTY COUNCIL,60014865,"35,412.00",104178791
Department of Health,Great Yarmouth & Waveney PCT,02/05/2012,Local Incentive Scheme,Healtheast,Healtheast CIC,60014942,"34,000.00",
Department of Health,Great Yarmouth & Waveney PCT,02/05/2012,Healthcare,Non NHS Providers,Spire Healthcare,60015039,"64,057.67",915970991
Department of Health,Great Yarmouth & Waveney PCT,09/05/2012,Drugs,Non Tariff & Exceptional Drugs,Norfolk & Norwich University Hosp NHS FT,60015051,"-29,782.52",654931321
