CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,11461,92.2%,976,7.8%
P01-Avon&Somerset,349,94.1%,22,5.9%
P02-Bedfordshire,109,90.1%,12,9.9%
P03-Cambridgeshire,139,90.8%,14,9.2%
P04-Cheshire,202,93.5%,14,6.5%
P06-Cleveland,225,91.8%,20,8.2%
P07-Cumbria,120,98.4%,2,1.6%
P08-Derbyshire,133,86.4%,21,13.6%
P09-Devon&Cornwall,198,92.5%,16,7.5%
P10-Dorset,126,92.0%,11,8.0%
P11-Durham,148,91.9%,13,8.1%
P12-DyfedPowys,98,97.0%,3,3.0%
P13-Essex,347,92.8%,27,7.2%
P14-Gloucestershire,86,94.5%,5,5.5%
P15-GreaterManchester,702,93.6%,48,6.4%
P16-Gwent,158,95.8%,7,4.2%
P17-Hampshire,397,89.4%,47,10.6%
P18-Hertfordshire,175,89.3%,21,10.7%
P19-Humberside,280,95.2%,14,4.8%
P20-Kent,376,92.8%,29,7.2%
P21-Lancashire,453,93.2%,33,6.8%
P22-Leicestershire,148,91.9%,13,8.1%
P23-Lincolnshire,122,87.8%,17,12.2%
P24-Merseyside,314,91.8%,28,8.2%
P25-Metropolitan&City,1627,90.5%,171,9.5%
P26-Norfolk,142,91.0%,14,9.0%
P27-Northamptonshire,102,93.6%,7,6.4%
P28-Northumbria,523,94.9%,28,5.1%
P29-NorthWales,153,94.4%,9,5.6%
P30-NorthYorkshire,198,93.8%,13,6.2%
P31-Nottinghamshire,277,93.9%,18,6.1%
P32-SouthWales,353,91.2%,34,8.8%
P33-SouthYorkshire,320,93.8%,21,6.2%
P34-Staffordshire,191,91.0%,19,9.0%
P35-Suffolk,114,91.2%,11,8.8%
P36-Surrey,125,100.0%,0,0.0%
P37-Sussex,246,93.9%,16,6.1%
P38-ThamesValley,367,90.0%,41,10.0%
P39-Warwickshire,51,92.7%,4,7.3%
P40-WestMercia,206,96.3%,8,3.7%
P41-WestMidlands,489,91.7%,44,8.3%
P42-WestYorkshire,481,87.6%,68,12.4%
P43-Wiltshire,91,87.5%,13,12.5%
