Transparency Report,,,,,,,
From,01-Mar-13,,,,,,
To,31-Mar-13,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
DCMS,Victoria & Albert Museum,05/03/2013,Fit Out,Operational Costs,Hub Limited,IN041876,"356,160.00"
DCMS,Victoria & Albert Museum,11/03/2013,Mechanical & Electrical Services,Operational Costs,Cofely GDF Suez Ltd,IN041958,"70,457.81"
DCMS,Victoria & Albert Museum,11/03/2013,Exhibition Design,Operational Costs,Fifty Nine Productions,IN041674,"26,000.00"
DCMS,Victoria & Albert Museum,11/03/2013,Professional Assistance,Operational Costs,BNP Paribas Real Estate,IN041691,"57,226.00"
DCMS,Victoria & Albert Museum,11/03/2013,Mechanical & Electrical Engineer,Operational Costs,Ove Arup & Partners Ltd,IN039347,"105,525.00"
DCMS,Victoria & Albert Museum,11/03/2013,Mechanical & Electrical Engineer,Operational Costs,Ove Arup & Partners Ltd,IN041116,"65,712.00"
DCMS,Victoria & Albert Museum,12/03/2013,Architect Costs,Operational Costs,Amanda Levete Architects,IN042222,"63,574.43"
DCMS,Victoria & Albert Museum,12/03/2013,Temporary Contractors,Operational Costs,Hub Limited,IN042146,"81,025.00"
DCMS,Victoria & Albert Museum,18/03/2013,"Prizes, Awards and Scholarships",Operational Costs,Royal College Of Art,IN039450,"26,900.00"
DCMS,Victoria & Albert Museum,18/03/2013,Signage & Wayfinding,Operational Costs,Holmes Wood Consultancy Ltd,IN041195,"34,547.00"
DCMS,Victoria & Albert Museum,18/03/2013,Data Communication Purchase,Operational Costs,BT iNet,IN042324,"31,030.53"
DCMS,Victoria & Albert Museum,18/03/2013,Data Communication Purchase,Operational Costs,BT iNet,IN042325,"27,697.11"
DCMS,Victoria & Albert Museum,18/03/2013,Maintenance - General,Operational Costs,Coniston Ltd.,IN041954,"36,000.00"
DCMS,Victoria & Albert Museum,18/03/2013,Construction (Main Contracts),Buildings/Futureplan,Mitie Built Environment Ltd,IN042122,"120,922.65"
DCMS,Victoria & Albert Museum,18/03/2013,Advertising,Operational Costs,Total Media Limited,IN042290,"25,770.75"
DCMS,Victoria & Albert Museum,18/03/2013,Cleaning,Operational Costs,Ocs Group Uk Limited,IN042300,"85,958.77"
DCMS,Victoria & Albert Museum,18/03/2013,Electricity,Operational Costs,Natural History Museum,IN042314,"42,145.53"
DCMS,Victoria & Albert Museum,18/03/2013,Electricity,Operational Costs,Natural History Museum,IN042316,"55,688.36"
DCMS,Victoria & Albert Museum,18/03/2013,Electricity,Operational Costs,Natural History Museum,IN042317,"70,093.60"
DCMS,Victoria & Albert Museum,18/03/2013,Security Costs,Operational Costs,Wilson James Ltd,IN042379,"177,100.59"
DCMS,Victoria & Albert Museum,21/03/2013,Acquisitions,Acquisitions,LM Tietopalvelut Oy,IN042667,"35,000.00"
DCMS,Victoria & Albert Museum,26/03/2013,Rent,Operational Costs,Harving Ltd,IN041773,"25,740.00"
DCMS,Victoria & Albert Museum,28/03/2013,Software Maintenance & Licences,Operational Costs,Squiz Ltd,IN042116,"33,000.00"
DCMS,Victoria & Albert Museum,28/03/2013,IT/AV Hardware Purchase,Operational Costs,Specialist Computer Centres PLC,IN043162,"101,931.26"
DCMS,Victoria & Albert Museum,31/03/2013,Security Costs,Operational Costs,Wilson James Ltd,IN042384,"34,059.35"
DCMS,Victoria & Albert Museum,31/03/2013,Professional Assistance,Operational Costs,Deloitte MCS,IN042733,"80,600.00"
DCMS,Victoria & Albert Museum,31/03/2013,Maintenance - General,Operational Costs,British Museum,IN042645,"29,539.79"
DCMS,Victoria & Albert Museum,31/03/2013,Maintenance - Lifts,Operational Costs,Cofely GDF Suez Ltd,IN043042,"33,400.40"
DCMS,Victoria & Albert Museum,31/03/2013,Maintenance - General,Operational Costs,Cofely GDF Suez Ltd,IN043046,"43,717.56"
DCMS,Victoria & Albert Museum,31/03/2013,Fit Out,Operational Costs,Sykes & Son Ltd,IN042884,"39,488.00"
DCMS,Victoria & Albert Museum,28/03/2013,Models/Mock Ups,Buildings/Futureplan,Octatube International BV,IN042900,"32,138.00"
DCMS,Victoria & Albert Museum,31/03/2013,Object Transport,Operational Costs,Constantine Limited,IN042743,"31,770.24"
DCMS,Victoria & Albert Museum,31/03/2013,Object Transport,Operational Costs,Constantine Limited,IN042743,"1,705.00"
DCMS,Victoria & Albert Museum,31/03/2013,Maintenance - Fixtures & Fittings,Operational Costs,Cofely GDF Suez Ltd,IN043222,"110,000.00"
DCMS,Victoria & Albert Museum,31/03/2013,Mechanical & Electrical Services,Operational Costs,Cofely GDF Suez Ltd,IN043290,"70,457.81"
DCMS,Victoria & Albert Museum,31/03/2013,Security Costs,Museum of Childhood,Wilson James Ltd,IN043303,"34,157.67"
DCMS,Victoria & Albert Museum,31/03/2013,Catering,Operational Costs,Rocket Food Ltd,IN042355,"30,112.55"
