Title:,Estimated abstractions from all surface and groundwaters by purpose and source: 2000 - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year:,2000 to 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography:,England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units:,Ml/day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,Environment Agency (EA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custodian,"Sustainable Products and Procurement, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date:,May-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,megalitres/day,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,,,,,,,,,,,,,,,,,,,,,
Total,tidal waters,18625,18085,21742,21199,21025,22169,24587,24612,20240,20970,20475,,,,,,,,,,,,,,,,,,,,,,,,
,non-tidal surface waters,34645,33919,32723,30848,31569,29189,28958,27188,28824,27624,28080,,,,,,,,,,,,,,,,,,,,,,,,
,groundwaters,6512,6484,6517,6546,6291,6399,6207,6019,5861,5920,5897,,,,,,,,,,,,,,,,,,,,,,,,
,all sources except tidal ,41157,40404,39240,37394,37860,35588,35166,33208,34685,33550,33977,,,,,,,,,,,,,,,,,,,,,,,,
,all surface and groundwaters,59782,58489,60981,58593,58885,57757,59752,57820,54925,54520,54452,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public water supply,tidal waters,0,0,0,0,2,0,0,0,0,17,58,,,,,,,,,,,,,,,,,,,,,,,,
,non-tidal surface waters,12053,11290,11962,11820,12290,12343,12171,11665,11504,11008,11582,,,,,,,,,,,,,,,,,,,,,,,,
,groundwaters,4937,4941,4976,5099,4918,5027,4833,4716,4737,4774,4733,,,,,,,,,,,,,,,,,,,,,,,,
,all sources except tidal ,16990,16231,16938,16920,17208,17370,17004,16381,16241,15782,16315,,,,,,,,,,,,,,,,,,,,,,,,
,all surface and groundwaters,16990,16231,16938,16920,17210,17370,17004,16381,16241,15799,16373,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spray irrigation,tidal waters,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,non-tidal surface waters,186,161,142,173,132,128,151,88,86,122,156,,,,,,,,,,,,,,,,,,,,,,,,
,groundwaters,105,97,106,142,93,97,126,72,70,111,128,,,,,,,,,,,,,,,,,,,,,,,,
,all sources except tidal ,291,258,248,315,225,226,277,161,156,233,285,,,,,,,,,,,,,,,,,,,,,,,,
,all surface and groundwaters,291,259,248,315,225,226,277,161,156,233,285,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture (excl. spray irrigation),tidal waters,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,non-tidal surface waters,33,17,31,43,32,18,7,30,10,7,6,,,,,,,,,,,,,,,,,,,,,,,,
,groundwaters,119,91,89,88,89,42,40,42,28,36,62,,,,,,,,,,,,,,,,,,,,,,,,
,all sources except tidal ,152,108,119,131,122,60,47,72,37,43,68,,,,,,,,,,,,,,,,,,,,,,,,
